subj,Session,trial,rt,object_response,category,condition,imagename
subject-01,1,1,0.796405076980591,oven,oven,cr,0001_cl_s01_cr_oven_40_n04111531_14126.png
subject-01,1,2,0.656121015548706,cat,bear,cr,0002_cl_s01_cr_bear_40_n02134084_5274.png
subject-01,1,3,0.611840009689331,cat,cat,cr,0003_cl_s01_cr_cat_40_n02123394_133.png
subject-01,1,4,0.633913040161133,car,car,cr,0004_cl_s01_cr_car_40_n02814533_51190.png
subject-01,1,5,0.619470119476318,chair,chair,bw,0005_cl_s01_bw_chair_40_n04099969_14986.png
subject-01,1,6,0.855474948883057,elephant,elephant,cr,0006_cl_s01_cr_elephant_40_n02504013_6731.png
subject-01,1,7,0.81902003288269,bottle,bottle,cr,0007_cl_s01_cr_bottle_40_n02823428_987.png
subject-01,1,8,0.60297703742981,truck,truck,cr,0008_cl_s01_cr_truck_40_n03417042_7458.png
subject-01,1,9,0.51496410369873,chair,chair,bw,0009_cl_s01_bw_chair_40_n04099969_4577.png
subject-01,1,10,1.07865905761719,cat,knife,cr,0010_cl_s01_cr_knife_40_n03041632_83472.png
subject-01,1,11,0.726448059082031,elephant,elephant,bw,0011_cl_s01_bw_elephant_40_n02504458_3485.png
subject-01,1,12,0.856294870376587,bear,bear,bw,0012_cl_s01_bw_bear_40_n02133161_1066.png
subject-01,1,13,0.820024013519287,elephant,elephant,bw,0013_cl_s01_bw_elephant_40_n02504013_1060.png
subject-01,1,14,1.01591014862061,elephant,bear,bw,0014_cl_s01_bw_bear_40_n02134084_1009.png
subject-01,1,15,0.727574825286865,cat,cat,cr,0015_cl_s01_cr_cat_40_n02125311_13383.png
subject-01,1,16,0.839364051818848,elephant,elephant,bw,0016_cl_s01_bw_elephant_40_n02504013_257.png
subject-01,1,17,0.609374046325684,cat,cat,bw,0017_cl_s01_bw_cat_40_n02123045_6445.png
subject-01,1,18,0.65506911277771,airplane,airplane,bw,0018_cl_s01_bw_airplane_40_n02690373_3493.png
subject-01,1,19,0.684980869293213,airplane,airplane,bw,0019_cl_s01_bw_airplane_40_n02690373_5184.png
subject-01,1,20,0.787031173706055,truck,truck,bw,0020_cl_s01_bw_truck_40_n04467665_22637.png
subject-01,1,21,0.640532970428467,cat,cat,cr,0021_cl_s01_cr_cat_40_n02123159_10952.png
subject-01,1,22,0.718217134475708,airplane,airplane,bw,0022_cl_s01_bw_airplane_40_n02690373_3620.png
subject-01,1,23,0.756150960922241,bottle,bottle,cr,0023_cl_s01_cr_bottle_40_n04557648_10744.png
subject-01,1,24,0.672043085098267,oven,oven,bw,0024_cl_s01_bw_oven_40_n04111531_12702.png
subject-01,1,25,1.14181399345398,bicycle,bear,cr,0025_cl_s01_cr_bear_40_n02133161_9949.png
subject-01,1,26,0.611485958099365,bottle,keyboard,cr,0026_cl_s01_cr_keyboard_40_n03085013_3489.png
subject-01,1,27,0.729439973831177,elephant,elephant,bw,0027_cl_s01_bw_elephant_40_n02504458_4633.png
subject-01,1,28,0.651228904724121,clock,clock,cr,0028_cl_s01_cr_clock_40_n04548280_7816.png
subject-01,1,29,1.03513598442078,dog,dog,bw,0029_cl_s01_bw_dog_40_n02097474_1859.png
subject-01,1,30,0.628832101821899,cat,cat,bw,0030_cl_s01_bw_cat_40_n02123394_916.png
subject-01,1,31,1.08478403091431,elephant,elephant,cr,0031_cl_s01_cr_elephant_40_n02504458_3525.png
