subj,session,trial,rt,object_response,category,condition,imagename
swag_regnety_32gf_in1k,1,1,NaN,oven,oven,cr,0001_cl_dnn_cr_oven_40_n04111531_14126.png
swag_regnety_32gf_in1k,1,2,NaN,bear,bear,cr,0002_cl_dnn_cr_bear_40_n02134084_5274.png
swag_regnety_32gf_in1k,1,3,NaN,cat,cat,cr,0003_cl_dnn_cr_cat_40_n02123394_133.png
swag_regnety_32gf_in1k,1,4,NaN,car,car,cr,0004_cl_dnn_cr_car_40_n02814533_51190.png
swag_regnety_32gf_in1k,1,5,NaN,chair,chair,bw,0005_cl_dnn_bw_chair_40_n04099969_14986.png
swag_regnety_32gf_in1k,1,6,NaN,elephant,elephant,cr,0006_cl_dnn_cr_elephant_40_n02504013_6731.png
swag_regnety_32gf_in1k,1,7,NaN,bottle,bottle,cr,0007_cl_dnn_cr_bottle_40_n02823428_987.png
swag_regnety_32gf_in1k,1,8,NaN,truck,truck,cr,0008_cl_dnn_cr_truck_40_n03417042_7458.png
swag_regnety_32gf_in1k,1,9,NaN,chair,chair,bw,0009_cl_dnn_bw_chair_40_n04099969_4577.png
swag_regnety_32gf_in1k,1,10,NaN,knife,knife,cr,0010_cl_dnn_cr_knife_40_n03041632_83472.png
swag_regnety_32gf_in1k,1,11,NaN,elephant,elephant,bw,0011_cl_dnn_bw_elephant_40_n02504458_3485.png
swag_regnety_32gf_in1k,1,12,NaN,bear,bear,bw,0012_cl_dnn_bw_bear_40_n02133161_1066.png
swag_regnety_32gf_in1k,1,13,NaN,elephant,elephant,bw,0013_cl_dnn_bw_elephant_40_n02504013_1060.png
swag_regnety_32gf_in1k,1,14,NaN,bear,bear,bw,0014_cl_dnn_bw_bear_40_n02134084_1009.png
swag_regnety_32gf_in1k,1,15,NaN,cat,cat,cr,0015_cl_dnn_cr_cat_40_n02125311_13383.png
swag_regnety_32gf_in1k,1,16,NaN,elephant,elephant,bw,0016_cl_dnn_bw_elephant_40_n02504013_257.png
swag_regnety_32gf_in1k,1,17,NaN,cat,cat,bw,0017_cl_dnn_bw_cat_40_n02123045_6445.png
swag_regnety_32gf_in1k,1,18,NaN,airplane,airplane,bw,0018_cl_dnn_bw_airplane_40_n02690373_3493.png
swag_regnety_32gf_in1k,1,19,NaN,airplane,airplane,bw,0019_cl_dnn_bw_airplane_40_n02690373_5184.png
swag_regnety_32gf_in1k,1,20,NaN,truck,truck,bw,0020_cl_dnn_bw_truck_40_n04467665_22637.png
swag_regnety_32gf_in1k,1,21,NaN,cat,cat,cr,0021_cl_dnn_cr_cat_40_n02123159_10952.png
swag_regnety_32gf_in1k,1,22,NaN,airplane,airplane,bw,0022_cl_dnn_bw_airplane_40_n02690373_3620.png
swag_regnety_32gf_in1k,1,23,NaN,bottle,bottle,cr,0023_cl_dnn_cr_bottle_40_n04557648_10744.png
swag_regnety_32gf_in1k,1,24,NaN,oven,oven,bw,0024_cl_dnn_bw_oven_40_n04111531_12702.png
swag_regnety_32gf_in1k,1,25,NaN,bear,bear,cr,0025_cl_dnn_cr_bear_40_n02133161_9949.png
