subj,Session,trial,rt,object_response,category,condition,imagename
subject-02,1,1,0.670699119567871,boat,airplane,c30,0001_cop_s02_c30_airplane_10_n02690373_12984.png
subject-02,1,2,0.660538196563721,elephant,elephant,c100,0002_cop_s02_c100_elephant_10_n02504458_8615.png
subject-02,1,3,0.766577005386353,elephant,elephant,c30,0003_cop_s02_c30_elephant_10_n02504458_5055.png
subject-02,1,4,0.670161962509155,oven,bird,c05,0004_cop_s02_c05_bird_10_n01616318_57023.png
subject-02,1,5,0.542098045349121,bird,bird,c30,0005_cop_s02_c30_bird_10_n02013706_19220.png
subject-02,1,6,0.591618061065674,boat,oven,c05,0006_cop_s02_c05_oven_10_n04111531_2156.png
subject-02,1,7,0.777374982833862,oven,oven,c01,0007_cop_s02_c01_oven_10_n04111531_21248.png
subject-02,1,8,0.743560075759888,oven,knife,c15,0008_cop_s02_c15_knife_10_n03041632_27709.png
subject-02,1,9,0.574900150299072,boat,cat,c05,0009_cop_s02_c05_cat_10_n02125311_22459.png
subject-02,1,10,0.87119722366333,cat,truck,c05,0010_cop_s02_c05_truck_10_n04467665_70237.png
subject-02,1,11,1.0870988368988,keyboard,chair,c100,0011_cop_s02_c100_chair_10_n02791124_12707.png
subject-02,1,12,0.661099910736084,bird,oven,c15,0012_cop_s02_c15_oven_10_n04111531_23215.png
subject-02,1,13,0.798592090606689,chair,boat,c05,0013_cop_s02_c05_boat_10_n04273569_7312.png
subject-02,1,14,0.623444080352783,bottle,oven,c05,0014_cop_s02_c05_oven_10_n04111531_9297.png
subject-02,1,15,0.752518177032471,clock,dog,c01,0015_cop_s02_c01_dog_10_n02107908_12294.png
subject-02,1,16,0.766006946563721,truck,truck,c50,0016_cop_s02_c50_truck_10_n03417042_10993.png
subject-02,1,17,0.769711971282959,car,bear,c01,0017_cop_s02_c01_bear_10_n02134418_4114.png
subject-02,1,18,0.657530069351196,bird,chair,c03,0018_cop_s02_c03_chair_10_n04099969_9713.png
subject-02,1,19,0.809308052062988,keyboard,knife,c30,0019_cop_s02_c30_knife_10_n03041632_77022.png
subject-02,1,20,0.801213026046753,dog,dog,c30,0020_cop_s02_c30_dog_10_n02097474_5234.png
subject-02,1,21,0.859051942825317,bear,bear,c30,0021_cop_s02_c30_bear_10_n02134084_10839.png
subject-02,1,22,0.800601005554199,bird,bird,c50,0022_cop_s02_c50_bird_10_n01855032_1815.png
subject-02,1,23,1.00060892105103,bird,bottle,c05,0023_cop_s02_c05_bottle_10_n04591713_105.png
subject-02,1,24,0.888494968414307,bear,bear,c10,0024_cop_s02_c10_bear_10_n02133161_14945.png
subject-02,1,25,0.800114870071411,oven,bottle,c30,0025_cop_s02_c30_bottle_10_n03983396_5545.png
subject-02,1,26,0.679955959320068,bird,cat,c03,0026_cop_s02_c03_cat_10_n02123597_11138.png
subject-02,1,27,1.06787300109863,bicycle,bicycle,c30,0027_cop_s02_c30_bicycle_10_n03792782_10526.png
subject-02,1,28,1.17351603507996,car,airplane,c15,0028_cop_s02_c15_airplane_10_n02690373_1952.png
subject-02,1,29,0.90577507019043,clock,clock,c15,0029_cop_s02_c15_clock_10_n04548280_5087.png
subject-02,1,30,0.801174879074097,truck,truck,c100,0030_cop_s02_c100_truck_10_n04467665_4239.png
subject-02,1,31,1.0309739112854,keyboard,bird,c15,0031_cop_s02_c15_bird_10_n01532829_2263.png
subject-02,1,32,0.811096906661987,boat,boat,c05,0032_cop_s02_c05_boat_10_n04612504_8407.png
subject-02,1,33,0.822707176208496,car,keyboard,c03,0033_cop_s02_c03_keyboard_10_n03085013_24306.png
subject-02,1,34,0.616435050964355,bear,bear,c100,0034_cop_s02_c100_bear_10_n02134084_19791.png
subject-02,1,35,0.934535026550293,airplane,airplane,c01,0035_cop_s02_c01_airplane_10_n02690373_4793.png
subject-02,1,36,0.712236881256104,oven,oven,c100,0036_cop_s02_c100_oven_10_n04111531_4685.png
subject-02,1,37,0.756187915802002,clock,bird,c10,0037_cop_s02_c10_bird_10_n02002556_9804.png
subject-02,1,38,1.23976016044617,chair,dog,c10,0038_cop_s02_c10_dog_10_n02105251_7686.png
subject-02,1,39,1.21991109848022,keyboard,oven,c10,0039_cop_s02_c10_oven_10_n04111531_1898.png
subject-02,1,40,1.05340099334717,bottle,knife,c30,0040_cop_s02_c30_knife_10_n03041632_30565.png
subject-02,1,41,0.90120792388916,keyboard,keyboard,c10,0041_cop_s02_c10_keyboard_10_n04505470_2421.png
subject-02,1,42,0.797022104263306,car,bicycle,c01,0042_cop_s02_c01_bicycle_10_n02835271_5437.png
