subj,session,trial,rt,object_response,category,condition,imagename
swag_vit_h14_in1k,1,1,NaN,knife,knife,c30,0001_cop_dnn_c30_knife_10_n03041632_7380.png
swag_vit_h14_in1k,1,2,NaN,bicycle,bicycle,c100,0002_cop_dnn_c100_bicycle_10_n03792782_5966.png
swag_vit_h14_in1k,1,3,NaN,clock,bird,c01,0003_cop_dnn_c01_bird_10_n01601694_10802.png
swag_vit_h14_in1k,1,4,NaN,airplane,airplane,c05,0004_cop_dnn_c05_airplane_10_n02690373_9759.png
swag_vit_h14_in1k,1,5,NaN,knife,car,c03,0005_cop_dnn_c03_car_10_n02814533_2236.png
swag_vit_h14_in1k,1,6,NaN,chair,chair,c30,0006_cop_dnn_c30_chair_10_n02791124_7207.png
swag_vit_h14_in1k,1,7,NaN,oven,oven,c50,0007_cop_dnn_c50_oven_10_n04111531_7064.png
swag_vit_h14_in1k,1,8,NaN,knife,bird,c15,0008_cop_dnn_c15_bird_10_n01532829_2263.png
swag_vit_h14_in1k,1,9,NaN,bicycle,bicycle,c50,0009_cop_dnn_c50_bicycle_10_n02835271_3383.png
swag_vit_h14_in1k,1,10,NaN,clock,bicycle,c03,0010_cop_dnn_c03_bicycle_10_n03792782_27510.png
swag_vit_h14_in1k,1,11,NaN,knife,bottle,c03,0011_cop_dnn_c03_bottle_10_n04557648_10944.png
swag_vit_h14_in1k,1,12,NaN,keyboard,keyboard,c15,0012_cop_dnn_c15_keyboard_10_n03085013_20891.png
swag_vit_h14_in1k,1,13,NaN,elephant,elephant,c30,0013_cop_dnn_c30_elephant_10_n02504458_3225.png
swag_vit_h14_in1k,1,14,NaN,keyboard,keyboard,c10,0014_cop_dnn_c10_keyboard_10_n04505470_6638.png
swag_vit_h14_in1k,1,15,NaN,clock,bird,c01,0015_cop_dnn_c01_bird_10_n01601694_11888.png
swag_vit_h14_in1k,1,16,NaN,airplane,airplane,c03,0016_cop_dnn_c03_airplane_10_n02690373_8743.png
swag_vit_h14_in1k,1,17,NaN,boat,boat,c10,0017_cop_dnn_c10_boat_10_n03344393_8869.png
swag_vit_h14_in1k,1,18,NaN,airplane,bear,c01,0018_cop_dnn_c01_bear_10_n02132136_27682.png
swag_vit_h14_in1k,1,19,NaN,clock,clock,c50,0019_cop_dnn_c50_clock_10_n02708093_7081.png
swag_vit_h14_in1k,1,20,NaN,car,car,c10,0020_cop_dnn_c10_car_10_n03100240_12141.png
swag_vit_h14_in1k,1,21,NaN,car,car,c15,0021_cop_dnn_c15_car_10_n02814533_19287.png
swag_vit_h14_in1k,1,22,NaN,bicycle,bicycle,c03,0022_cop_dnn_c03_bicycle_10_n02835271_3841.png
swag_vit_h14_in1k,1,23,NaN,clock,clock,c15,0023_cop_dnn_c15_clock_10_n02708093_6696.png
swag_vit_h14_in1k,1,24,NaN,clock,bird,c01,0024_cop_dnn_c01_bird_10_n01829413_6393.png
swag_vit_h14_in1k,1,25,NaN,clock,clock,c01,0025_cop_dnn_c01_clock_10_n02708093_3484.png
swag_vit_h14_in1k,1,26,NaN,chair,chair,c05,0026_cop_dnn_c05_chair_10_n04429376_55163.png
swag_vit_h14_in1k,1,27,NaN,boat,boat,c100,0027_cop_dnn_c100_boat_10_n02951358_14528.png
swag_vit_h14_in1k,1,28,NaN,clock,chair,c01,0028_cop_dnn_c01_chair_10_n03376595_9603.png
swag_vit_h14_in1k,1,29,NaN,bottle,bottle,c03,0029_cop_dnn_c03_bottle_10_n03937543_1840.png
swag_vit_h14_in1k,1,30,NaN,knife,car,c01,0030_cop_dnn_c01_car_10_n02814533_32835.png
swag_vit_h14_in1k,1,31,NaN,clock,bird,c15,0031_cop_dnn_c15_bird_10_n01860187_38598.png
