subj,session,trial,rt,object_response,category,condition,imagename
simclr_resnet50x1,1,1,NaN,bicycle,airplane,NaN,airplane1-bicycle2.png
simclr_resnet50x1,1,2,NaN,chair,airplane,NaN,airplane1-chair2.png
simclr_resnet50x1,1,3,NaN,clock,airplane,NaN,airplane1-clock1.png
simclr_resnet50x1,1,4,NaN,keyboard,airplane,NaN,airplane1-elephant1.png
simclr_resnet50x1,1,5,NaN,airplane,airplane,NaN,airplane10-airplane1.png
simclr_resnet50x1,1,6,NaN,bear,airplane,NaN,airplane10-bear3.png
simclr_resnet50x1,1,7,NaN,airplane,airplane,NaN,airplane10-boat3.png
simclr_resnet50x1,1,8,NaN,bicycle,airplane,NaN,airplane10-car3.png
simclr_resnet50x1,1,9,NaN,cat,airplane,NaN,airplane10-cat2.png
simclr_resnet50x1,1,10,NaN,dog,airplane,NaN,airplane10-dog3.png
simclr_resnet50x1,1,11,NaN,keyboard,airplane,NaN,airplane10-elephant1.png
simclr_resnet50x1,1,12,NaN,knife,airplane,NaN,airplane10-knife3.png
simclr_resnet50x1,1,13,NaN,oven,airplane,NaN,airplane10-oven2.png
simclr_resnet50x1,1,14,NaN,bottle,airplane,NaN,airplane10-truck1.png
simclr_resnet50x1,1,15,NaN,bear,airplane,NaN,airplane2-bear1.png
simclr_resnet50x1,1,16,NaN,bottle,airplane,NaN,airplane2-bicycle1.png
simclr_resnet50x1,1,17,NaN,oven,airplane,NaN,airplane2-bird3.png
simclr_resnet50x1,1,18,NaN,bottle,airplane,NaN,airplane2-bottle1.png
simclr_resnet50x1,1,19,NaN,bottle,airplane,NaN,airplane2-cat1.png
simclr_resnet50x1,1,20,NaN,dog,airplane,NaN,airplane2-dog1.png
simclr_resnet50x1,1,21,NaN,airplane,airplane,NaN,airplane3-airplane2.png
simclr_resnet50x1,1,22,NaN,bottle,airplane,NaN,airplane3-car1.png
simclr_resnet50x1,1,23,NaN,bottle,airplane,NaN,airplane3-cat1.png
simclr_resnet50x1,1,24,NaN,bottle,airplane,NaN,airplane3-chair3.png
simclr_resnet50x1,1,25,NaN,clock,airplane,NaN,airplane3-clock1.png
simclr_resnet50x1,1,26,NaN,dog,airplane,NaN,airplane3-dog1.png
simclr_resnet50x1,1,27,NaN,elephant,airplane,NaN,airplane3-elephant1.png
simclr_resnet50x1,1,28,NaN,bottle,airplane,NaN,airplane3-keyboard2.png
simclr_resnet50x1,1,29,NaN,airplane,airplane,NaN,airplane3-oven1.png
simclr_resnet50x1,1,30,NaN,airplane,airplane,NaN,airplane4-airplane1.png
simclr_resnet50x1,1,31,NaN,bear,airplane,NaN,airplane4-bear3.png
simclr_resnet50x1,1,32,NaN,bottle,airplane,NaN,airplane4-bicycle2.png
simclr_resnet50x1,1,33,NaN,knife,airplane,NaN,airplane4-bird3.png
simclr_resnet50x1,1,34,NaN,clock,airplane,NaN,airplane4-boat3.png
simclr_resnet50x1,1,35,NaN,bottle,airplane,NaN,airplane4-bottle1.png
simclr_resnet50x1,1,36,NaN,bottle,airplane,NaN,airplane4-car1.png
simclr_resnet50x1,1,37,NaN,bird,airplane,NaN,airplane4-cat3.png
simclr_resnet50x1,1,38,NaN,chair,airplane,NaN,airplane4-dog2.png
simclr_resnet50x1,1,39,NaN,elephant,airplane,NaN,airplane4-elephant1.png
simclr_resnet50x1,1,40,NaN,bottle,airplane,NaN,airplane4-keyboard3.png
simclr_resnet50x1,1,41,NaN,bottle,airplane,NaN,airplane4-knife1.png
simclr_resnet50x1,1,42,NaN,truck,airplane,NaN,airplane4-truck2.png
simclr_resnet50x1,1,43,NaN,bear,airplane,NaN,airplane5-bear2.png
simclr_resnet50x1,1,44,NaN,bottle,airplane,NaN,airplane5-bicycle1.png
simclr_resnet50x1,1,45,NaN,bottle,airplane,NaN,airplane5-bird2.png
simclr_resnet50x1,1,46,NaN,airplane,airplane,NaN,airplane5-boat3.png
simclr_resnet50x1,1,47,NaN,bottle,airplane,NaN,airplane5-bottle3.png
simclr_resnet50x1,1,48,NaN,airplane,airplane,NaN,airplane5-chair3.png
simclr_resnet50x1,1,49,NaN,dog,airplane,NaN,airplane5-dog3.png
simclr_resnet50x1,1,50,NaN,bottle,airplane,NaN,airplane5-knife1.png
simclr_resnet50x1,1,51,NaN,oven,airplane,NaN,airplane5-oven3.png
simclr_resnet50x1,1,52,NaN,bear,airplane,NaN,airplane6-bear3.png
simclr_resnet50x1,1,53,NaN,bottle,airplane,NaN,airplane6-bottle2.png
simclr_resnet50x1,1,54,NaN,chair,airplane,NaN,airplane6-chair3.png
simclr_resnet50x1,1,55,NaN,bottle,airplane,NaN,airplane6-keyboard3.png
simclr_resnet50x1,1,56,NaN,bottle,airplane,NaN,airplane6-knife1.png
simclr_resnet50x1,1,57,NaN,airplane,airplane,NaN,airplane7-airplane3.png
simclr_resnet50x1,1,58,NaN,airplane,airplane,NaN,airplane7-bird3.png
simclr_resnet50x1,1,59,NaN,chair,airplane,NaN,airplane7-boat2.png
simclr_resnet50x1,1,60,NaN,bottle,airplane,NaN,airplane7-bottle3.png
simclr_resnet50x1,1,61,NaN,bottle,airplane,NaN,airplane7-car1.png
simclr_resnet50x1,1,62,NaN,bottle,airplane,NaN,airplane7-cat3.png
simclr_resnet50x1,1,63,NaN,clock,airplane,NaN,airplane7-clock3.png
simclr_resnet50x1,1,64,NaN,bottle,airplane,NaN,airplane7-keyboard1.png
simclr_resnet50x1,1,65,NaN,bottle,airplane,NaN,airplane7-truck1.png
simclr_resnet50x1,1,66,NaN,bottle,airplane,NaN,airplane8-bicycle3.png
simclr_resnet50x1,1,67,NaN,knife,airplane,NaN,airplane8-bird1.png
simclr_resnet50x1,1,68,NaN,car,airplane,NaN,airplane8-chair1.png
simclr_resnet50x1,1,69,NaN,bottle,airplane,NaN,airplane8-clock2.png
simclr_resnet50x1,1,70,NaN,elephant,airplane,NaN,airplane8-elephant3.png
simclr_resnet50x1,1,71,NaN,oven,airplane,NaN,airplane8-oven2.png
simclr_resnet50x1,1,72,NaN,truck,airplane,NaN,airplane8-truck3.png
simclr_resnet50x1,1,73,NaN,knife,airplane,NaN,airplane9-airplane2.png
simclr_resnet50x1,1,74,NaN,boat,airplane,NaN,airplane9-boat1.png
simclr_resnet50x1,1,75,NaN,bottle,airplane,NaN,airplane9-car2.png
simclr_resnet50x1,1,76,NaN,bottle,airplane,NaN,airplane9-clock1.png
simclr_resnet50x1,1,77,NaN,oven,airplane,NaN,airplane9-keyboard2.png
simclr_resnet50x1,1,78,NaN,knife,airplane,NaN,airplane9-knife3.png
simclr_resnet50x1,1,79,NaN,oven,airplane,NaN,airplane9-oven2.png
simclr_resnet50x1,1,80,NaN,bottle,airplane,NaN,airplane9-truck1.png
simclr_resnet50x1,1,81,NaN,bottle,bear,NaN,bear1-airplane3.png
simclr_resnet50x1,1,82,NaN,bear,bear,NaN,bear1-bear3.png
simclr_resnet50x1,1,83,NaN,chair,bear,NaN,bear1-bicycle3.png
simclr_resnet50x1,1,84,NaN,cat,bear,NaN,bear1-bird2.png
simclr_resnet50x1,1,85,NaN,bottle,bear,NaN,bear1-chair2.png
simclr_resnet50x1,1,86,NaN,bottle,bear,NaN,bear1-clock2.png
simclr_resnet50x1,1,87,NaN,elephant,bear,NaN,bear1-elephant1.png
simclr_resnet50x1,1,88,NaN,bear,bear,NaN,bear10-bear2.png
simclr_resnet50x1,1,89,NaN,bottle,bear,NaN,bear10-bottle1.png
simclr_resnet50x1,1,90,NaN,bottle,bear,NaN,bear10-car2.png
simclr_resnet50x1,1,91,NaN,cat,bear,NaN,bear10-cat2.png
simclr_resnet50x1,1,92,NaN,keyboard,bear,NaN,bear10-chair2.png
simclr_resnet50x1,1,93,NaN,clock,bear,NaN,bear10-clock1.png
simclr_resnet50x1,1,94,NaN,elephant,bear,NaN,bear10-elephant1.png
simclr_resnet50x1,1,95,NaN,bottle,bear,NaN,bear10-keyboard3.png
simclr_resnet50x1,1,96,NaN,bottle,bear,NaN,bear10-knife2.png
simclr_resnet50x1,1,97,NaN,oven,bear,NaN,bear10-oven1.png
simclr_resnet50x1,1,98,NaN,bottle,bear,NaN,bear10-truck1.png
simclr_resnet50x1,1,99,NaN,airplane,bear,NaN,bear2-airplane1.png
simclr_resnet50x1,1,100,NaN,bird,bear,NaN,bear2-bird3.png
simclr_resnet50x1,1,101,NaN,bottle,bear,NaN,bear2-car2.png
simclr_resnet50x1,1,102,NaN,cat,bear,NaN,bear2-cat2.png
simclr_resnet50x1,1,103,NaN,bear,bear,NaN,bear2-dog1.png
simclr_resnet50x1,1,104,NaN,elephant,bear,NaN,bear2-elephant1.png
simclr_resnet50x1,1,105,NaN,oven,bear,NaN,bear2-keyboard2.png
simclr_resnet50x1,1,106,NaN,knife,bear,NaN,bear2-knife2.png
simclr_resnet50x1,1,107,NaN,knife,bear,NaN,bear2-oven1.png
simclr_resnet50x1,1,108,NaN,truck,bear,NaN,bear3-airplane1.png
simclr_resnet50x1,1,109,NaN,chair,bear,NaN,bear3-bicycle2.png
simclr_resnet50x1,1,110,NaN,bird,bear,NaN,bear3-bird3.png
simclr_resnet50x1,1,111,NaN,bottle,bear,NaN,bear3-car2.png
simclr_resnet50x1,1,112,NaN,cat,bear,NaN,bear3-cat1.png
simclr_resnet50x1,1,113,NaN,chair,bear,NaN,bear3-chair2.png
simclr_resnet50x1,1,114,NaN,dog,bear,NaN,bear3-dog3.png
simclr_resnet50x1,1,115,NaN,keyboard,bear,NaN,bear3-keyboard2.png
simclr_resnet50x1,1,116,NaN,chair,bear,NaN,bear3-truck3.png
simclr_resnet50x1,1,117,NaN,keyboard,bear,NaN,bear4-boat2.png
simclr_resnet50x1,1,118,NaN,chair,bear,NaN,bear4-car3.png
simclr_resnet50x1,1,119,NaN,bear,bear,NaN,bear4-cat3.png
simclr_resnet50x1,1,120,NaN,clock,bear,NaN,bear4-clock3.png
simclr_resnet50x1,1,121,NaN,elephant,bear,NaN,bear4-elephant2.png
simclr_resnet50x1,1,122,NaN,bottle,bear,NaN,bear4-keyboard3.png
simclr_resnet50x1,1,123,NaN,bottle,bear,NaN,bear4-knife1.png
simclr_resnet50x1,1,124,NaN,oven,bear,NaN,bear4-oven2.png
simclr_resnet50x1,1,125,NaN,bottle,bear,NaN,bear4-truck3.png
simclr_resnet50x1,1,126,NaN,bottle,bear,NaN,bear5-airplane3.png
simclr_resnet50x1,1,127,NaN,chair,bear,NaN,bear5-bicycle3.png
simclr_resnet50x1,1,128,NaN,bird,bear,NaN,bear5-bird1.png
simclr_resnet50x1,1,129,NaN,clock,bear,NaN,bear5-boat2.png
simclr_resnet50x1,1,130,NaN,bottle,bear,NaN,bear5-bottle1.png
simclr_resnet50x1,1,131,NaN,bottle,bear,NaN,bear5-chair1.png
simclr_resnet50x1,1,132,NaN,oven,bear,NaN,bear5-oven3.png
simclr_resnet50x1,1,133,NaN,bear,bear,NaN,bear6-bear1.png
simclr_resnet50x1,1,134,NaN,bottle,bear,NaN,bear6-bird2.png
simclr_resnet50x1,1,135,NaN,bottle,bear,NaN,bear6-boat3.png
simclr_resnet50x1,1,136,NaN,bottle,bear,NaN,bear6-bottle3.png
simclr_resnet50x1,1,137,NaN,bottle,bear,NaN,bear6-car2.png
simclr_resnet50x1,1,138,NaN,bear,bear,NaN,bear6-cat3.png
simclr_resnet50x1,1,139,NaN,bottle,bear,NaN,bear6-chair1.png
simclr_resnet50x1,1,140,NaN,bottle,bear,NaN,bear6-clock1.png
simclr_resnet50x1,1,141,NaN,bear,bear,NaN,bear7-bear2.png
simclr_resnet50x1,1,142,NaN,chair,bear,NaN,bear7-bicycle2.png
simclr_resnet50x1,1,143,NaN,clock,bear,NaN,bear7-clock1.png
simclr_resnet50x1,1,144,NaN,bear,bear,NaN,bear7-dog3.png
simclr_resnet50x1,1,145,NaN,oven,bear,NaN,bear7-oven3.png
simclr_resnet50x1,1,146,NaN,bottle,bear,NaN,bear7-truck1.png
simclr_resnet50x1,1,147,NaN,truck,bear,NaN,bear8-airplane1.png
simclr_resnet50x1,1,148,NaN,bear,bear,NaN,bear8-bear1.png
simclr_resnet50x1,1,149,NaN,chair,bear,NaN,bear8-bicycle3.png
simclr_resnet50x1,1,150,NaN,truck,bear,NaN,bear8-boat2.png
simclr_resnet50x1,1,151,NaN,bottle,bear,NaN,bear8-bottle1.png
simclr_resnet50x1,1,152,NaN,bear,bear,NaN,bear8-dog1.png
simclr_resnet50x1,1,153,NaN,elephant,bear,NaN,bear8-elephant2.png
simclr_resnet50x1,1,154,NaN,knife,bear,NaN,bear8-knife3.png
simclr_resnet50x1,1,155,NaN,truck,bear,NaN,bear8-truck3.png
simclr_resnet50x1,1,156,NaN,truck,bear,NaN,bear9-boat2.png
simclr_resnet50x1,1,157,NaN,bottle,bear,NaN,bear9-bottle2.png
simclr_resnet50x1,1,158,NaN,bear,bear,NaN,bear9-dog1.png
simclr_resnet50x1,1,159,NaN,keyboard,bear,NaN,bear9-keyboard3.png
simclr_resnet50x1,1,160,NaN,truck,bear,NaN,bear9-knife2.png
simclr_resnet50x1,1,161,NaN,knife,bicycle,NaN,bicycle1-airplane2.png
simclr_resnet50x1,1,162,NaN,bear,bicycle,NaN,bicycle1-bear1.png
simclr_resnet50x1,1,163,NaN,bicycle,bicycle,NaN,bicycle1-bicycle3.png
