subj,session,trial,rt,object_response,category,condition,imagename
swag_regnety_32gf_in1k,1,1,NaN,car,airplane,NaN,airplane1-bicycle2.png
swag_regnety_32gf_in1k,1,2,NaN,chair,airplane,NaN,airplane1-chair2.png
swag_regnety_32gf_in1k,1,3,NaN,clock,airplane,NaN,airplane1-clock1.png
swag_regnety_32gf_in1k,1,4,NaN,elephant,airplane,NaN,airplane1-elephant1.png
swag_regnety_32gf_in1k,1,5,NaN,airplane,airplane,NaN,airplane10-airplane1.png
swag_regnety_32gf_in1k,1,6,NaN,bear,airplane,NaN,airplane10-bear3.png
swag_regnety_32gf_in1k,1,7,NaN,boat,airplane,NaN,airplane10-boat3.png
swag_regnety_32gf_in1k,1,8,NaN,truck,airplane,NaN,airplane10-car3.png
swag_regnety_32gf_in1k,1,9,NaN,cat,airplane,NaN,airplane10-cat2.png
swag_regnety_32gf_in1k,1,10,NaN,bear,airplane,NaN,airplane10-dog3.png
swag_regnety_32gf_in1k,1,11,NaN,elephant,airplane,NaN,airplane10-elephant1.png
swag_regnety_32gf_in1k,1,12,NaN,bottle,airplane,NaN,airplane10-knife3.png
swag_regnety_32gf_in1k,1,13,NaN,oven,airplane,NaN,airplane10-oven2.png
swag_regnety_32gf_in1k,1,14,NaN,chair,airplane,NaN,airplane10-truck1.png
swag_regnety_32gf_in1k,1,15,NaN,bear,airplane,NaN,airplane2-bear1.png
swag_regnety_32gf_in1k,1,16,NaN,bicycle,airplane,NaN,airplane2-bicycle1.png
swag_regnety_32gf_in1k,1,17,NaN,oven,airplane,NaN,airplane2-bird3.png
swag_regnety_32gf_in1k,1,18,NaN,bottle,airplane,NaN,airplane2-bottle1.png
swag_regnety_32gf_in1k,1,19,NaN,cat,airplane,NaN,airplane2-cat1.png
swag_regnety_32gf_in1k,1,20,NaN,dog,airplane,NaN,airplane2-dog1.png
swag_regnety_32gf_in1k,1,21,NaN,airplane,airplane,NaN,airplane3-airplane2.png
swag_regnety_32gf_in1k,1,22,NaN,car,airplane,NaN,airplane3-car1.png
swag_regnety_32gf_in1k,1,23,NaN,cat,airplane,NaN,airplane3-cat1.png
swag_regnety_32gf_in1k,1,24,NaN,chair,airplane,NaN,airplane3-chair3.png
swag_regnety_32gf_in1k,1,25,NaN,clock,airplane,NaN,airplane3-clock1.png
swag_regnety_32gf_in1k,1,26,NaN,bear,airplane,NaN,airplane3-dog1.png
swag_regnety_32gf_in1k,1,27,NaN,elephant,airplane,NaN,airplane3-elephant1.png
swag_regnety_32gf_in1k,1,28,NaN,keyboard,airplane,NaN,airplane3-keyboard2.png
swag_regnety_32gf_in1k,1,29,NaN,oven,airplane,NaN,airplane3-oven1.png
swag_regnety_32gf_in1k,1,30,NaN,boat,airplane,NaN,airplane4-airplane1.png
swag_regnety_32gf_in1k,1,31,NaN,bear,airplane,NaN,airplane4-bear3.png
swag_regnety_32gf_in1k,1,32,NaN,bottle,airplane,NaN,airplane4-bicycle2.png
swag_regnety_32gf_in1k,1,33,NaN,knife,airplane,NaN,airplane4-bird3.png
swag_regnety_32gf_in1k,1,34,NaN,boat,airplane,NaN,airplane4-boat3.png
swag_regnety_32gf_in1k,1,35,NaN,bottle,airplane,NaN,airplane4-bottle1.png
swag_regnety_32gf_in1k,1,36,NaN,car,airplane,NaN,airplane4-car1.png
swag_regnety_32gf_in1k,1,37,NaN,bottle,airplane,NaN,airplane4-cat3.png
swag_regnety_32gf_in1k,1,38,NaN,oven,airplane,NaN,airplane4-dog2.png
swag_regnety_32gf_in1k,1,39,NaN,elephant,airplane,NaN,airplane4-elephant1.png
swag_regnety_32gf_in1k,1,40,NaN,knife,airplane,NaN,airplane4-keyboard3.png
swag_regnety_32gf_in1k,1,41,NaN,chair,airplane,NaN,airplane4-knife1.png
swag_regnety_32gf_in1k,1,42,NaN,truck,airplane,NaN,airplane4-truck2.png
swag_regnety_32gf_in1k,1,43,NaN,bear,airplane,NaN,airplane5-bear2.png
swag_regnety_32gf_in1k,1,44,NaN,bicycle,airplane,NaN,airplane5-bicycle1.png
swag_regnety_32gf_in1k,1,45,NaN,airplane,airplane,NaN,airplane5-bird2.png
swag_regnety_32gf_in1k,1,46,NaN,boat,airplane,NaN,airplane5-boat3.png
swag_regnety_32gf_in1k,1,47,NaN,bottle,airplane,NaN,airplane5-bottle3.png
swag_regnety_32gf_in1k,1,48,NaN,chair,airplane,NaN,airplane5-chair3.png
