subj,session,trial,rt,object_response,category,condition,imagename
simclr_resnet50x1,1,1,NaN,chair,airplane,NaN,airplane1.png
simclr_resnet50x1,1,2,NaN,knife,airplane,NaN,airplane10.png
simclr_resnet50x1,1,3,NaN,knife,airplane,NaN,airplane2.png
simclr_resnet50x1,1,4,NaN,knife,airplane,NaN,airplane3.png
simclr_resnet50x1,1,5,NaN,knife,airplane,NaN,airplane4.png
simclr_resnet50x1,1,6,NaN,knife,airplane,NaN,airplane5.png
simclr_resnet50x1,1,7,NaN,knife,airplane,NaN,airplane6.png
simclr_resnet50x1,1,8,NaN,knife,airplane,NaN,airplane7.png
simclr_resnet50x1,1,9,NaN,knife,airplane,NaN,airplane8.png
simclr_resnet50x1,1,10,NaN,bottle,airplane,NaN,airplane9.png
simclr_resnet50x1,1,11,NaN,bottle,bear,NaN,bear1.png
simclr_resnet50x1,1,12,NaN,knife,bear,NaN,bear10.png
simclr_resnet50x1,1,13,NaN,bottle,bear,NaN,bear2.png
simclr_resnet50x1,1,14,NaN,keyboard,bear,NaN,bear3.png
simclr_resnet50x1,1,15,NaN,bottle,bear,NaN,bear4.png
simclr_resnet50x1,1,16,NaN,bottle,bear,NaN,bear5.png
simclr_resnet50x1,1,17,NaN,bottle,bear,NaN,bear6.png
simclr_resnet50x1,1,18,NaN,bottle,bear,NaN,bear7.png
simclr_resnet50x1,1,19,NaN,bottle,bear,NaN,bear8.png
simclr_resnet50x1,1,20,NaN,bottle,bear,NaN,bear9.png
simclr_resnet50x1,1,21,NaN,bicycle,bicycle,NaN,bicycle1.png
simclr_resnet50x1,1,22,NaN,bottle,bicycle,NaN,bicycle10.png
simclr_resnet50x1,1,23,NaN,bottle,bicycle,NaN,bicycle2.png
simclr_resnet50x1,1,24,NaN,bottle,bicycle,NaN,bicycle3.png
simclr_resnet50x1,1,25,NaN,bottle,bicycle,NaN,bicycle4.png
simclr_resnet50x1,1,26,NaN,knife,bicycle,NaN,bicycle5.png
simclr_resnet50x1,1,27,NaN,knife,bicycle,NaN,bicycle6.png
simclr_resnet50x1,1,28,NaN,knife,bicycle,NaN,bicycle7.png
simclr_resnet50x1,1,29,NaN,bottle,bicycle,NaN,bicycle8.png
simclr_resnet50x1,1,30,NaN,bicycle,bicycle,NaN,bicycle9.png
simclr_resnet50x1,1,31,NaN,knife,bird,NaN,bird1.png
simclr_resnet50x1,1,32,NaN,bottle,bird,NaN,bird10.png
simclr_resnet50x1,1,33,NaN,bottle,bird,NaN,bird2.png
simclr_resnet50x1,1,34,NaN,knife,bird,NaN,bird3.png
simclr_resnet50x1,1,35,NaN,knife,bird,NaN,bird4.png
simclr_resnet50x1,1,36,NaN,knife,bird,NaN,bird5.png
simclr_resnet50x1,1,37,NaN,bottle,bird,NaN,bird6.png
simclr_resnet50x1,1,38,NaN,knife,bird,NaN,bird7.png
simclr_resnet50x1,1,39,NaN,bottle,bird,NaN,bird8.png
simclr_resnet50x1,1,40,NaN,bottle,bird,NaN,bird9.png
simclr_resnet50x1,1,41,NaN,knife,boat,NaN,boat1.png
simclr_resnet50x1,1,42,NaN,knife,boat,NaN,boat10.png
simclr_resnet50x1,1,43,NaN,knife,boat,NaN,boat2.png
simclr_resnet50x1,1,44,NaN,knife,boat,NaN,boat3.png
simclr_resnet50x1,1,45,NaN,knife,boat,NaN,boat4.png
simclr_resnet50x1,1,46,NaN,knife,boat,NaN,boat5.png
simclr_resnet50x1,1,47,NaN,knife,boat,NaN,boat6.png
simclr_resnet50x1,1,48,NaN,knife,boat,NaN,boat7.png
simclr_resnet50x1,1,49,NaN,knife,boat,NaN,boat8.png
simclr_resnet50x1,1,50,NaN,knife,boat,NaN,boat9.png
simclr_resnet50x1,1,51,NaN,knife,bottle,NaN,bottle1.png
simclr_resnet50x1,1,52,NaN,knife,bottle,NaN,bottle10.png
simclr_resnet50x1,1,53,NaN,bottle,bottle,NaN,bottle2.png
simclr_resnet50x1,1,54,NaN,bottle,bottle,NaN,bottle3.png
simclr_resnet50x1,1,55,NaN,bottle,bottle,NaN,bottle4.png
simclr_resnet50x1,1,56,NaN,bottle,bottle,NaN,bottle5.png
simclr_resnet50x1,1,57,NaN,bottle,bottle,NaN,bottle6.png
simclr_resnet50x1,1,58,NaN,bottle,bottle,NaN,bottle7.png
simclr_resnet50x1,1,59,NaN,bottle,bottle,NaN,bottle8.png
simclr_resnet50x1,1,60,NaN,knife,bottle,NaN,bottle9.png
simclr_resnet50x1,1,61,NaN,bicycle,car,NaN,car1.png
simclr_resnet50x1,1,62,NaN,knife,car,NaN,car10.png
simclr_resnet50x1,1,63,NaN,knife,car,NaN,car2.png
simclr_resnet50x1,1,64,NaN,knife,car,NaN,car3.png
simclr_resnet50x1,1,65,NaN,bottle,car,NaN,car4.png
simclr_resnet50x1,1,66,NaN,bicycle,car,NaN,car5.png
simclr_resnet50x1,1,67,NaN,keyboard,car,NaN,car6.png
simclr_resnet50x1,1,68,NaN,knife,car,NaN,car7.png
simclr_resnet50x1,1,69,NaN,bottle,car,NaN,car8.png
simclr_resnet50x1,1,70,NaN,bottle,car,NaN,car9.png
simclr_resnet50x1,1,71,NaN,knife,cat,NaN,cat1.png
simclr_resnet50x1,1,72,NaN,knife,cat,NaN,cat10.png
simclr_resnet50x1,1,73,NaN,bottle,cat,NaN,cat2.png
simclr_resnet50x1,1,74,NaN,knife,cat,NaN,cat3.png
simclr_resnet50x1,1,75,NaN,knife,cat,NaN,cat4.png
simclr_resnet50x1,1,76,NaN,bottle,cat,NaN,cat5.png
simclr_resnet50x1,1,77,NaN,knife,cat,NaN,cat6.png
simclr_resnet50x1,1,78,NaN,bottle,cat,NaN,cat7.png
simclr_resnet50x1,1,79,NaN,bottle,cat,NaN,cat8.png
simclr_resnet50x1,1,80,NaN,knife,cat,NaN,cat9.png
simclr_resnet50x1,1,81,NaN,knife,chair,NaN,chair1.png
simclr_resnet50x1,1,82,NaN,knife,chair,NaN,chair10.png
simclr_resnet50x1,1,83,NaN,chair,chair,NaN,chair2.png
simclr_resnet50x1,1,84,NaN,chair,chair,NaN,chair3.png
simclr_resnet50x1,1,85,NaN,knife,chair,NaN,chair4.png
simclr_resnet50x1,1,86,NaN,bottle,chair,NaN,chair5.png
simclr_resnet50x1,1,87,NaN,knife,chair,NaN,chair6.png
simclr_resnet50x1,1,88,NaN,keyboard,chair,NaN,chair7.png
simclr_resnet50x1,1,89,NaN,knife,chair,NaN,chair8.png
simclr_resnet50x1,1,90,NaN,bicycle,chair,NaN,chair9.png
simclr_resnet50x1,1,91,NaN,bottle,clock,NaN,clock1.png
simclr_resnet50x1,1,92,NaN,bottle,clock,NaN,clock10.png
simclr_resnet50x1,1,93,NaN,clock,clock,NaN,clock2.png
simclr_resnet50x1,1,94,NaN,clock,clock,NaN,clock3.png
simclr_resnet50x1,1,95,NaN,clock,clock,NaN,clock4.png
simclr_resnet50x1,1,96,NaN,clock,clock,NaN,clock5.png
simclr_resnet50x1,1,97,NaN,clock,clock,NaN,clock6.png
simclr_resnet50x1,1,98,NaN,clock,clock,NaN,clock7.png
simclr_resnet50x1,1,99,NaN,clock,clock,NaN,clock8.png
simclr_resnet50x1,1,100,NaN,clock,clock,NaN,clock9.png
simclr_resnet50x1,1,101,NaN,bottle,dog,NaN,dog1.png
simclr_resnet50x1,1,102,NaN,bottle,dog,NaN,dog10.png
simclr_resnet50x1,1,103,NaN,bottle,dog,NaN,dog2.png
simclr_resnet50x1,1,104,NaN,bottle,dog,NaN,dog3.png
simclr_resnet50x1,1,105,NaN,bottle,dog,NaN,dog4.png
simclr_resnet50x1,1,106,NaN,bottle,dog,NaN,dog5.png
simclr_resnet50x1,1,107,NaN,bottle,dog,NaN,dog6.png
simclr_resnet50x1,1,108,NaN,bottle,dog,NaN,dog7.png
simclr_resnet50x1,1,109,NaN,knife,dog,NaN,dog8.png
simclr_resnet50x1,1,110,NaN,knife,dog,NaN,dog9.png
simclr_resnet50x1,1,111,NaN,knife,elephant,NaN,elephant1.png
simclr_resnet50x1,1,112,NaN,knife,elephant,NaN,elephant10.png
simclr_resnet50x1,1,113,NaN,knife,elephant,NaN,elephant2.png
simclr_resnet50x1,1,114,NaN,knife,elephant,NaN,elephant3.png
simclr_resnet50x1,1,115,NaN,bottle,elephant,NaN,elephant4.png
simclr_resnet50x1,1,116,NaN,bottle,elephant,NaN,elephant5.png
simclr_resnet50x1,1,117,NaN,bottle,elephant,NaN,elephant6.png
simclr_resnet50x1,1,118,NaN,bottle,elephant,NaN,elephant7.png
simclr_resnet50x1,1,119,NaN,bottle,elephant,NaN,elephant8.png
simclr_resnet50x1,1,120,NaN,bottle,elephant,NaN,elephant9.png
simclr_resnet50x1,1,121,NaN,keyboard,keyboard,NaN,keyboard1.png
simclr_resnet50x1,1,122,NaN,knife,keyboard,NaN,keyboard10.png
simclr_resnet50x1,1,123,NaN,keyboard,keyboard,NaN,keyboard2.png
simclr_resnet50x1,1,124,NaN,clock,keyboard,NaN,keyboard3.png
simclr_resnet50x1,1,125,NaN,bottle,keyboard,NaN,keyboard4.png
simclr_resnet50x1,1,126,NaN,keyboard,keyboard,NaN,keyboard5.png
simclr_resnet50x1,1,127,NaN,clock,keyboard,NaN,keyboard6.png
simclr_resnet50x1,1,128,NaN,keyboard,keyboard,NaN,keyboard7.png
simclr_resnet50x1,1,129,NaN,keyboard,keyboard,NaN,keyboard8.png
simclr_resnet50x1,1,130,NaN,knife,keyboard,NaN,keyboard9.png
simclr_resnet50x1,1,131,NaN,knife,knife,NaN,knife1.png
simclr_resnet50x1,1,132,NaN,knife,knife,NaN,knife10.png
simclr_resnet50x1,1,133,NaN,knife,knife,NaN,knife2.png
simclr_resnet50x1,1,134,NaN,knife,knife,NaN,knife3.png
simclr_resnet50x1,1,135,NaN,knife,knife,NaN,knife4.png
simclr_resnet50x1,1,136,NaN,clock,knife,NaN,knife5.png
simclr_resnet50x1,1,137,NaN,knife,knife,NaN,knife6.png
simclr_resnet50x1,1,138,NaN,knife,knife,NaN,knife7.png
simclr_resnet50x1,1,139,NaN,knife,knife,NaN,knife8.png
simclr_resnet50x1,1,140,NaN,knife,knife,NaN,knife9.png
simclr_resnet50x1,1,141,NaN,knife,oven,NaN,oven1.png
simclr_resnet50x1,1,142,NaN,knife,oven,NaN,oven10.png
simclr_resnet50x1,1,143,NaN,chair,oven,NaN,oven2.png
simclr_resnet50x1,1,144,NaN,knife,oven,NaN,oven3.png
