subj,session,trial,rt,object_response,category,condition,imagename
bagnet33,1,1,NaN,oven,oven,1-10-10,0001_eid_dnn_1-10-10_oven_10_n04111531_17072.png
bagnet33,1,2,NaN,dog,airplane,16-10-10,0002_eid_dnn_16-10-10_airplane_10_n02690373_4183.png
bagnet33,1,3,NaN,cat,car,8-10-10,0003_eid_dnn_8-10-10_car_10_n03100240_1137.png
bagnet33,1,4,NaN,clock,clock,2-10-10,0004_eid_dnn_2-10-10_clock_10_n04548280_7083.png
bagnet33,1,5,NaN,bottle,bottle,2-10-10,0005_eid_dnn_2-10-10_bottle_10_n02823428_7810.png
bagnet33,1,6,NaN,dog,dog,128-10-10,0006_eid_dnn_128-10-10_dog_10_n02091244_8368.png
bagnet33,1,7,NaN,bicycle,bicycle,1-10-10,0007_eid_dnn_1-10-10_bicycle_10_n02835271_2930.png
bagnet33,1,8,NaN,cat,knife,4-10-10,0008_eid_dnn_4-10-10_knife_10_n03041632_52848.png
bagnet33,1,9,NaN,bottle,bottle,2-10-10,0009_eid_dnn_2-10-10_bottle_10_n02823428_4097.png
bagnet33,1,10,NaN,dog,dog,8-10-10,0010_eid_dnn_8-10-10_dog_10_n02105641_10264.png
bagnet33,1,11,NaN,elephant,boat,8-10-10,0011_eid_dnn_8-10-10_boat_10_n03662601_10278.png
bagnet33,1,12,NaN,elephant,truck,32-10-10,0012_eid_dnn_32-10-10_truck_10_n04467665_76958.png
bagnet33,1,13,NaN,cat,dog,16-10-10,0013_eid_dnn_16-10-10_dog_10_n02088238_12552.png
bagnet33,1,14,NaN,cat,dog,8-10-10,0014_eid_dnn_8-10-10_dog_10_n02102040_994.png
bagnet33,1,15,NaN,cat,bear,128-10-10,0015_eid_dnn_128-10-10_bear_10_n02133161_1944.png
bagnet33,1,16,NaN,dog,car,16-10-10,0016_eid_dnn_16-10-10_car_10_n02814533_43040.png
bagnet33,1,17,NaN,elephant,oven,128-10-10,0017_eid_dnn_128-10-10_oven_10_n04111531_18592.png
bagnet33,1,18,NaN,cat,chair,16-10-10,0018_eid_dnn_16-10-10_chair_10_n02791124_4294.png
bagnet33,1,19,NaN,cat,knife,32-10-10,0019_eid_dnn_32-10-10_knife_10_n03041632_2630.png
bagnet33,1,20,NaN,elephant,elephant,1-10-10,0020_eid_dnn_1-10-10_elephant_10_n02504458_723.png
bagnet33,1,21,NaN,boat,chair,4-10-10,0021_eid_dnn_4-10-10_chair_10_n03376595_6107.png
bagnet33,1,22,NaN,dog,clock,32-10-10,0022_eid_dnn_32-10-10_clock_10_n03196217_1337.png
bagnet33,1,23,NaN,elephant,boat,128-10-10,0023_eid_dnn_128-10-10_boat_10_n02951358_9550.png
bagnet33,1,24,NaN,bottle,bird,128-10-10,0024_eid_dnn_128-10-10_bird_10_n01616318_2334.png
bagnet33,1,25,NaN,dog,bottle,32-10-10,0025_eid_dnn_32-10-10_bottle_10_n03937543_1658.png
bagnet33,1,26,NaN,elephant,elephant,2-10-10,0026_eid_dnn_2-10-10_elephant_10_n02504013_6731.png
bagnet33,1,27,NaN,keyboard,keyboard,4-10-10,0027_eid_dnn_4-10-10_keyboard_10_n04505470_4447.png
bagnet33,1,28,NaN,airplane,airplane,1-10-10,0028_eid_dnn_1-10-10_airplane_10_n02690373_4839.png
bagnet33,1,29,NaN,dog,keyboard,64-10-10,0029_eid_dnn_64-10-10_keyboard_10_n04505470_1651.png
bagnet33,1,30,NaN,cat,keyboard,32-10-10,0030_eid_dnn_32-10-10_keyboard_10_n03085013_20601.png
bagnet33,1,31,NaN,bottle,airplane,64-10-10,0031_eid_dnn_64-10-10_airplane_10_n02690373_2217.png
bagnet33,1,32,NaN,bicycle,bicycle,4-10-10,0032_eid_dnn_4-10-10_bicycle_10_n03792782_25019.png
bagnet33,1,33,NaN,cat,cat,8-10-10,0033_eid_dnn_8-10-10_cat_10_n02123597_13890.png
bagnet33,1,34,NaN,boat,boat,1-10-10,0034_eid_dnn_1-10-10_boat_10_n04612504_214.png
bagnet33,1,35,NaN,elephant,chair,128-10-10,0035_eid_dnn_128-10-10_chair_10_n02791124_2555.png
bagnet33,1,36,NaN,truck,car,4-10-10,0036_eid_dnn_4-10-10_car_10_n04285008_2081.png
bagnet33,1,37,NaN,dog,dog,32-10-10,0037_eid_dnn_32-10-10_dog_10_n02094114_8202.png
bagnet33,1,38,NaN,bottle,chair,64-10-10,0038_eid_dnn_64-10-10_chair_10_n04099969_4541.png
bagnet33,1,39,NaN,dog,boat,128-10-10,0039_eid_dnn_128-10-10_boat_10_n04612504_12864.png
bagnet33,1,40,NaN,airplane,airplane,4-10-10,0040_eid_dnn_4-10-10_airplane_10_n02690373_18460.png
bagnet33,1,41,NaN,dog,bottle,64-10-10,0041_eid_dnn_64-10-10_bottle_10_n03983396_8982.png
bagnet33,1,42,NaN,bear,dog,16-10-10,0042_eid_dnn_16-10-10_dog_10_n02099601_10407.png
bagnet33,1,43,NaN,cat,airplane,32-10-10,0043_eid_dnn_32-10-10_airplane_10_n02690373_5253.png
bagnet33,1,44,NaN,elephant,elephant,2-10-10,0044_eid_dnn_2-10-10_elephant_10_n02504013_2832.png
bagnet33,1,45,NaN,clock,clock,1-10-10,0045_eid_dnn_1-10-10_clock_10_n02708093_8002.png
bagnet33,1,46,NaN,chair,chair,2-10-10,0046_eid_dnn_2-10-10_chair_10_n03376595_1766.png
bagnet33,1,47,NaN,truck,truck,2-10-10,0047_eid_dnn_2-10-10_truck_10_n03417042_17616.png
bagnet33,1,48,NaN,bear,bear,16-10-10,0048_eid_dnn_16-10-10_bear_10_n02134418_2804.png
bagnet33,1,49,NaN,dog,car,64-10-10,0049_eid_dnn_64-10-10_car_10_n04285008_12101.png
bagnet33,1,50,NaN,dog,bear,16-10-10,0050_eid_dnn_16-10-10_bear_10_n02134418_3828.png
bagnet33,1,51,NaN,bird,bird,2-10-10,0051_eid_dnn_2-10-10_bird_10_n01530575_5747.png
bagnet33,1,52,NaN,elephant,truck,128-10-10,0052_eid_dnn_128-10-10_truck_10_n03796401_3386.png
bagnet33,1,53,NaN,keyboard,keyboard,16-10-10,0053_eid_dnn_16-10-10_keyboard_10_n04505470_3234.png
bagnet33,1,54,NaN,truck,truck,1-10-10,0054_eid_dnn_1-10-10_truck_10_n04467665_72639.png
bagnet33,1,55,NaN,cat,chair,32-10-10,0055_eid_dnn_32-10-10_chair_10_n04429376_27524.png
bagnet33,1,56,NaN,bottle,bottle,64-10-10,0056_eid_dnn_64-10-10_bottle_10_n04557648_11440.png
bagnet33,1,57,NaN,cat,keyboard,32-10-10,0057_eid_dnn_32-10-10_keyboard_10_n03085013_20216.png
bagnet33,1,58,NaN,dog,boat,8-10-10,0058_eid_dnn_8-10-10_boat_10_n02951358_34653.png
bagnet33,1,59,NaN,keyboard,keyboard,2-10-10,0059_eid_dnn_2-10-10_keyboard_10_n03085013_8932.png
bagnet33,1,60,NaN,cat,cat,1-10-10,0060_eid_dnn_1-10-10_cat_10_n02125311_35338.png
bagnet33,1,61,NaN,dog,bicycle,16-10-10,0061_eid_dnn_16-10-10_bicycle_10_n03792782_5449.png
bagnet33,1,62,NaN,dog,bicycle,4-10-10,0062_eid_dnn_4-10-10_bicycle_10_n03792782_9432.png
bagnet33,1,63,NaN,airplane,bottle,1-10-10,0063_eid_dnn_1-10-10_bottle_10_n04591713_4291.png
bagnet33,1,64,NaN,truck,truck,4-10-10,0064_eid_dnn_4-10-10_truck_10_n04467665_67057.png
bagnet33,1,65,NaN,keyboard,keyboard,1-10-10,0065_eid_dnn_1-10-10_keyboard_10_n03085013_22790.png
bagnet33,1,66,NaN,cat,dog,4-10-10,0066_eid_dnn_4-10-10_dog_10_n02086079_2896.png
bagnet33,1,67,NaN,bear,knife,8-10-10,0067_eid_dnn_8-10-10_knife_10_n03041632_40508.png
bagnet33,1,68,NaN,boat,boat,1-10-10,0068_eid_dnn_1-10-10_boat_10_n03344393_7942.png
bagnet33,1,69,NaN,bear,bear,2-10-10,0069_eid_dnn_2-10-10_bear_10_n02134418_4352.png
bagnet33,1,70,NaN,dog,cat,16-10-10,0070_eid_dnn_16-10-10_cat_10_n02123045_5157.png
bagnet33,1,71,NaN,dog,dog,16-10-10,0071_eid_dnn_16-10-10_dog_10_n02109047_14287.png
bagnet33,1,72,NaN,truck,truck,2-10-10,0072_eid_dnn_2-10-10_truck_10_n03417042_14274.png
bagnet33,1,73,NaN,airplane,airplane,2-10-10,0073_eid_dnn_2-10-10_airplane_10_n02690373_5885.png
bagnet33,1,74,NaN,cat,cat,32-10-10,0074_eid_dnn_32-10-10_cat_10_n02123394_571.png
bagnet33,1,75,NaN,cat,cat,32-10-10,0075_eid_dnn_32-10-10_cat_10_n02123045_10171.png
bagnet33,1,76,NaN,knife,bottle,8-10-10,0076_eid_dnn_8-10-10_bottle_10_n04560804_4909.png
bagnet33,1,77,NaN,keyboard,keyboard,8-10-10,0077_eid_dnn_8-10-10_keyboard_10_n03085013_7971.png
bagnet33,1,78,NaN,cat,keyboard,16-10-10,0078_eid_dnn_16-10-10_keyboard_10_n03085013_21397.png
bagnet33,1,79,NaN,dog,elephant,32-10-10,0079_eid_dnn_32-10-10_elephant_10_n02504458_4187.png
bagnet33,1,80,NaN,dog,clock,8-10-10,0080_eid_dnn_8-10-10_clock_10_n03196217_6689.png
