subj,session,trial,rt,object_response,category,condition,imagename
simclr_resnet50x1,1,1,NaN,oven,oven,1-10-10,0001_eid_dnn_1-10-10_oven_10_n04111531_17072.png
simclr_resnet50x1,1,2,NaN,oven,airplane,16-10-10,0002_eid_dnn_16-10-10_airplane_10_n02690373_4183.png
simclr_resnet50x1,1,3,NaN,knife,car,8-10-10,0003_eid_dnn_8-10-10_car_10_n03100240_1137.png
simclr_resnet50x1,1,4,NaN,clock,clock,2-10-10,0004_eid_dnn_2-10-10_clock_10_n04548280_7083.png
simclr_resnet50x1,1,5,NaN,bottle,bottle,2-10-10,0005_eid_dnn_2-10-10_bottle_10_n02823428_7810.png
simclr_resnet50x1,1,6,NaN,clock,dog,128-10-10,0006_eid_dnn_128-10-10_dog_10_n02091244_8368.png
simclr_resnet50x1,1,7,NaN,bicycle,bicycle,1-10-10,0007_eid_dnn_1-10-10_bicycle_10_n02835271_2930.png
simclr_resnet50x1,1,8,NaN,dog,knife,4-10-10,0008_eid_dnn_4-10-10_knife_10_n03041632_52848.png
simclr_resnet50x1,1,9,NaN,bottle,bottle,2-10-10,0009_eid_dnn_2-10-10_bottle_10_n02823428_4097.png
simclr_resnet50x1,1,10,NaN,dog,dog,8-10-10,0010_eid_dnn_8-10-10_dog_10_n02105641_10264.png
simclr_resnet50x1,1,11,NaN,oven,boat,8-10-10,0011_eid_dnn_8-10-10_boat_10_n03662601_10278.png
simclr_resnet50x1,1,12,NaN,airplane,truck,32-10-10,0012_eid_dnn_32-10-10_truck_10_n04467665_76958.png
simclr_resnet50x1,1,13,NaN,oven,dog,16-10-10,0013_eid_dnn_16-10-10_dog_10_n02088238_12552.png
simclr_resnet50x1,1,14,NaN,bear,dog,8-10-10,0014_eid_dnn_8-10-10_dog_10_n02102040_994.png
simclr_resnet50x1,1,15,NaN,cat,bear,128-10-10,0015_eid_dnn_128-10-10_bear_10_n02133161_1944.png
simclr_resnet50x1,1,16,NaN,oven,car,16-10-10,0016_eid_dnn_16-10-10_car_10_n02814533_43040.png
simclr_resnet50x1,1,17,NaN,bear,oven,128-10-10,0017_eid_dnn_128-10-10_oven_10_n04111531_18592.png
simclr_resnet50x1,1,18,NaN,bottle,chair,16-10-10,0018_eid_dnn_16-10-10_chair_10_n02791124_4294.png
