subj,Session,trial,rt,object_response,category,condition,imagename
subject-02,1,1,1.01900005340576,clock,clock,4-10-10,0001_eid_s02_4-10-10_clock_10_n04548280_4275.png
subject-02,1,2,0.922889947891235,dog,dog,64-10-10,0002_eid_s02_64-10-10_dog_10_n02107683_5424.png
subject-02,1,3,0.87080717086792,bear,oven,32-10-10,0003_eid_s02_32-10-10_oven_10_n04111531_22715.png
subject-02,1,4,0.744460105895996,cat,truck,32-10-10,0004_eid_s02_32-10-10_truck_10_n03796401_1213.png
subject-02,1,5,0.778362035751343,cat,cat,1-10-10,0005_eid_s02_1-10-10_cat_10_n02123394_7782.png
subject-02,1,6,1.09999299049377,boat,airplane,128-10-10,0006_eid_s02_128-10-10_airplane_10_n02690373_693.png
subject-02,1,7,1.08187007904053,dog,truck,128-10-10,0007_eid_s02_128-10-10_truck_10_n03417042_2478.png
subject-02,1,8,1.34553813934326,oven,car,32-10-10,0008_eid_s02_32-10-10_car_10_n03100240_20061.png
subject-02,1,9,0.781378030776978,clock,clock,16-10-10,0009_eid_s02_16-10-10_clock_10_n02708093_4255.png
subject-02,1,10,1.19537210464478,bear,oven,32-10-10,0010_eid_s02_32-10-10_oven_10_n04111531_11230.png
subject-02,1,11,0.930930137634277,bottle,bottle,2-10-10,0011_eid_s02_2-10-10_bottle_10_n04557648_4008.png
subject-02,1,12,0.946934938430786,knife,chair,1-10-10,0012_eid_s02_1-10-10_chair_10_n03376595_3824.png
subject-02,1,13,0.882766962051392,car,car,2-10-10,0013_eid_s02_2-10-10_car_10_n03100240_17588.png
subject-02,1,14,0.8424232006073,cat,keyboard,4-10-10,0014_eid_s02_4-10-10_keyboard_10_n03085013_23295.png
subject-02,1,15,1.09040403366089,truck,boat,128-10-10,0015_eid_s02_128-10-10_boat_10_n02951358_30474.png
subject-02,1,16,0.75846004486084,bird,bird,8-10-10,0016_eid_s02_8-10-10_bird_10_n02013706_637.png
subject-02,1,17,0.953963994979858,chair,chair,8-10-10,0017_eid_s02_8-10-10_chair_10_n02791124_634.png
subject-02,1,18,0.795780897140503,clock,clock,1-10-10,0018_eid_s02_1-10-10_clock_10_n02708093_8257.png
subject-02,1,19,1.02763700485229,elephant,oven,32-10-10,0019_eid_s02_32-10-10_oven_10_n04111531_6695.png
subject-02,1,20,1.04958200454712,knife,chair,16-10-10,0020_eid_s02_16-10-10_chair_10_n02791124_1140.png
subject-02,1,21,0.819393157958984,cat,elephant,32-10-10,0021_eid_s02_32-10-10_elephant_10_n02504013_12531.png
subject-02,1,22,0.887549877166748,elephant,elephant,4-10-10,0022_eid_s02_4-10-10_elephant_10_n02504458_5539.png
subject-02,1,23,1.50010895729065,dog,car,64-10-10,0023_eid_s02_64-10-10_car_10_n02814533_19373.png
