subj,session,trial,rt,object_response,category,condition,imagename
swag_vit_b16_in1k,1,1,NaN,oven,oven,1-10-10,0001_eid_dnn_1-10-10_oven_10_n04111531_17072.png
swag_vit_b16_in1k,1,2,NaN,boat,airplane,16-10-10,0002_eid_dnn_16-10-10_airplane_10_n02690373_4183.png
swag_vit_b16_in1k,1,3,NaN,airplane,car,8-10-10,0003_eid_dnn_8-10-10_car_10_n03100240_1137.png
swag_vit_b16_in1k,1,4,NaN,clock,clock,2-10-10,0004_eid_dnn_2-10-10_clock_10_n04548280_7083.png
swag_vit_b16_in1k,1,5,NaN,bottle,bottle,2-10-10,0005_eid_dnn_2-10-10_bottle_10_n02823428_7810.png
swag_vit_b16_in1k,1,6,NaN,bear,dog,128-10-10,0006_eid_dnn_128-10-10_dog_10_n02091244_8368.png
swag_vit_b16_in1k,1,7,NaN,bicycle,bicycle,1-10-10,0007_eid_dnn_1-10-10_bicycle_10_n02835271_2930.png
swag_vit_b16_in1k,1,8,NaN,knife,knife,4-10-10,0008_eid_dnn_4-10-10_knife_10_n03041632_52848.png
swag_vit_b16_in1k,1,9,NaN,bottle,bottle,2-10-10,0009_eid_dnn_2-10-10_bottle_10_n02823428_4097.png
swag_vit_b16_in1k,1,10,NaN,dog,dog,8-10-10,0010_eid_dnn_8-10-10_dog_10_n02105641_10264.png
swag_vit_b16_in1k,1,11,NaN,boat,boat,8-10-10,0011_eid_dnn_8-10-10_boat_10_n03662601_10278.png
swag_vit_b16_in1k,1,12,NaN,boat,truck,32-10-10,0012_eid_dnn_32-10-10_truck_10_n04467665_76958.png
swag_vit_b16_in1k,1,13,NaN,cat,dog,16-10-10,0013_eid_dnn_16-10-10_dog_10_n02088238_12552.png
swag_vit_b16_in1k,1,14,NaN,knife,dog,8-10-10,0014_eid_dnn_8-10-10_dog_10_n02102040_994.png
swag_vit_b16_in1k,1,15,NaN,clock,bear,128-10-10,0015_eid_dnn_128-10-10_bear_10_n02133161_1944.png
swag_vit_b16_in1k,1,16,NaN,clock,car,16-10-10,0016_eid_dnn_16-10-10_car_10_n02814533_43040.png
swag_vit_b16_in1k,1,17,NaN,bear,oven,128-10-10,0017_eid_dnn_128-10-10_oven_10_n04111531_18592.png
swag_vit_b16_in1k,1,18,NaN,clock,chair,16-10-10,0018_eid_dnn_16-10-10_chair_10_n02791124_4294.png
swag_vit_b16_in1k,1,19,NaN,knife,knife,32-10-10,0019_eid_dnn_32-10-10_knife_10_n03041632_2630.png
swag_vit_b16_in1k,1,20,NaN,elephant,elephant,1-10-10,0020_eid_dnn_1-10-10_elephant_10_n02504458_723.png
swag_vit_b16_in1k,1,21,NaN,chair,chair,4-10-10,0021_eid_dnn_4-10-10_chair_10_n03376595_6107.png
swag_vit_b16_in1k,1,22,NaN,knife,clock,32-10-10,0022_eid_dnn_32-10-10_clock_10_n03196217_1337.png
swag_vit_b16_in1k,1,23,NaN,bear,boat,128-10-10,0023_eid_dnn_128-10-10_boat_10_n02951358_9550.png
swag_vit_b16_in1k,1,24,NaN,clock,bird,128-10-10,0024_eid_dnn_128-10-10_bird_10_n01616318_2334.png
swag_vit_b16_in1k,1,25,NaN,bottle,bottle,32-10-10,0025_eid_dnn_32-10-10_bottle_10_n03937543_1658.png
swag_vit_b16_in1k,1,26,NaN,elephant,elephant,2-10-10,0026_eid_dnn_2-10-10_elephant_10_n02504013_6731.png
swag_vit_b16_in1k,1,27,NaN,keyboard,keyboard,4-10-10,0027_eid_dnn_4-10-10_keyboard_10_n04505470_4447.png
swag_vit_b16_in1k,1,28,NaN,airplane,airplane,1-10-10,0028_eid_dnn_1-10-10_airplane_10_n02690373_4839.png
swag_vit_b16_in1k,1,29,NaN,cat,keyboard,64-10-10,0029_eid_dnn_64-10-10_keyboard_10_n04505470_1651.png
swag_vit_b16_in1k,1,30,NaN,knife,keyboard,32-10-10,0030_eid_dnn_32-10-10_keyboard_10_n03085013_20601.png
swag_vit_b16_in1k,1,31,NaN,clock,airplane,64-10-10,0031_eid_dnn_64-10-10_airplane_10_n02690373_2217.png
swag_vit_b16_in1k,1,32,NaN,bicycle,bicycle,4-10-10,0032_eid_dnn_4-10-10_bicycle_10_n03792782_25019.png
swag_vit_b16_in1k,1,33,NaN,cat,cat,8-10-10,0033_eid_dnn_8-10-10_cat_10_n02123597_13890.png
swag_vit_b16_in1k,1,34,NaN,boat,boat,1-10-10,0034_eid_dnn_1-10-10_boat_10_n04612504_214.png
swag_vit_b16_in1k,1,35,NaN,knife,chair,128-10-10,0035_eid_dnn_128-10-10_chair_10_n02791124_2555.png
swag_vit_b16_in1k,1,36,NaN,car,car,4-10-10,0036_eid_dnn_4-10-10_car_10_n04285008_2081.png
swag_vit_b16_in1k,1,37,NaN,bear,dog,32-10-10,0037_eid_dnn_32-10-10_dog_10_n02094114_8202.png
swag_vit_b16_in1k,1,38,NaN,boat,chair,64-10-10,0038_eid_dnn_64-10-10_chair_10_n04099969_4541.png
swag_vit_b16_in1k,1,39,NaN,knife,boat,128-10-10,0039_eid_dnn_128-10-10_boat_10_n04612504_12864.png
swag_vit_b16_in1k,1,40,NaN,airplane,airplane,4-10-10,0040_eid_dnn_4-10-10_airplane_10_n02690373_18460.png
swag_vit_b16_in1k,1,41,NaN,bear,bottle,64-10-10,0041_eid_dnn_64-10-10_bottle_10_n03983396_8982.png
swag_vit_b16_in1k,1,42,NaN,airplane,dog,16-10-10,0042_eid_dnn_16-10-10_dog_10_n02099601_10407.png
swag_vit_b16_in1k,1,43,NaN,truck,airplane,32-10-10,0043_eid_dnn_32-10-10_airplane_10_n02690373_5253.png
swag_vit_b16_in1k,1,44,NaN,elephant,elephant,2-10-10,0044_eid_dnn_2-10-10_elephant_10_n02504013_2832.png
swag_vit_b16_in1k,1,45,NaN,clock,clock,1-10-10,0045_eid_dnn_1-10-10_clock_10_n02708093_8002.png
swag_vit_b16_in1k,1,46,NaN,chair,chair,2-10-10,0046_eid_dnn_2-10-10_chair_10_n03376595_1766.png
swag_vit_b16_in1k,1,47,NaN,truck,truck,2-10-10,0047_eid_dnn_2-10-10_truck_10_n03417042_17616.png
swag_vit_b16_in1k,1,48,NaN,airplane,bear,16-10-10,0048_eid_dnn_16-10-10_bear_10_n02134418_2804.png
swag_vit_b16_in1k,1,49,NaN,knife,car,64-10-10,0049_eid_dnn_64-10-10_car_10_n04285008_12101.png
swag_vit_b16_in1k,1,50,NaN,bear,bear,16-10-10,0050_eid_dnn_16-10-10_bear_10_n02134418_3828.png
swag_vit_b16_in1k,1,51,NaN,bird,bird,2-10-10,0051_eid_dnn_2-10-10_bird_10_n01530575_5747.png
swag_vit_b16_in1k,1,52,NaN,bear,truck,128-10-10,0052_eid_dnn_128-10-10_truck_10_n03796401_3386.png
swag_vit_b16_in1k,1,53,NaN,keyboard,keyboard,16-10-10,0053_eid_dnn_16-10-10_keyboard_10_n04505470_3234.png
swag_vit_b16_in1k,1,54,NaN,truck,truck,1-10-10,0054_eid_dnn_1-10-10_truck_10_n04467665_72639.png
swag_vit_b16_in1k,1,55,NaN,bear,chair,32-10-10,0055_eid_dnn_32-10-10_chair_10_n04429376_27524.png
swag_vit_b16_in1k,1,56,NaN,bear,bottle,64-10-10,0056_eid_dnn_64-10-10_bottle_10_n04557648_11440.png
swag_vit_b16_in1k,1,57,NaN,knife,keyboard,32-10-10,0057_eid_dnn_32-10-10_keyboard_10_n03085013_20216.png
swag_vit_b16_in1k,1,58,NaN,dog,boat,8-10-10,0058_eid_dnn_8-10-10_boat_10_n02951358_34653.png
swag_vit_b16_in1k,1,59,NaN,keyboard,keyboard,2-10-10,0059_eid_dnn_2-10-10_keyboard_10_n03085013_8932.png
swag_vit_b16_in1k,1,60,NaN,cat,cat,1-10-10,0060_eid_dnn_1-10-10_cat_10_n02125311_35338.png
swag_vit_b16_in1k,1,61,NaN,clock,bicycle,16-10-10,0061_eid_dnn_16-10-10_bicycle_10_n03792782_5449.png
swag_vit_b16_in1k,1,62,NaN,bicycle,bicycle,4-10-10,0062_eid_dnn_4-10-10_bicycle_10_n03792782_9432.png
swag_vit_b16_in1k,1,63,NaN,bottle,bottle,1-10-10,0063_eid_dnn_1-10-10_bottle_10_n04591713_4291.png
