subj,session,trial,rt,object_response,category,condition,imagename
bagnet33,1,1,NaN,dog,car,64-3-10,0001_eid_dnn_64-3-10_car_10_n04285008_8113.png
bagnet33,1,2,NaN,dog,oven,8-3-10,0002_eid_dnn_8-3-10_oven_10_n04111531_11848.png
bagnet33,1,3,NaN,knife,truck,8-3-10,0003_eid_dnn_8-3-10_truck_10_n03417042_25458.png
bagnet33,1,4,NaN,dog,chair,16-3-10,0004_eid_dnn_16-3-10_chair_10_n03376595_6208.png
bagnet33,1,5,NaN,dog,cat,32-3-10,0005_eid_dnn_32-3-10_cat_10_n02123045_12084.png
bagnet33,1,6,NaN,chair,keyboard,8-3-10,0006_eid_dnn_8-3-10_keyboard_10_n03085013_20884.png
bagnet33,1,7,NaN,chair,airplane,4-3-10,0007_eid_dnn_4-3-10_airplane_10_n02690373_5992.png
bagnet33,1,8,NaN,dog,bear,32-3-10,0008_eid_dnn_32-3-10_bear_10_n02132136_6641.png
bagnet33,1,9,NaN,oven,oven,2-3-10,0009_eid_dnn_2-3-10_oven_10_n04111531_2797.png
bagnet33,1,10,NaN,airplane,airplane,2-3-10,0010_eid_dnn_2-3-10_airplane_10_n02690373_7457.png
bagnet33,1,11,NaN,elephant,truck,16-3-10,0011_eid_dnn_16-3-10_truck_10_n03796401_2751.png
bagnet33,1,12,NaN,dog,bear,2-3-10,0012_eid_dnn_2-3-10_bear_10_n02134418_860.png
bagnet33,1,13,NaN,knife,knife,4-3-10,0013_eid_dnn_4-3-10_knife_10_n03041632_2058.png
bagnet33,1,14,NaN,cat,airplane,32-3-10,0014_eid_dnn_32-3-10_airplane_10_n02690373_10510.png
bagnet33,1,15,NaN,elephant,keyboard,64-3-10,0015_eid_dnn_64-3-10_keyboard_10_n03085013_6313.png
bagnet33,1,16,NaN,chair,bicycle,4-3-10,0016_eid_dnn_4-3-10_bicycle_10_n02835271_6278.png
bagnet33,1,17,NaN,keyboard,keyboard,2-3-10,0017_eid_dnn_2-3-10_keyboard_10_n03085013_24192.png
bagnet33,1,18,NaN,car,car,2-3-10,0018_eid_dnn_2-3-10_car_10_n04285008_8255.png
bagnet33,1,19,NaN,airplane,airplane,2-3-10,0019_eid_dnn_2-3-10_airplane_10_n02690373_4591.png
bagnet33,1,20,NaN,airplane,airplane,4-3-10,0020_eid_dnn_4-3-10_airplane_10_n02690373_7075.png
bagnet33,1,21,NaN,knife,bicycle,4-3-10,0021_eid_dnn_4-3-10_bicycle_10_n02835271_21464.png
bagnet33,1,22,NaN,cat,car,64-3-10,0022_eid_dnn_64-3-10_car_10_n03100240_362.png
bagnet33,1,23,NaN,dog,truck,32-3-10,0023_eid_dnn_32-3-10_truck_10_n04467665_50927.png
bagnet33,1,24,NaN,dog,car,16-3-10,0024_eid_dnn_16-3-10_car_10_n04285008_3651.png
