subj,Session,trial,rt,object_response,category,condition,imagename
subject-02,1,1,0.838385105133057,cat,bottle,16-3-10,0001_eid_s02_16-3-10_bottle_10_n04557648_4470.png
subject-02,1,2,0.868145942687988,cat,clock,128-3-10,0002_eid_s02_128-3-10_clock_10_n03196217_5137.png
subject-02,1,3,0.607935905456543,bicycle,bicycle,2-3-10,0003_eid_s02_2-3-10_bicycle_10_n02835271_8060.png
subject-02,1,4,0.69973611831665,bicycle,bicycle,1-3-10,0004_eid_s02_1-3-10_bicycle_10_n02835271_4409.png
subject-02,1,5,0.643670082092285,airplane,airplane,2-3-10,0005_eid_s02_2-3-10_airplane_10_n02690373_4024.png
subject-02,1,6,0.819384098052979,cat,oven,16-3-10,0006_eid_s02_16-3-10_oven_10_n04111531_23668.png
subject-02,1,7,0.621267080307007,clock,clock,8-3-10,0007_eid_s02_8-3-10_clock_10_n04548280_6477.png
subject-02,1,8,0.81524395942688,oven,oven,2-3-10,0008_eid_s02_2-3-10_oven_10_n04111531_4146.png
subject-02,1,9,0.88082480430603,boat,car,32-3-10,0009_eid_s02_32-3-10_car_10_n03100240_5946.png
subject-02,1,10,0.852898836135864,car,knife,128-3-10,0010_eid_s02_128-3-10_knife_10_n03041632_3247.png
subject-02,1,11,0.890332221984863,clock,clock,2-3-10,0011_eid_s02_2-3-10_clock_10_n04548280_9533.png
subject-02,1,12,1.24022603034973,chair,chair,1-3-10,0012_eid_s02_1-3-10_chair_10_n04429376_294.png
subject-02,1,13,NaN,na,airplane,128-3-10,0013_eid_s02_128-3-10_airplane_10_n02690373_4943.png
subject-02,1,14,0.755710124969482,oven,elephant,32-3-10,0014_eid_s02_32-3-10_elephant_10_n02504458_12191.png
subject-02,1,15,0.887728929519653,cat,cat,2-3-10,0015_eid_s02_2-3-10_cat_10_n02124075_13278.png
subject-02,1,16,1.06348896026611,knife,clock,128-3-10,0016_eid_s02_128-3-10_clock_10_n04548280_4364.png
subject-02,1,17,1.42155289649963,elephant,elephant,8-3-10,0017_eid_s02_8-3-10_elephant_10_n02504013_5641.png
subject-02,1,18,0.981491088867188,car,car,8-3-10,0018_eid_s02_8-3-10_car_10_n03100240_327.png
subject-02,1,19,0.816993951797485,boat,bicycle,128-3-10,0019_eid_s02_128-3-10_bicycle_10_n03792782_5494.png
subject-02,1,20,0.742595195770264,bear,airplane,32-3-10,0020_eid_s02_32-3-10_airplane_10_n02690373_10817.png
subject-02,1,21,1.14653301239014,dog,dog,4-3-10,0021_eid_s02_4-3-10_dog_10_n02093859_4797.png
subject-02,1,22,1.34033823013306,chair,chair,1-3-10,0022_eid_s02_1-3-10_chair_10_n02791124_8788.png
subject-02,1,23,1.28014707565308,airplane,airplane,16-3-10,0023_eid_s02_16-3-10_airplane_10_n02690373_1038.png
subject-02,1,24,1.05833697319031,keyboard,oven,64-3-10,0024_eid_s02_64-3-10_oven_10_n04111531_9910.png
subject-02,1,25,0.811918020248413,clock,clock,1-3-10,0025_eid_s02_1-3-10_clock_10_n04548280_3318.png
subject-02,1,26,0.825628042221069,oven,elephant,128-3-10,0026_eid_s02_128-3-10_elephant_10_n02504458_6696.png
subject-02,1,27,1.41748094558716,elephant,truck,1-3-10,0027_eid_s02_1-3-10_truck_10_n03796401_3488.png
subject-02,1,28,0.733222961425781,airplane,airplane,1-3-10,0028_eid_s02_1-3-10_airplane_10_n02690373_6332.png
subject-02,1,29,1.10716605186462,dog,chair,16-3-10,0029_eid_s02_16-3-10_chair_10_n02791124_12486.png
subject-02,1,30,1.50001192092896,airplane,bird,8-3-10,0030_eid_s02_8-3-10_bird_10_n02028035_7406.png
subject-02,1,31,1.09485602378845,boat,airplane,16-3-10,0031_eid_s02_16-3-10_airplane_10_n02690373_7279.png
subject-02,1,32,0.934571027755737,elephant,elephant,8-3-10,0032_eid_s02_8-3-10_elephant_10_n02504013_812.png
subject-02,1,33,1.46068215370178,airplane,car,8-3-10,0033_eid_s02_8-3-10_car_10_n04285008_6454.png
subject-02,1,34,0.864255905151367,bear,dog,32-3-10,0034_eid_s02_32-3-10_dog_10_n02108422_577.png
subject-02,1,35,1.39989018440247,boat,boat,4-3-10,0035_eid_s02_4-3-10_boat_10_n03662601_4619.png
subject-02,1,36,0.981756925582886,bottle,bottle,2-3-10,0036_eid_s02_2-3-10_bottle_10_n02823428_4068.png
subject-02,1,37,0.807614088058472,oven,bird,128-3-10,0037_eid_s02_128-3-10_bird_10_n01819313_3195.png
subject-02,1,38,1.01565599441528,elephant,elephant,1-3-10,0038_eid_s02_1-3-10_elephant_10_n02504458_7506.png
subject-02,1,39,1.05308389663696,bear,oven,32-3-10,0039_eid_s02_32-3-10_oven_10_n04111531_17917.png
subject-02,1,40,1.01110100746155,clock,bear,8-3-10,0040_eid_s02_8-3-10_bear_10_n02134084_4593.png
subject-02,1,41,0.842697858810425,bicycle,boat,32-3-10,0041_eid_s02_32-3-10_boat_10_n03662601_23409.png
subject-02,1,42,0.988907098770142,chair,chair,1-3-10,0042_eid_s02_1-3-10_chair_10_n03376595_8252.png
subject-02,1,43,0.956406116485596,chair,truck,8-3-10,0043_eid_s02_8-3-10_truck_10_n03417042_4016.png
subject-02,1,44,0.868228912353516,cat,keyboard,8-3-10,0044_eid_s02_8-3-10_keyboard_10_n03085013_23254.png
subject-02,1,45,1.01198697090149,boat,oven,32-3-10,0045_eid_s02_32-3-10_oven_10_n04111531_14325.png
subject-02,1,46,1.3897819519043,dog,bear,8-3-10,0046_eid_s02_8-3-10_bear_10_n02133161_13556.png
subject-02,1,47,1.50011897087097,cat,bicycle,2-3-10,0047_eid_s02_2-3-10_bicycle_10_n02835271_14879.png
subject-02,1,48,1.15144610404968,elephant,bicycle,16-3-10,0048_eid_s02_16-3-10_bicycle_10_n03792782_7963.png
subject-02,1,49,0.717509031295776,cat,dog,8-3-10,0049_eid_s02_8-3-10_dog_10_n02113624_8833.png
subject-02,1,50,0.737084865570068,oven,bicycle,128-3-10,0050_eid_s02_128-3-10_bicycle_10_n02835271_15028.png
subject-02,1,51,1.10089898109436,cat,bicycle,32-3-10,0051_eid_s02_32-3-10_bicycle_10_n02835271_12025.png
subject-02,1,52,0.714679956436157,clock,truck,16-3-10,0052_eid_s02_16-3-10_truck_10_n04467665_3038.png
subject-02,1,53,0.932596921920776,cat,elephant,16-3-10,0053_eid_s02_16-3-10_elephant_10_n02504013_10990.png
subject-02,1,54,0.798457860946655,bicycle,bicycle,2-3-10,0054_eid_s02_2-3-10_bicycle_10_n03792782_5665.png
subject-02,1,55,0.906268119812012,elephant,elephant,1-3-10,0055_eid_s02_1-3-10_elephant_10_n02504458_6888.png
subject-02,1,56,0.896149873733521,knife,bottle,32-3-10,0056_eid_s02_32-3-10_bottle_10_n03937543_5324.png
subject-02,1,57,1.50003004074097,bicycle,bicycle,16-3-10,0057_eid_s02_16-3-10_bicycle_10_n02835271_1499.png
subject-02,1,58,1.06000900268555,car,car,2-3-10,0058_eid_s02_2-3-10_car_10_n02814533_65093.png
subject-02,1,59,0.861447095870972,knife,knife,2-3-10,0059_eid_s02_2-3-10_knife_10_n03041632_79317.png
subject-02,1,60,1.42144417762756,dog,dog,8-3-10,0060_eid_s02_8-3-10_dog_10_n02087394_239.png
subject-02,1,61,0.96503210067749,cat,cat,8-3-10,0061_eid_s02_8-3-10_cat_10_n02123045_12657.png
subject-02,1,62,0.985189914703369,dog,oven,8-3-10,0062_eid_s02_8-3-10_oven_10_n04111531_7667.png
subject-02,1,63,1.26247096061707,bicycle,knife,8-3-10,0063_eid_s02_8-3-10_knife_10_n03041632_24114.png
subject-02,1,64,0.782517194747925,cat,dog,32-3-10,0064_eid_s02_32-3-10_dog_10_n02107574_5583.png
subject-02,1,65,0.930212020874023,bear,airplane,128-3-10,0065_eid_s02_128-3-10_airplane_10_n02690373_9312.png
subject-02,1,66,0.857997894287109,boat,car,128-3-10,0066_eid_s02_128-3-10_car_10_n03100240_7219.png
subject-02,1,67,1.06635189056396,elephant,car,16-3-10,0067_eid_s02_16-3-10_car_10_n04285008_7909.png
subject-02,1,68,0.857582092285156,boat,boat,1-3-10,0068_eid_s02_1-3-10_boat_10_n03662601_26396.png
subject-02,1,69,0.785431146621704,keyboard,keyboard,2-3-10,0069_eid_s02_2-3-10_keyboard_10_n03085013_7152.png
subject-02,1,70,1.02528786659241,airplane,airplane,4-3-10,0070_eid_s02_4-3-10_airplane_10_n02690373_9605.png
subject-02,1,71,0.951030969619751,bear,bear,64-3-10,0071_eid_s02_64-3-10_bear_10_n02134418_2964.png
subject-02,1,72,0.877121925354004,car,car,1-3-10,0072_eid_s02_1-3-10_car_10_n04285008_11240.png
subject-02,1,73,0.717026948928833,oven,oven,1-3-10,0073_eid_s02_1-3-10_oven_10_n04111531_18916.png
subject-02,1,74,0.926607847213745,cat,airplane,128-3-10,0074_eid_s02_128-3-10_airplane_10_n02690373_2131.png
subject-02,1,75,0.828367948532104,boat,car,128-3-10,0075_eid_s02_128-3-10_car_10_n03100240_6552.png
subject-02,1,76,0.904561996459961,truck,clock,128-3-10,0076_eid_s02_128-3-10_clock_10_n02708093_906.png
subject-02,1,77,0.893995046615601,bottle,chair,2-3-10,0077_eid_s02_2-3-10_chair_10_n02791124_3222.png
subject-02,1,78,1.25785398483276,knife,knife,16-3-10,0078_eid_s02_16-3-10_knife_10_n03041632_32785.png
subject-02,1,79,1.11364603042603,clock,bird,128-3-10,0079_eid_s02_128-3-10_bird_10_n02018207_6819.png
subject-02,1,80,0.851583957672119,truck,bottle,128-3-10,0080_eid_s02_128-3-10_bottle_10_n03983396_18508.png
subject-02,1,81,0.783999919891357,bicycle,bicycle,1-3-10,0081_eid_s02_1-3-10_bicycle_10_n03792782_32379.png
subject-02,1,82,NaN,na,bear,2-3-10,0082_eid_s02_2-3-10_bear_10_n02133161_7332.png
subject-02,1,83,1.45154500007629,elephant,bottle,64-3-10,0083_eid_s02_64-3-10_bottle_10_n02823428_6793.png
subject-02,1,84,1.01760697364807,boat,chair,128-3-10,0084_eid_s02_128-3-10_chair_10_n02791124_3198.png
subject-02,1,85,1.28115487098694,elephant,elephant,32-3-10,0085_eid_s02_32-3-10_elephant_10_n02504458_6398.png
subject-02,1,86,0.862868070602417,airplane,airplane,2-3-10,0086_eid_s02_2-3-10_airplane_10_n02690373_9762.png
subject-02,1,87,0.868734121322632,bear,elephant,64-3-10,0087_eid_s02_64-3-10_elephant_10_n02504013_4183.png
subject-02,1,88,0.918731927871704,cat,truck,128-3-10,0088_eid_s02_128-3-10_truck_10_n03417042_13871.png
subject-02,1,89,1.23846292495728,dog,cat,32-3-10,0089_eid_s02_32-3-10_cat_10_n02123597_10214.png
subject-02,1,90,0.916116952896118,bear,truck,128-3-10,0090_eid_s02_128-3-10_truck_10_n03417042_28078.png
subject-02,1,91,0.959995031356812,cat,bird,32-3-10,0091_eid_s02_32-3-10_bird_10_n02002724_1235.png
subject-02,1,92,0.733721017837524,boat,clock,32-3-10,0092_eid_s02_32-3-10_clock_10_n03196217_6357.png
subject-02,1,93,0.739686012268066,cat,dog,64-3-10,0093_eid_s02_64-3-10_dog_10_n02101388_438.png
