subj,session,trial,rt,object_response,category,condition,imagename
swag_regnety_16gf_in1k,1,1,NaN,dog,car,64-3-10,0001_eid_dnn_64-3-10_car_10_n04285008_8113.png
swag_regnety_16gf_in1k,1,2,NaN,bottle,oven,8-3-10,0002_eid_dnn_8-3-10_oven_10_n04111531_11848.png
swag_regnety_16gf_in1k,1,3,NaN,airplane,truck,8-3-10,0003_eid_dnn_8-3-10_truck_10_n03417042_25458.png
swag_regnety_16gf_in1k,1,4,NaN,bear,chair,16-3-10,0004_eid_dnn_16-3-10_chair_10_n03376595_6208.png
swag_regnety_16gf_in1k,1,5,NaN,dog,cat,32-3-10,0005_eid_dnn_32-3-10_cat_10_n02123045_12084.png
swag_regnety_16gf_in1k,1,6,NaN,keyboard,keyboard,8-3-10,0006_eid_dnn_8-3-10_keyboard_10_n03085013_20884.png
swag_regnety_16gf_in1k,1,7,NaN,airplane,airplane,4-3-10,0007_eid_dnn_4-3-10_airplane_10_n02690373_5992.png
swag_regnety_16gf_in1k,1,8,NaN,clock,bear,32-3-10,0008_eid_dnn_32-3-10_bear_10_n02132136_6641.png
swag_regnety_16gf_in1k,1,9,NaN,oven,oven,2-3-10,0009_eid_dnn_2-3-10_oven_10_n04111531_2797.png
swag_regnety_16gf_in1k,1,10,NaN,airplane,airplane,2-3-10,0010_eid_dnn_2-3-10_airplane_10_n02690373_7457.png
swag_regnety_16gf_in1k,1,11,NaN,bear,truck,16-3-10,0011_eid_dnn_16-3-10_truck_10_n03796401_2751.png
swag_regnety_16gf_in1k,1,12,NaN,bear,bear,2-3-10,0012_eid_dnn_2-3-10_bear_10_n02134418_860.png
swag_regnety_16gf_in1k,1,13,NaN,knife,knife,4-3-10,0013_eid_dnn_4-3-10_knife_10_n03041632_2058.png
swag_regnety_16gf_in1k,1,14,NaN,dog,airplane,32-3-10,0014_eid_dnn_32-3-10_airplane_10_n02690373_10510.png
swag_regnety_16gf_in1k,1,15,NaN,dog,keyboard,64-3-10,0015_eid_dnn_64-3-10_keyboard_10_n03085013_6313.png
swag_regnety_16gf_in1k,1,16,NaN,airplane,bicycle,4-3-10,0016_eid_dnn_4-3-10_bicycle_10_n02835271_6278.png
swag_regnety_16gf_in1k,1,17,NaN,keyboard,keyboard,2-3-10,0017_eid_dnn_2-3-10_keyboard_10_n03085013_24192.png
swag_regnety_16gf_in1k,1,18,NaN,car,car,2-3-10,0018_eid_dnn_2-3-10_car_10_n04285008_8255.png
swag_regnety_16gf_in1k,1,19,NaN,airplane,airplane,2-3-10,0019_eid_dnn_2-3-10_airplane_10_n02690373_4591.png
swag_regnety_16gf_in1k,1,20,NaN,airplane,airplane,4-3-10,0020_eid_dnn_4-3-10_airplane_10_n02690373_7075.png
swag_regnety_16gf_in1k,1,21,NaN,bicycle,bicycle,4-3-10,0021_eid_dnn_4-3-10_bicycle_10_n02835271_21464.png
swag_regnety_16gf_in1k,1,22,NaN,dog,car,64-3-10,0022_eid_dnn_64-3-10_car_10_n03100240_362.png
swag_regnety_16gf_in1k,1,23,NaN,dog,truck,32-3-10,0023_eid_dnn_32-3-10_truck_10_n04467665_50927.png
swag_regnety_16gf_in1k,1,24,NaN,airplane,car,16-3-10,0024_eid_dnn_16-3-10_car_10_n04285008_3651.png
swag_regnety_16gf_in1k,1,25,NaN,bottle,bottle,8-3-10,0025_eid_dnn_8-3-10_bottle_10_n04557648_4974.png
swag_regnety_16gf_in1k,1,26,NaN,dog,bird,16-3-10,0026_eid_dnn_16-3-10_bird_10_n01537544_23499.png
swag_regnety_16gf_in1k,1,27,NaN,boat,boat,1-3-10,0027_eid_dnn_1-3-10_boat_10_n04612504_11387.png
swag_regnety_16gf_in1k,1,28,NaN,bottle,bottle,4-3-10,0028_eid_dnn_4-3-10_bottle_10_n03983396_4300.png
swag_regnety_16gf_in1k,1,29,NaN,dog,bottle,64-3-10,0029_eid_dnn_64-3-10_bottle_10_n04591713_6961.png
swag_regnety_16gf_in1k,1,30,NaN,dog,clock,128-3-10,0030_eid_dnn_128-3-10_clock_10_n02708093_3361.png
swag_regnety_16gf_in1k,1,31,NaN,dog,truck,32-3-10,0031_eid_dnn_32-3-10_truck_10_n03417042_18374.png
swag_regnety_16gf_in1k,1,32,NaN,dog,knife,64-3-10,0032_eid_dnn_64-3-10_knife_10_n03041632_36280.png
swag_regnety_16gf_in1k,1,33,NaN,airplane,bird,8-3-10,0033_eid_dnn_8-3-10_bird_10_n01614925_47.png
swag_regnety_16gf_in1k,1,34,NaN,bicycle,bicycle,8-3-10,0034_eid_dnn_8-3-10_bicycle_10_n02835271_20099.png
swag_regnety_16gf_in1k,1,35,NaN,bear,bear,4-3-10,0035_eid_dnn_4-3-10_bear_10_n02134084_12070.png
swag_regnety_16gf_in1k,1,36,NaN,bottle,bottle,8-3-10,0036_eid_dnn_8-3-10_bottle_10_n02823428_8525.png
swag_regnety_16gf_in1k,1,37,NaN,airplane,truck,32-3-10,0037_eid_dnn_32-3-10_truck_10_n04467665_37953.png
swag_regnety_16gf_in1k,1,38,NaN,dog,oven,128-3-10,0038_eid_dnn_128-3-10_oven_10_n04111531_4868.png
swag_regnety_16gf_in1k,1,39,NaN,airplane,boat,32-3-10,0039_eid_dnn_32-3-10_boat_10_n03662601_19840.png
swag_regnety_16gf_in1k,1,40,NaN,bear,truck,8-3-10,0040_eid_dnn_8-3-10_truck_10_n04467665_9331.png
swag_regnety_16gf_in1k,1,41,NaN,dog,dog,64-3-10,0041_eid_dnn_64-3-10_dog_10_n02111277_16090.png
swag_regnety_16gf_in1k,1,42,NaN,keyboard,bottle,4-3-10,0042_eid_dnn_4-3-10_bottle_10_n02823428_6731.png
swag_regnety_16gf_in1k,1,43,NaN,dog,elephant,8-3-10,0043_eid_dnn_8-3-10_elephant_10_n02504013_8930.png
swag_regnety_16gf_in1k,1,44,NaN,car,car,4-3-10,0044_eid_dnn_4-3-10_car_10_n03100240_13673.png
swag_regnety_16gf_in1k,1,45,NaN,knife,bird,128-3-10,0045_eid_dnn_128-3-10_bird_10_n02018207_6819.png
