subj,session,trial,rt,object_response,category,condition,imagename
resnet50,1,1,NaN,cat,oven,16-0-10,0001_eid_dnn_16-0-10_oven_10_n04111531_13542.png
resnet50,1,2,NaN,car,car,4-0-10,0002_eid_dnn_4-0-10_car_10_n03100240_5570.png
resnet50,1,3,NaN,dog,bird,8-0-10,0003_eid_dnn_8-0-10_bird_10_n01820546_4847.png
resnet50,1,4,NaN,clock,bear,32-0-10,0004_eid_dnn_32-0-10_bear_10_n02133161_15561.png
resnet50,1,5,NaN,dog,bird,64-0-10,0005_eid_dnn_64-0-10_bird_10_n01531178_9584.png
resnet50,1,6,NaN,bear,bicycle,8-0-10,0006_eid_dnn_8-0-10_bicycle_10_n02835271_18846.png
resnet50,1,7,NaN,bottle,oven,4-0-10,0007_eid_dnn_4-0-10_oven_10_n04111531_73.png
resnet50,1,8,NaN,clock,clock,2-0-10,0008_eid_dnn_2-0-10_clock_10_n04548280_6159.png
resnet50,1,9,NaN,dog,chair,32-0-10,0009_eid_dnn_32-0-10_chair_10_n03376595_9395.png
resnet50,1,10,NaN,dog,bicycle,64-0-10,0010_eid_dnn_64-0-10_bicycle_10_n02835271_1918.png
resnet50,1,11,NaN,dog,bicycle,128-0-10,0011_eid_dnn_128-0-10_bicycle_10_n02835271_42320.png
resnet50,1,12,NaN,elephant,elephant,1-0-10,0012_eid_dnn_1-0-10_elephant_10_n02504458_3628.png
resnet50,1,13,NaN,dog,knife,64-0-10,0013_eid_dnn_64-0-10_knife_10_n03041632_86554.png
resnet50,1,14,NaN,airplane,cat,8-0-10,0014_eid_dnn_8-0-10_cat_10_n02123394_1726.png
resnet50,1,15,NaN,dog,cat,32-0-10,0015_eid_dnn_32-0-10_cat_10_n02123597_6721.png
resnet50,1,16,NaN,oven,oven,2-0-10,0016_eid_dnn_2-0-10_oven_10_n04111531_21869.png
resnet50,1,17,NaN,bear,bear,4-0-10,0017_eid_dnn_4-0-10_bear_10_n02134084_2949.png
resnet50,1,18,NaN,dog,truck,8-0-10,0018_eid_dnn_8-0-10_truck_10_n03417042_18743.png
resnet50,1,19,NaN,bird,bird,16-0-10,0019_eid_dnn_16-0-10_bird_10_n01616318_4246.png
resnet50,1,20,NaN,bear,bicycle,8-0-10,0020_eid_dnn_8-0-10_bicycle_10_n03792782_66771.png
resnet50,1,21,NaN,keyboard,keyboard,2-0-10,0021_eid_dnn_2-0-10_keyboard_10_n04505470_3531.png
resnet50,1,22,NaN,bottle,clock,8-0-10,0022_eid_dnn_8-0-10_clock_10_n04548280_6463.png
resnet50,1,23,NaN,dog,keyboard,16-0-10,0023_eid_dnn_16-0-10_keyboard_10_n04505470_4974.png
resnet50,1,24,NaN,bottle,chair,4-0-10,0024_eid_dnn_4-0-10_chair_10_n03376595_360.png
resnet50,1,25,NaN,dog,dog,16-0-10,0025_eid_dnn_16-0-10_dog_10_n02097130_2752.png
resnet50,1,26,NaN,bicycle,bicycle,2-0-10,0026_eid_dnn_2-0-10_bicycle_10_n02835271_3406.png
resnet50,1,27,NaN,bottle,bottle,16-0-10,0027_eid_dnn_16-0-10_bottle_10_n04560804_11732.png
resnet50,1,28,NaN,dog,bottle,32-0-10,0028_eid_dnn_32-0-10_bottle_10_n04591713_13589.png
resnet50,1,29,NaN,cat,cat,2-0-10,0029_eid_dnn_2-0-10_cat_10_n02123045_4009.png
resnet50,1,30,NaN,bottle,chair,8-0-10,0030_eid_dnn_8-0-10_chair_10_n02791124_1704.png
resnet50,1,31,NaN,dog,bicycle,128-0-10,0031_eid_dnn_128-0-10_bicycle_10_n03792782_28395.png
resnet50,1,32,NaN,dog,truck,16-0-10,0032_eid_dnn_16-0-10_truck_10_n03417042_4288.png
resnet50,1,33,NaN,keyboard,keyboard,1-0-10,0033_eid_dnn_1-0-10_keyboard_10_n04505470_3371.png
resnet50,1,34,NaN,cat,cat,1-0-10,0034_eid_dnn_1-0-10_cat_10_n02124075_13436.png
resnet50,1,35,NaN,dog,dog,32-0-10,0035_eid_dnn_32-0-10_dog_10_n02097209_8270.png
resnet50,1,36,NaN,dog,clock,128-0-10,0036_eid_dnn_128-0-10_clock_10_n04548280_7795.png
resnet50,1,37,NaN,bicycle,car,32-0-10,0037_eid_dnn_32-0-10_car_10_n03100240_21737.png
resnet50,1,38,NaN,clock,clock,128-0-10,0038_eid_dnn_128-0-10_clock_10_n02708093_1862.png
resnet50,1,39,NaN,dog,bicycle,64-0-10,0039_eid_dnn_64-0-10_bicycle_10_n03792782_9412.png
resnet50,1,40,NaN,clock,bear,32-0-10,0040_eid_dnn_32-0-10_bear_10_n02134418_163.png
resnet50,1,41,NaN,bear,keyboard,16-0-10,0041_eid_dnn_16-0-10_keyboard_10_n03085013_25675.png
resnet50,1,42,NaN,truck,truck,2-0-10,0042_eid_dnn_2-0-10_truck_10_n03417042_1716.png
resnet50,1,43,NaN,cat,keyboard,128-0-10,0043_eid_dnn_128-0-10_keyboard_10_n03085013_18854.png
resnet50,1,44,NaN,dog,bottle,32-0-10,0044_eid_dnn_32-0-10_bottle_10_n04591713_4865.png
