subj,Session,trial,rt,object_response,category,condition,imagename
subject-02,1,1,1.07026100158691,car,car,8-0-10,0001_eid_s02_8-0-10_car_10_n04285008_13958.png
subject-02,1,2,1.06820106506348,bird,bicycle,128-0-10,0002_eid_s02_128-0-10_bicycle_10_n02835271_4726.png
subject-02,1,3,0.84987998008728,car,car,1-0-10,0003_eid_s02_1-0-10_car_10_n03100240_9171.png
subject-02,1,4,1.17575597763062,dog,bear,2-0-10,0004_eid_s02_2-0-10_bear_10_n02134418_18850.png
subject-02,1,5,0.923418998718262,car,car,2-0-10,0005_eid_s02_2-0-10_car_10_n02814533_211.png
subject-02,1,6,1.01134490966797,elephant,elephant,4-0-10,0006_eid_s02_4-0-10_elephant_10_n02504013_8562.png
subject-02,1,7,0.845381021499634,cat,bottle,32-0-10,0007_eid_s02_32-0-10_bottle_10_n04591713_4865.png
subject-02,1,8,1.02335715293884,bird,bird,2-0-10,0008_eid_s02_2-0-10_bird_10_n01795545_15255.png
subject-02,1,9,0.864768981933594,cat,clock,64-0-10,0009_eid_s02_64-0-10_clock_10_n04548280_1324.png
subject-02,1,10,0.948349952697754,cat,oven,128-0-10,0010_eid_s02_128-0-10_oven_10_n04111531_17045.png
subject-02,1,11,1.01632881164551,boat,airplane,64-0-10,0011_eid_s02_64-0-10_airplane_10_n02690373_16250.png
subject-02,1,12,1.2860209941864,boat,car,32-0-10,0012_eid_s02_32-0-10_car_10_n03100240_21737.png
subject-02,1,13,0.945949077606201,bear,bear,1-0-10,0013_eid_s02_1-0-10_bear_10_n02134418_2545.png
subject-02,1,14,0.847879886627197,cat,airplane,128-0-10,0014_eid_s02_128-0-10_airplane_10_n02690373_5141.png
subject-02,1,15,0.881713151931763,boat,bird,4-0-10,0015_eid_s02_4-0-10_bird_10_n02028035_32557.png
subject-02,1,16,0.879864931106567,cat,car,16-0-10,0016_eid_s02_16-0-10_car_10_n02814533_28371.png
subject-02,1,17,0.805407047271729,cat,keyboard,32-0-10,0017_eid_s02_32-0-10_keyboard_10_n04505470_2326.png
subject-02,1,18,0.639053106307983,cat,keyboard,64-0-10,0018_eid_s02_64-0-10_keyboard_10_n04505470_4660.png
subject-02,1,19,0.988803148269653,bear,car,64-0-10,0019_eid_s02_64-0-10_car_10_n02814533_14484.png
subject-02,1,20,0.83055591583252,boat,keyboard,128-0-10,0020_eid_s02_128-0-10_keyboard_10_n04505470_659.png
subject-02,1,21,0.92043399810791,cat,bear,16-0-10,0021_eid_s02_16-0-10_bear_10_n02132136_2765.png
