subj,session,trial,rt,object_response,category,condition,imagename
swag_regnety_32gf_in1k,1,1,NaN,dog,oven,16-0-10,0001_eid_dnn_16-0-10_oven_10_n04111531_13542.png
swag_regnety_32gf_in1k,1,2,NaN,car,car,4-0-10,0002_eid_dnn_4-0-10_car_10_n03100240_5570.png
swag_regnety_32gf_in1k,1,3,NaN,dog,bird,8-0-10,0003_eid_dnn_8-0-10_bird_10_n01820546_4847.png
swag_regnety_32gf_in1k,1,4,NaN,dog,bear,32-0-10,0004_eid_dnn_32-0-10_bear_10_n02133161_15561.png
swag_regnety_32gf_in1k,1,5,NaN,dog,bird,64-0-10,0005_eid_dnn_64-0-10_bird_10_n01531178_9584.png
swag_regnety_32gf_in1k,1,6,NaN,cat,bicycle,8-0-10,0006_eid_dnn_8-0-10_bicycle_10_n02835271_18846.png
swag_regnety_32gf_in1k,1,7,NaN,bottle,oven,4-0-10,0007_eid_dnn_4-0-10_oven_10_n04111531_73.png
swag_regnety_32gf_in1k,1,8,NaN,clock,clock,2-0-10,0008_eid_dnn_2-0-10_clock_10_n04548280_6159.png
swag_regnety_32gf_in1k,1,9,NaN,dog,chair,32-0-10,0009_eid_dnn_32-0-10_chair_10_n03376595_9395.png
swag_regnety_32gf_in1k,1,10,NaN,dog,bicycle,64-0-10,0010_eid_dnn_64-0-10_bicycle_10_n02835271_1918.png
swag_regnety_32gf_in1k,1,11,NaN,cat,bicycle,128-0-10,0011_eid_dnn_128-0-10_bicycle_10_n02835271_42320.png
swag_regnety_32gf_in1k,1,12,NaN,elephant,elephant,1-0-10,0012_eid_dnn_1-0-10_elephant_10_n02504458_3628.png
swag_regnety_32gf_in1k,1,13,NaN,dog,knife,64-0-10,0013_eid_dnn_64-0-10_knife_10_n03041632_86554.png
swag_regnety_32gf_in1k,1,14,NaN,cat,cat,8-0-10,0014_eid_dnn_8-0-10_cat_10_n02123394_1726.png
swag_regnety_32gf_in1k,1,15,NaN,dog,cat,32-0-10,0015_eid_dnn_32-0-10_cat_10_n02123597_6721.png
swag_regnety_32gf_in1k,1,16,NaN,oven,oven,2-0-10,0016_eid_dnn_2-0-10_oven_10_n04111531_21869.png
swag_regnety_32gf_in1k,1,17,NaN,bear,bear,4-0-10,0017_eid_dnn_4-0-10_bear_10_n02134084_2949.png
swag_regnety_32gf_in1k,1,18,NaN,dog,truck,8-0-10,0018_eid_dnn_8-0-10_truck_10_n03417042_18743.png
swag_regnety_32gf_in1k,1,19,NaN,dog,bird,16-0-10,0019_eid_dnn_16-0-10_bird_10_n01616318_4246.png
swag_regnety_32gf_in1k,1,20,NaN,dog,bicycle,8-0-10,0020_eid_dnn_8-0-10_bicycle_10_n03792782_66771.png
swag_regnety_32gf_in1k,1,21,NaN,keyboard,keyboard,2-0-10,0021_eid_dnn_2-0-10_keyboard_10_n04505470_3531.png
swag_regnety_32gf_in1k,1,22,NaN,knife,clock,8-0-10,0022_eid_dnn_8-0-10_clock_10_n04548280_6463.png
swag_regnety_32gf_in1k,1,23,NaN,dog,keyboard,16-0-10,0023_eid_dnn_16-0-10_keyboard_10_n04505470_4974.png
swag_regnety_32gf_in1k,1,24,NaN,keyboard,chair,4-0-10,0024_eid_dnn_4-0-10_chair_10_n03376595_360.png
swag_regnety_32gf_in1k,1,25,NaN,cat,dog,16-0-10,0025_eid_dnn_16-0-10_dog_10_n02097130_2752.png
swag_regnety_32gf_in1k,1,26,NaN,bicycle,bicycle,2-0-10,0026_eid_dnn_2-0-10_bicycle_10_n02835271_3406.png
swag_regnety_32gf_in1k,1,27,NaN,knife,bottle,16-0-10,0027_eid_dnn_16-0-10_bottle_10_n04560804_11732.png
swag_regnety_32gf_in1k,1,28,NaN,dog,bottle,32-0-10,0028_eid_dnn_32-0-10_bottle_10_n04591713_13589.png
swag_regnety_32gf_in1k,1,29,NaN,cat,cat,2-0-10,0029_eid_dnn_2-0-10_cat_10_n02123045_4009.png
swag_regnety_32gf_in1k,1,30,NaN,oven,chair,8-0-10,0030_eid_dnn_8-0-10_chair_10_n02791124_1704.png
swag_regnety_32gf_in1k,1,31,NaN,cat,bicycle,128-0-10,0031_eid_dnn_128-0-10_bicycle_10_n03792782_28395.png
swag_regnety_32gf_in1k,1,32,NaN,knife,truck,16-0-10,0032_eid_dnn_16-0-10_truck_10_n03417042_4288.png
swag_regnety_32gf_in1k,1,33,NaN,keyboard,keyboard,1-0-10,0033_eid_dnn_1-0-10_keyboard_10_n04505470_3371.png
swag_regnety_32gf_in1k,1,34,NaN,cat,cat,1-0-10,0034_eid_dnn_1-0-10_cat_10_n02124075_13436.png
swag_regnety_32gf_in1k,1,35,NaN,dog,dog,32-0-10,0035_eid_dnn_32-0-10_dog_10_n02097209_8270.png
swag_regnety_32gf_in1k,1,36,NaN,dog,clock,128-0-10,0036_eid_dnn_128-0-10_clock_10_n04548280_7795.png
swag_regnety_32gf_in1k,1,37,NaN,dog,car,32-0-10,0037_eid_dnn_32-0-10_car_10_n03100240_21737.png
swag_regnety_32gf_in1k,1,38,NaN,clock,clock,128-0-10,0038_eid_dnn_128-0-10_clock_10_n02708093_1862.png
swag_regnety_32gf_in1k,1,39,NaN,dog,bicycle,64-0-10,0039_eid_dnn_64-0-10_bicycle_10_n03792782_9412.png
swag_regnety_32gf_in1k,1,40,NaN,dog,bear,32-0-10,0040_eid_dnn_32-0-10_bear_10_n02134418_163.png
swag_regnety_32gf_in1k,1,41,NaN,dog,keyboard,16-0-10,0041_eid_dnn_16-0-10_keyboard_10_n03085013_25675.png
swag_regnety_32gf_in1k,1,42,NaN,truck,truck,2-0-10,0042_eid_dnn_2-0-10_truck_10_n03417042_1716.png
swag_regnety_32gf_in1k,1,43,NaN,dog,keyboard,128-0-10,0043_eid_dnn_128-0-10_keyboard_10_n03085013_18854.png
swag_regnety_32gf_in1k,1,44,NaN,dog,bottle,32-0-10,0044_eid_dnn_32-0-10_bottle_10_n04591713_4865.png
swag_regnety_32gf_in1k,1,45,NaN,dog,bicycle,32-0-10,0045_eid_dnn_32-0-10_bicycle_10_n03792782_693.png
swag_regnety_32gf_in1k,1,46,NaN,dog,bottle,1-0-10,0046_eid_dnn_1-0-10_bottle_10_n04557648_264.png
swag_regnety_32gf_in1k,1,47,NaN,knife,knife,2-0-10,0047_eid_dnn_2-0-10_knife_10_n03041632_25512.png
