subj,session,trial,rt,object_response,category,condition,imagename
simclr_resnet50x1,1,1,NaN,knife,knife,true,0001_fc_dnn_true_knife_35_n03041632_86251.png
simclr_resnet50x1,1,2,NaN,car,car,false,0002_fc_dnn_false_car_35_n03100240_16866.png
simclr_resnet50x1,1,3,NaN,keyboard,keyboard,false,0003_fc_dnn_false_keyboard_35_n03085013_21127.png
simclr_resnet50x1,1,4,NaN,truck,truck,true,0004_fc_dnn_true_truck_35_n03417042_10694.png
simclr_resnet50x1,1,5,NaN,bird,bird,true,0005_fc_dnn_true_bird_35_n01614925_1962.png
simclr_resnet50x1,1,6,NaN,knife,knife,false,0006_fc_dnn_false_knife_35_n03041632_99875.png
simclr_resnet50x1,1,7,NaN,bicycle,bicycle,true,0007_fc_dnn_true_bicycle_35_n03792782_14935.png
simclr_resnet50x1,1,8,NaN,elephant,elephant,false,0008_fc_dnn_false_elephant_35_n02504013_5027.png
simclr_resnet50x1,1,9,NaN,dog,dog,false,0009_fc_dnn_false_dog_35_n02090721_129.png
simclr_resnet50x1,1,10,NaN,airplane,airplane,true,0010_fc_dnn_true_airplane_35_n02690373_9241.png
simclr_resnet50x1,1,11,NaN,truck,truck,true,0011_fc_dnn_true_truck_35_n04467665_62080.png
simclr_resnet50x1,1,12,NaN,keyboard,keyboard,true,0012_fc_dnn_true_keyboard_35_n04505470_2669.png
simclr_resnet50x1,1,13,NaN,oven,oven,false,0013_fc_dnn_false_oven_35_n04111531_688.png
simclr_resnet50x1,1,14,NaN,car,car,true,0014_fc_dnn_true_car_35_n03100240_21982.png
simclr_resnet50x1,1,15,NaN,bicycle,bicycle,true,0015_fc_dnn_true_bicycle_35_n02835271_4191.png
simclr_resnet50x1,1,16,NaN,car,car,true,0016_fc_dnn_true_car_35_n02814533_25278.png
simclr_resnet50x1,1,17,NaN,knife,knife,false,0017_fc_dnn_false_knife_35_n03041632_23087.png
simclr_resnet50x1,1,18,NaN,clock,clock,true,0018_fc_dnn_true_clock_35_n03196217_11252.png
simclr_resnet50x1,1,19,NaN,boat,boat,false,0019_fc_dnn_false_boat_35_n04273569_2040.png
simclr_resnet50x1,1,20,NaN,knife,knife,true,0020_fc_dnn_true_knife_35_n03041632_84869.png
simclr_resnet50x1,1,21,NaN,clock,clock,true,0021_fc_dnn_true_clock_35_n04548280_503.png
simclr_resnet50x1,1,22,NaN,truck,truck,false,0022_fc_dnn_false_truck_35_n03417042_10654.png
simclr_resnet50x1,1,23,NaN,boat,boat,true,0023_fc_dnn_true_boat_35_n03344393_2919.png
simclr_resnet50x1,1,24,NaN,chair,chair,false,0024_fc_dnn_false_chair_35_n04099969_7718.png
simclr_resnet50x1,1,25,NaN,oven,oven,true,0025_fc_dnn_true_oven_35_n04111531_3477.png
simclr_resnet50x1,1,26,NaN,dog,dog,false,0026_fc_dnn_false_dog_35_n02113712_913.png
simclr_resnet50x1,1,27,NaN,chair,chair,false,0027_fc_dnn_false_chair_35_n02791124_13701.png
simclr_resnet50x1,1,28,NaN,airplane,airplane,true,0028_fc_dnn_true_airplane_35_n02690373_8538.png
simclr_resnet50x1,1,29,NaN,knife,knife,true,0029_fc_dnn_true_knife_35_n03041632_98864.png
simclr_resnet50x1,1,30,NaN,clock,clock,false,0030_fc_dnn_false_clock_35_n04548280_5466.png
simclr_resnet50x1,1,31,NaN,keyboard,keyboard,true,0031_fc_dnn_true_keyboard_35_n04505470_4033.png
simclr_resnet50x1,1,32,NaN,boat,boat,false,0032_fc_dnn_false_boat_35_n03344393_7503.png
simclr_resnet50x1,1,33,NaN,bottle,bottle,false,0033_fc_dnn_false_bottle_35_n02823428_3402.png
simclr_resnet50x1,1,34,NaN,boat,boat,true,0034_fc_dnn_true_boat_35_n03662601_15766.png
simclr_resnet50x1,1,35,NaN,dog,dog,true,0035_fc_dnn_true_dog_35_n02097047_1351.png
simclr_resnet50x1,1,36,NaN,keyboard,keyboard,true,0036_fc_dnn_true_keyboard_35_n03085013_23562.png
simclr_resnet50x1,1,37,NaN,clock,clock,false,0037_fc_dnn_false_clock_35_n04548280_7872.png
simclr_resnet50x1,1,38,NaN,dog,dog,false,0038_fc_dnn_false_dog_35_n02106166_16884.png
simclr_resnet50x1,1,39,NaN,oven,oven,true,0039_fc_dnn_true_oven_35_n04111531_3353.png
simclr_resnet50x1,1,40,NaN,knife,knife,false,0040_fc_dnn_false_knife_35_n03041632_46185.png
simclr_resnet50x1,1,41,NaN,knife,knife,true,0041_fc_dnn_true_knife_35_n03041632_14766.png
simclr_resnet50x1,1,42,NaN,chair,chair,true,0042_fc_dnn_true_chair_35_n02791124_2150.png
simclr_resnet50x1,1,43,NaN,elephant,elephant,false,0043_fc_dnn_false_elephant_35_n02504458_4631.png
simclr_resnet50x1,1,44,NaN,chair,chair,false,0044_fc_dnn_false_chair_35_n03376595_3223.png
simclr_resnet50x1,1,45,NaN,car,car,false,0045_fc_dnn_false_car_35_n03100240_5399.png
simclr_resnet50x1,1,46,NaN,bottle,bottle,true,0046_fc_dnn_true_bottle_35_n04557648_2512.png
