subj,Session,trial,rt,object_response,category,condition,imagename
subject-01,1,1,0.809584140777588,knife,knife,true,0001_fc_s01_true_knife_35_n03041632_86251.png
subject-01,1,2,0.997450113296509,car,car,false,0002_fc_s01_false_car_35_n03100240_16866.png
subject-01,1,3,1.25921511650085,keyboard,keyboard,false,0003_fc_s01_false_keyboard_35_n03085013_21127.png
subject-01,1,4,0.825117111206055,truck,truck,true,0004_fc_s01_true_truck_35_n03417042_10694.png
subject-01,1,5,1.07885599136353,bird,bird,true,0005_fc_s01_true_bird_35_n01614925_1962.png
subject-01,1,6,1.35673904418945,clock,knife,false,0006_fc_s01_false_knife_35_n03041632_99875.png
subject-01,1,7,1.18241000175476,bicycle,bicycle,true,0007_fc_s01_true_bicycle_35_n03792782_14935.png
subject-01,1,8,0.976280927658081,elephant,elephant,false,0008_fc_s01_false_elephant_35_n02504013_5027.png
subject-01,1,9,1.33407497406006,dog,dog,false,0009_fc_s01_false_dog_35_n02090721_129.png
subject-01,1,10,1.02587699890137,airplane,airplane,true,0010_fc_s01_true_airplane_35_n02690373_9241.png
subject-01,1,11,0.957607984542847,truck,truck,true,0011_fc_s01_true_truck_35_n04467665_62080.png
subject-01,1,12,NaN,na,keyboard,true,0012_fc_s01_true_keyboard_35_n04505470_2669.png
subject-01,1,13,1.09343695640564,bear,oven,false,0013_fc_s01_false_oven_35_n04111531_688.png
subject-01,1,14,0.905143022537231,car,car,true,0014_fc_s01_true_car_35_n03100240_21982.png
subject-01,1,15,1.00899195671082,bicycle,bicycle,true,0015_fc_s01_true_bicycle_35_n02835271_4191.png
subject-01,1,16,0.904927968978882,car,car,true,0016_fc_s01_true_car_35_n02814533_25278.png
subject-01,1,17,0.862505912780762,knife,knife,false,0017_fc_s01_false_knife_35_n03041632_23087.png
subject-01,1,18,0.832413911819458,clock,clock,true,0018_fc_s01_true_clock_35_n03196217_11252.png
subject-01,1,19,0.736093997955322,boat,boat,false,0019_fc_s01_false_boat_35_n04273569_2040.png
subject-01,1,20,0.896195888519287,knife,knife,true,0020_fc_s01_true_knife_35_n03041632_84869.png
subject-01,1,21,0.767853975296021,clock,clock,true,0021_fc_s01_true_clock_35_n04548280_503.png
subject-01,1,22,0.895647048950195,truck,truck,false,0022_fc_s01_false_truck_35_n03417042_10654.png
subject-01,1,23,0.861499071121216,boat,boat,true,0023_fc_s01_true_boat_35_n03344393_2919.png
subject-01,1,24,0.859068870544434,chair,chair,false,0024_fc_s01_false_chair_35_n04099969_7718.png
subject-01,1,25,0.817170858383179,oven,oven,true,0025_fc_s01_true_oven_35_n04111531_3477.png
subject-01,1,26,1.21084594726562,dog,dog,false,0026_fc_s01_false_dog_35_n02113712_913.png
subject-01,1,27,1.50014901161194,oven,chair,false,0027_fc_s01_false_chair_35_n02791124_13701.png
subject-01,1,28,0.970507144927979,airplane,airplane,true,0028_fc_s01_true_airplane_35_n02690373_8538.png
subject-01,1,29,1.03416514396667,chair,knife,true,0029_fc_s01_true_knife_35_n03041632_98864.png
subject-01,1,30,1.028235912323,clock,clock,false,0030_fc_s01_false_clock_35_n04548280_5466.png
subject-01,1,31,0.818020105361938,keyboard,keyboard,true,0031_fc_s01_true_keyboard_35_n04505470_4033.png
subject-01,1,32,1.3261079788208,oven,boat,false,0032_fc_s01_false_boat_35_n03344393_7503.png
subject-01,1,33,1.11171197891235,bottle,bottle,false,0033_fc_s01_false_bottle_35_n02823428_3402.png
subject-01,1,34,0.909416913986206,truck,boat,true,0034_fc_s01_true_boat_35_n03662601_15766.png
subject-01,1,35,0.899144887924194,dog,dog,true,0035_fc_s01_true_dog_35_n02097047_1351.png
subject-01,1,36,0.802856922149658,keyboard,keyboard,true,0036_fc_s01_true_keyboard_35_n03085013_23562.png
subject-01,1,37,0.776731967926025,clock,clock,false,0037_fc_s01_false_clock_35_n04548280_7872.png
subject-01,1,38,0.976433038711548,dog,dog,false,0038_fc_s01_false_dog_35_n02106166_16884.png
subject-01,1,39,0.870317935943604,oven,oven,true,0039_fc_s01_true_oven_35_n04111531_3353.png
subject-01,1,40,1.07212591171265,knife,knife,false,0040_fc_s01_false_knife_35_n03041632_46185.png
subject-01,1,41,1.05015897750854,knife,knife,true,0041_fc_s01_true_knife_35_n03041632_14766.png
subject-01,1,42,1.17180490493774,knife,chair,true,0042_fc_s01_true_chair_35_n02791124_2150.png
subject-01,1,43,1.06363916397095,elephant,elephant,false,0043_fc_s01_false_elephant_35_n02504458_4631.png
subject-01,1,44,1.00745391845703,chair,chair,false,0044_fc_s01_false_chair_35_n03376595_3223.png
subject-01,1,45,0.965162992477417,car,car,false,0045_fc_s01_false_car_35_n03100240_5399.png
subject-01,1,46,0.975010871887207,bottle,bottle,true,0046_fc_s01_true_bottle_35_n04557648_2512.png
subject-01,1,47,1.45480513572693,bicycle,bicycle,true,0047_fc_s01_true_bicycle_35_n03792782_8098.png
subject-01,1,48,1.50009512901306,bear,bear,true,0048_fc_s01_true_bear_35_n02134418_11557.png
subject-01,1,49,1.09844303131104,knife,knife,true,0049_fc_s01_true_knife_35_n03041632_45569.png
subject-01,1,50,1.31452512741089,bicycle,bicycle,false,0050_fc_s01_false_bicycle_35_n03792782_4740.png
subject-01,1,51,1.03859400749207,boat,boat,false,0051_fc_s01_false_boat_35_n03662601_25404.png
subject-01,1,52,NaN,na,bird,false,0052_fc_s01_false_bird_35_n01796340_4853.png
subject-01,1,53,0.675863027572632,clock,clock,true,0053_fc_s01_true_clock_35_n03196217_5888.png
subject-01,1,54,1.0139901638031,bicycle,bicycle,true,0054_fc_s01_true_bicycle_35_n02835271_12871.png
subject-01,1,55,0.845332860946655,keyboard,keyboard,false,0055_fc_s01_false_keyboard_35_n03085013_28584.png
subject-01,1,56,1.1991331577301,dog,cat,true,0056_fc_s01_true_cat_35_n02123159_6184.png
subject-01,1,57,0.940927028656006,bicycle,bicycle,true,0057_fc_s01_true_bicycle_35_n02835271_7592.png
subject-01,1,58,0.884871959686279,elephant,elephant,false,0058_fc_s01_false_elephant_35_n02504458_3205.png
subject-01,1,59,0.842571973800659,cat,cat,false,0059_fc_s01_false_cat_35_n02124075_7880.png
subject-01,1,60,1.01644396781921,truck,truck,false,0060_fc_s01_false_truck_35_n04467665_2240.png
subject-01,1,61,1.412113904953,bottle,bottle,true,0061_fc_s01_true_bottle_35_n04560804_13316.png
subject-01,1,62,0.81191086769104,airplane,airplane,false,0062_fc_s01_false_airplane_35_n02690373_3821.png
subject-01,1,63,0.815953969955444,oven,knife,true,0063_fc_s01_true_knife_35_n03041632_17285.png
subject-01,1,64,0.821630001068115,bottle,bottle,false,0064_fc_s01_false_bottle_35_n02823428_10942.png
subject-01,1,65,0.673408985137939,bicycle,bicycle,true,0065_fc_s01_true_bicycle_35_n02835271_3642.png
subject-01,1,66,1.01931095123291,knife,knife,true,0066_fc_s01_true_knife_35_n03041632_16172.png
subject-01,1,67,1.34522700309753,bicycle,bottle,false,0067_fc_s01_false_bottle_35_n04560804_2448.png
subject-01,1,68,1.08890199661255,oven,oven,false,0068_fc_s01_false_oven_35_n04111531_4452.png
subject-01,1,69,0.952723026275635,keyboard,keyboard,false,0069_fc_s01_false_keyboard_35_n04505470_912.png
subject-01,1,70,0.824538946151733,cat,cat,false,0070_fc_s01_false_cat_35_n02123045_7167.png
subject-01,1,71,1.01247906684875,bicycle,bicycle,false,0071_fc_s01_false_bicycle_35_n03792782_8333.png
subject-01,1,72,1.20222306251526,dog,dog,false,0072_fc_s01_false_dog_35_n02107683_2904.png
subject-01,1,73,1.06596088409424,bottle,bottle,true,0073_fc_s01_true_bottle_35_n04591713_3409.png
subject-01,1,74,1.20390701293945,chair,bottle,false,0074_fc_s01_false_bottle_35_n04560804_564.png
subject-01,1,75,0.829721927642822,truck,truck,false,0075_fc_s01_false_truck_35_n03796401_6503.png
subject-01,1,76,0.789545059204102,oven,oven,true,0076_fc_s01_true_oven_35_n04111531_13590.png
subject-01,1,77,0.865151166915894,bird,bird,false,0077_fc_s01_false_bird_35_n02018795_7504.png
subject-01,1,78,1.03911900520325,car,car,false,0078_fc_s01_false_car_35_n03100240_6626.png
subject-01,1,79,1.07889604568481,bear,bear,false,0079_fc_s01_false_bear_35_n02134418_4364.png
subject-01,1,80,1.21478986740112,bird,knife,false,0080_fc_s01_false_knife_35_n03041632_8051.png
subject-01,1,81,0.717191934585571,airplane,airplane,true,0081_fc_s01_true_airplane_35_n02690373_1434.png
subject-01,1,82,0.764518976211548,clock,clock,true,0082_fc_s01_true_clock_35_n04548280_5408.png
subject-01,1,83,0.716691970825195,cat,cat,false,0083_fc_s01_false_cat_35_n02123597_3916.png
subject-01,1,84,1.30849099159241,clock,clock,false,0084_fc_s01_false_clock_35_n04548280_4542.png
subject-01,1,85,1.21600699424744,chair,car,true,0085_fc_s01_true_car_35_n04285008_14161.png
subject-01,1,86,0.77180290222168,airplane,airplane,false,0086_fc_s01_false_airplane_35_n02690373_7279.png
subject-01,1,87,1.11171197891235,bear,bear,true,0087_fc_s01_true_bear_35_n02132136_11640.png
subject-01,1,88,0.763561964035034,airplane,airplane,true,0088_fc_s01_true_airplane_35_n02690373_8350.png
subject-01,1,89,0.961244821548462,boat,boat,true,0089_fc_s01_true_boat_35_n04273569_30568.png
subject-01,1,90,1.04914903640747,dog,dog,true,0090_fc_s01_true_dog_35_n02100583_19533.png
subject-01,1,91,0.850750923156738,knife,knife,true,0091_fc_s01_true_knife_35_n03041632_965.png
subject-01,1,92,0.798607110977173,elephant,elephant,false,0092_fc_s01_false_elephant_35_n02504458_6109.png
subject-01,1,93,0.796406030654907,oven,oven,true,0093_fc_s01_true_oven_35_n04111531_10093.png
subject-01,1,94,1.42647004127502,clock,clock,true,0094_fc_s01_true_clock_35_n03196217_8221.png
subject-01,1,95,1.37050008773804,bicycle,bicycle,false,0095_fc_s01_false_bicycle_35_n03792782_828.png
subject-01,1,96,0.933845043182373,knife,knife,true,0096_fc_s01_true_knife_35_n03041632_7090.png
subject-01,1,97,1.19598317146301,knife,bear,false,0097_fc_s01_false_bear_35_n02134084_14260.png
subject-01,1,98,1.09965395927429,bear,bear,false,0098_fc_s01_false_bear_35_n02132136_10988.png
subject-01,1,99,1.04727792739868,keyboard,keyboard,false,0099_fc_s01_false_keyboard_35_n03085013_22980.png
subject-01,1,100,0.817157983779907,bottle,bottle,false,0100_fc_s01_false_bottle_35_n04557648_3673.png
subject-01,1,101,0.929111003875732,airplane,airplane,true,0101_fc_s01_true_airplane_35_n02690373_1360.png
subject-01,1,102,1.10492300987244,bird,oven,true,0102_fc_s01_true_oven_35_n04111531_6415.png
subject-01,1,103,0.758672952651978,knife,knife,false,0103_fc_s01_false_knife_35_n03041632_32054.png
subject-01,1,104,0.982528924942017,chair,chair,false,0104_fc_s01_false_chair_35_n03376595_9136.png
subject-01,1,105,NaN,na,keyboard,false,0105_fc_s01_false_keyboard_35_n03085013_21266.png
subject-01,1,106,0.750111818313599,bicycle,bicycle,true,0106_fc_s01_true_bicycle_35_n02835271_6137.png
subject-01,1,107,0.931885957717896,car,car,false,0107_fc_s01_false_car_35_n04285008_14689.png
subject-01,1,108,1.03778409957886,truck,truck,false,0108_fc_s01_false_truck_35_n04467665_16276.png
subject-01,1,109,0.809424877166748,chair,chair,false,0109_fc_s01_false_chair_35_n03376595_787.png
subject-01,1,110,0.873431921005249,boat,boat,false,0110_fc_s01_false_boat_35_n04612504_41355.png
subject-01,1,111,0.879045963287354,elephant,elephant,true,0111_fc_s01_true_elephant_35_n02504458_174.png
subject-01,1,112,0.891275882720947,cat,cat,true,0112_fc_s01_true_cat_35_n02125311_6746.png
subject-01,1,113,0.826857089996338,keyboard,keyboard,false,0113_fc_s01_false_keyboard_35_n03085013_23287.png
subject-01,1,114,0.706798076629639,clock,clock,true,0114_fc_s01_true_clock_35_n04548280_8071.png
subject-01,1,115,0.724292039871216,oven,oven,false,0115_fc_s01_false_oven_35_n04111531_14543.png
subject-01,1,116,1.19810700416565,car,car,false,0116_fc_s01_false_car_35_n03100240_10791.png
subject-01,1,117,0.913951873779297,airplane,airplane,true,0117_fc_s01_true_airplane_35_n02690373_2619.png
subject-01,1,118,0.8521409034729,keyboard,keyboard,true,0118_fc_s01_true_keyboard_35_n04505470_3864.png
subject-01,1,119,1.15588998794556,dog,dog,true,0119_fc_s01_true_dog_35_n02097658_4387.png
subject-01,1,120,0.933777093887329,clock,clock,true,0120_fc_s01_true_clock_35_n04548280_309.png
subject-01,1,121,1.10364103317261,dog,dog,true,0121_fc_s01_true_dog_35_n02108000_5247.png
subject-01,1,122,0.871058940887451,keyboard,keyboard,false,0122_fc_s01_false_keyboard_35_n04505470_4411.png
subject-01,1,123,0.902759075164795,truck,truck,false,0123_fc_s01_false_truck_35_n03417042_2155.png
subject-01,1,124,1.4169499874115,bear,bear,false,0124_fc_s01_false_bear_35_n02132136_4237.png
