subj,session,trial,rt,object_response,category,condition,imagename
swag_vit_h14_in1k,1,1,NaN,knife,knife,true,0001_fc_dnn_true_knife_35_n03041632_86251.png
swag_vit_h14_in1k,1,2,NaN,car,car,false,0002_fc_dnn_false_car_35_n03100240_16866.png
swag_vit_h14_in1k,1,3,NaN,keyboard,keyboard,false,0003_fc_dnn_false_keyboard_35_n03085013_21127.png
swag_vit_h14_in1k,1,4,NaN,truck,truck,true,0004_fc_dnn_true_truck_35_n03417042_10694.png
swag_vit_h14_in1k,1,5,NaN,bird,bird,true,0005_fc_dnn_true_bird_35_n01614925_1962.png
swag_vit_h14_in1k,1,6,NaN,knife,knife,false,0006_fc_dnn_false_knife_35_n03041632_99875.png
swag_vit_h14_in1k,1,7,NaN,bicycle,bicycle,true,0007_fc_dnn_true_bicycle_35_n03792782_14935.png
swag_vit_h14_in1k,1,8,NaN,elephant,elephant,false,0008_fc_dnn_false_elephant_35_n02504013_5027.png
swag_vit_h14_in1k,1,9,NaN,dog,dog,false,0009_fc_dnn_false_dog_35_n02090721_129.png
swag_vit_h14_in1k,1,10,NaN,airplane,airplane,true,0010_fc_dnn_true_airplane_35_n02690373_9241.png
swag_vit_h14_in1k,1,11,NaN,truck,truck,true,0011_fc_dnn_true_truck_35_n04467665_62080.png
swag_vit_h14_in1k,1,12,NaN,keyboard,keyboard,true,0012_fc_dnn_true_keyboard_35_n04505470_2669.png
swag_vit_h14_in1k,1,13,NaN,oven,oven,false,0013_fc_dnn_false_oven_35_n04111531_688.png
swag_vit_h14_in1k,1,14,NaN,car,car,true,0014_fc_dnn_true_car_35_n03100240_21982.png
swag_vit_h14_in1k,1,15,NaN,bicycle,bicycle,true,0015_fc_dnn_true_bicycle_35_n02835271_4191.png
swag_vit_h14_in1k,1,16,NaN,car,car,true,0016_fc_dnn_true_car_35_n02814533_25278.png
swag_vit_h14_in1k,1,17,NaN,knife,knife,false,0017_fc_dnn_false_knife_35_n03041632_23087.png
swag_vit_h14_in1k,1,18,NaN,clock,clock,true,0018_fc_dnn_true_clock_35_n03196217_11252.png
swag_vit_h14_in1k,1,19,NaN,boat,boat,false,0019_fc_dnn_false_boat_35_n04273569_2040.png
