subj,session,trial,rt,object_response,category,condition,imagename
resnet50,1,1,NaN,clock,boat,0.7,0001_hp_dnn_0.7_boat_10_n03662601_12531.png
resnet50,1,2,NaN,chair,chair,0.7,0002_hp_dnn_0.7_chair_10_n04429376_22819.png
resnet50,1,3,NaN,clock,elephant,0.45,0003_hp_dnn_0.45_elephant_10_n02504458_582.png
resnet50,1,4,NaN,clock,bicycle,0.7,0004_hp_dnn_0.7_bicycle_10_n03792782_41173.png
resnet50,1,5,NaN,clock,cat,1.5,0005_hp_dnn_1.5_cat_10_n02123597_7071.png
resnet50,1,6,NaN,clock,cat,0.4,0006_hp_dnn_0.4_cat_10_n02123394_2386.png
resnet50,1,7,NaN,oven,oven,inf,0007_hp_dnn_inf_oven_10_n04111531_2201.png
resnet50,1,8,NaN,clock,cat,0.45,0008_hp_dnn_0.45_cat_10_n02125311_43276.png
resnet50,1,9,NaN,clock,dog,0.45,0009_hp_dnn_0.45_dog_10_n02111500_2439.png
resnet50,1,10,NaN,clock,bicycle,0.4,0010_hp_dnn_0.4_bicycle_10_n02835271_12599.png
resnet50,1,11,NaN,clock,dog,0.45,0011_hp_dnn_0.45_dog_10_n02096585_391.png
resnet50,1,12,NaN,knife,car,0.7,0012_hp_dnn_0.7_car_10_n04285008_12138.png
resnet50,1,13,NaN,clock,car,0.7,0013_hp_dnn_0.7_car_10_n02814533_44083.png
resnet50,1,14,NaN,oven,oven,inf,0014_hp_dnn_inf_oven_10_n04111531_2447.png
resnet50,1,15,NaN,clock,chair,0.55,0015_hp_dnn_0.55_chair_10_n03376595_9524.png
resnet50,1,16,NaN,clock,elephant,0.55,0016_hp_dnn_0.55_elephant_10_n02504458_3092.png
resnet50,1,17,NaN,clock,truck,0.4,0017_hp_dnn_0.4_truck_10_n04467665_42126.png
resnet50,1,18,NaN,elephant,elephant,inf,0018_hp_dnn_inf_elephant_10_n02504458_12303.png
resnet50,1,19,NaN,clock,clock,0.4,0019_hp_dnn_0.4_clock_10_n04548280_7243.png
resnet50,1,20,NaN,knife,airplane,0.4,0020_hp_dnn_0.4_airplane_10_n02690373_6978.png
resnet50,1,21,NaN,boat,boat,3,0021_hp_dnn_3_boat_10_n04612504_4773.png
resnet50,1,22,NaN,bottle,bottle,inf,0022_hp_dnn_inf_bottle_10_n04560804_5979.png
resnet50,1,23,NaN,airplane,airplane,3,0023_hp_dnn_3_airplane_10_n02690373_21922.png
resnet50,1,24,NaN,clock,bird,0.4,0024_hp_dnn_0.4_bird_10_n01820546_6431.png
resnet50,1,25,NaN,bird,bird,inf,0025_hp_dnn_inf_bird_10_n01795545_9555.png
resnet50,1,26,NaN,truck,truck,3,0026_hp_dnn_3_truck_10_n04467665_45796.png
resnet50,1,27,NaN,clock,oven,1,0027_hp_dnn_1_oven_10_n04111531_5906.png
resnet50,1,28,NaN,clock,bicycle,0.45,0028_hp_dnn_0.45_bicycle_10_n03792782_6133.png
resnet50,1,29,NaN,keyboard,keyboard,1,0029_hp_dnn_1_keyboard_10_n04505470_4741.png
resnet50,1,30,NaN,car,car,1.5,0030_hp_dnn_1.5_car_10_n02814533_5085.png
resnet50,1,31,NaN,clock,chair,0.4,0031_hp_dnn_0.4_chair_10_n04429376_10628.png
resnet50,1,32,NaN,clock,clock,0.55,0032_hp_dnn_0.55_clock_10_n02708093_5311.png
resnet50,1,33,NaN,knife,chair,0.55,0033_hp_dnn_0.55_chair_10_n03376595_10460.png
resnet50,1,34,NaN,bear,bear,3,0034_hp_dnn_3_bear_10_n02133161_1118.png
resnet50,1,35,NaN,chair,knife,3,0035_hp_dnn_3_knife_10_n03041632_11603.png
resnet50,1,36,NaN,clock,dog,0.4,0036_hp_dnn_0.4_dog_10_n02108422_7493.png
resnet50,1,37,NaN,keyboard,keyboard,3,0037_hp_dnn_3_keyboard_10_n04505470_550.png
resnet50,1,38,NaN,knife,dog,1.5,0038_hp_dnn_1.5_dog_10_n02097047_1003.png
resnet50,1,39,NaN,bottle,bird,1.5,0039_hp_dnn_1.5_bird_10_n01616318_9819.png
resnet50,1,40,NaN,clock,cat,0.55,0040_hp_dnn_0.55_cat_10_n02123597_1016.png
resnet50,1,41,NaN,clock,bear,1,0041_hp_dnn_1_bear_10_n02134418_971.png
resnet50,1,42,NaN,clock,bear,0.7,0042_hp_dnn_0.7_bear_10_n02132136_10944.png
resnet50,1,43,NaN,clock,elephant,1,0043_hp_dnn_1_elephant_10_n02504458_4439.png
resnet50,1,44,NaN,clock,keyboard,0.4,0044_hp_dnn_0.4_keyboard_10_n03085013_2362.png
resnet50,1,45,NaN,clock,dog,1.5,0045_hp_dnn_1.5_dog_10_n02097474_9488.png
resnet50,1,46,NaN,clock,clock,inf,0046_hp_dnn_inf_clock_10_n04548280_3308.png
resnet50,1,47,NaN,bottle,bear,1.5,0047_hp_dnn_1.5_bear_10_n02133161_334.png
resnet50,1,48,NaN,clock,knife,0.45,0048_hp_dnn_0.45_knife_10_n03041632_6708.png
resnet50,1,49,NaN,clock,car,0.55,0049_hp_dnn_0.55_car_10_n02814533_81092.png
resnet50,1,50,NaN,bottle,bottle,0.45,0050_hp_dnn_0.45_bottle_10_n03937543_11897.png
resnet50,1,51,NaN,airplane,airplane,3,0051_hp_dnn_3_airplane_10_n02690373_4429.png
resnet50,1,52,NaN,clock,knife,0.4,0052_hp_dnn_0.4_knife_10_n03041632_22964.png
resnet50,1,53,NaN,bottle,knife,1.5,0053_hp_dnn_1.5_knife_10_n03041632_33075.png
resnet50,1,54,NaN,clock,bird,0.7,0054_hp_dnn_0.7_bird_10_n02006656_1412.png
resnet50,1,55,NaN,clock,clock,1,0055_hp_dnn_1_clock_10_n02708093_3173.png
resnet50,1,56,NaN,clock,keyboard,0.45,0056_hp_dnn_0.45_keyboard_10_n03085013_22016.png
resnet50,1,57,NaN,clock,elephant,0.55,0057_hp_dnn_0.55_elephant_10_n02504458_11214.png
resnet50,1,58,NaN,clock,chair,0.7,0058_hp_dnn_0.7_chair_10_n04099969_13775.png
