subj,Session,trial,rt,object_response,category,condition,imagename
subject-01,1,1,1.33161187171936,clock,boat,0.7,0001_hp_s01_0.7_boat_10_n03662601_12531.png
subject-01,1,2,1.31354904174805,cat,chair,0.7,0002_hp_s01_0.7_chair_10_n04429376_22819.png
subject-01,1,3,1.48744010925293,clock,elephant,0.45,0003_hp_s01_0.45_elephant_10_n02504458_582.png
subject-01,1,4,1.27708792686462,cat,bicycle,0.7,0004_hp_s01_0.7_bicycle_10_n03792782_41173.png
subject-01,1,5,1.22888779640198,dog,cat,1.5,0005_hp_s01_1.5_cat_10_n02123597_7071.png
subject-01,1,6,1.13466596603394,elephant,cat,0.4,0006_hp_s01_0.4_cat_10_n02123394_2386.png
subject-01,1,7,0.784698009490967,oven,oven,inf,0007_hp_s01_inf_oven_10_n04111531_2201.png
subject-01,1,8,1.05839705467224,clock,cat,0.45,0008_hp_s01_0.45_cat_10_n02125311_43276.png
subject-01,1,9,1.37825107574463,cat,dog,0.45,0009_hp_s01_0.45_dog_10_n02111500_2439.png
subject-01,1,10,1.37640190124512,elephant,bicycle,0.4,0010_hp_s01_0.4_bicycle_10_n02835271_12599.png
subject-01,1,11,0.813792943954468,bear,dog,0.45,0011_hp_s01_0.45_dog_10_n02096585_391.png
subject-01,1,12,0.821681022644043,car,car,0.7,0012_hp_s01_0.7_car_10_n04285008_12138.png
subject-01,1,13,1.14953589439392,oven,car,0.7,0013_hp_s01_0.7_car_10_n02814533_44083.png
subject-01,1,14,0.877212047576904,oven,oven,inf,0014_hp_s01_inf_oven_10_n04111531_2447.png
subject-01,1,15,1.03508806228638,cat,chair,0.55,0015_hp_s01_0.55_chair_10_n03376595_9524.png
subject-01,1,16,1.16496801376343,knife,elephant,0.55,0016_hp_s01_0.55_elephant_10_n02504458_3092.png
subject-01,1,17,0.900614976882935,boat,truck,0.4,0017_hp_s01_0.4_truck_10_n04467665_42126.png
subject-01,1,18,0.828555107116699,elephant,elephant,inf,0018_hp_s01_inf_elephant_10_n02504458_12303.png
subject-01,1,19,1.35020279884338,airplane,clock,0.4,0019_hp_s01_0.4_clock_10_n04548280_7243.png
subject-01,1,20,0.934334993362427,clock,airplane,0.4,0020_hp_s01_0.4_airplane_10_n02690373_6978.png
subject-01,1,21,0.658405065536499,boat,boat,3,0021_hp_s01_3_boat_10_n04612504_4773.png
subject-01,1,22,0.915749073028564,bottle,bottle,inf,0022_hp_s01_inf_bottle_10_n04560804_5979.png
subject-01,1,23,1.04974389076233,airplane,airplane,3,0023_hp_s01_3_airplane_10_n02690373_21922.png
subject-01,1,24,0.729462862014771,clock,bird,0.4,0024_hp_s01_0.4_bird_10_n01820546_6431.png
subject-01,1,25,0.947345972061157,bird,bird,inf,0025_hp_s01_inf_bird_10_n01795545_9555.png
subject-01,1,26,0.866863965988159,truck,truck,3,0026_hp_s01_3_truck_10_n04467665_45796.png
subject-01,1,27,0.852933168411255,oven,oven,1,0027_hp_s01_1_oven_10_n04111531_5906.png
subject-01,1,28,1.05255794525146,bear,bicycle,0.45,0028_hp_s01_0.45_bicycle_10_n03792782_6133.png
subject-01,1,29,1.1404139995575,boat,keyboard,1,0029_hp_s01_1_keyboard_10_n04505470_4741.png
subject-01,1,30,0.788296222686768,car,car,1.5,0030_hp_s01_1.5_car_10_n02814533_5085.png
subject-01,1,31,0.920476913452148,bicycle,chair,0.4,0031_hp_s01_0.4_chair_10_n04429376_10628.png
subject-01,1,32,1.18394780158997,knife,clock,0.55,0032_hp_s01_0.55_clock_10_n02708093_5311.png
subject-01,1,33,1.10565710067749,truck,chair,0.55,0033_hp_s01_0.55_chair_10_n03376595_10460.png
subject-01,1,34,1.40351319313049,bear,bear,3,0034_hp_s01_3_bear_10_n02133161_1118.png
subject-01,1,35,1.32548308372498,knife,knife,3,0035_hp_s01_3_knife_10_n03041632_11603.png
subject-01,1,36,1.01510906219482,bicycle,dog,0.4,0036_hp_s01_0.4_dog_10_n02108422_7493.png
subject-01,1,37,0.64508581161499,keyboard,keyboard,3,0037_hp_s01_3_keyboard_10_n04505470_550.png
subject-01,1,38,1.09674000740051,chair,dog,1.5,0038_hp_s01_1.5_dog_10_n02097047_1003.png
subject-01,1,39,0.876855850219727,cat,bird,1.5,0039_hp_s01_1.5_bird_10_n01616318_9819.png
subject-01,1,40,0.694605112075806,bird,cat,0.55,0040_hp_s01_0.55_cat_10_n02123597_1016.png
subject-01,1,41,1.29237604141235,elephant,bear,1,0041_hp_s01_1_bear_10_n02134418_971.png
subject-01,1,42,1.09394502639771,bear,bear,0.7,0042_hp_s01_0.7_bear_10_n02132136_10944.png
subject-01,1,43,1.42183995246887,bicycle,elephant,1,0043_hp_s01_1_elephant_10_n02504458_4439.png
subject-01,1,44,0.907504081726074,clock,keyboard,0.4,0044_hp_s01_0.4_keyboard_10_n03085013_2362.png
subject-01,1,45,0.843537092208862,bear,dog,1.5,0045_hp_s01_1.5_dog_10_n02097474_9488.png
subject-01,1,46,0.609333038330078,clock,clock,inf,0046_hp_s01_inf_clock_10_n04548280_3308.png
subject-01,1,47,0.721056938171387,bear,bear,1.5,0047_hp_s01_1.5_bear_10_n02133161_334.png
subject-01,1,48,1.00894284248352,bicycle,knife,0.45,0048_hp_s01_0.45_knife_10_n03041632_6708.png
subject-01,1,49,0.936664819717407,car,car,0.55,0049_hp_s01_0.55_car_10_n02814533_81092.png
subject-01,1,50,0.790495872497559,truck,bottle,0.45,0050_hp_s01_0.45_bottle_10_n03937543_11897.png
subject-01,1,51,0.836272001266479,airplane,airplane,3,0051_hp_s01_3_airplane_10_n02690373_4429.png
subject-01,1,52,0.968047142028809,bicycle,knife,0.4,0052_hp_s01_0.4_knife_10_n03041632_22964.png
subject-01,1,53,1.46793103218079,bottle,knife,1.5,0053_hp_s01_1.5_knife_10_n03041632_33075.png
subject-01,1,54,1.1537139415741,car,bird,0.7,0054_hp_s01_0.7_bird_10_n02006656_1412.png
subject-01,1,55,0.529587030410767,clock,clock,1,0055_hp_s01_1_clock_10_n02708093_3173.png
subject-01,1,56,0.857502937316895,bear,keyboard,0.45,0056_hp_s01_0.45_keyboard_10_n03085013_22016.png
subject-01,1,57,0.469176054000854,boat,elephant,0.55,0057_hp_s01_0.55_elephant_10_n02504458_11214.png
subject-01,1,58,0.965159893035889,bicycle,chair,0.7,0058_hp_s01_0.7_chair_10_n04099969_13775.png
subject-01,1,59,0.762722969055176,truck,bicycle,0.4,0059_hp_s01_0.4_bicycle_10_n02835271_8098.png
subject-01,1,60,0.447094202041626,oven,clock,0.4,0060_hp_s01_0.4_clock_10_n04548280_1126.png
subject-01,1,61,0.57685399055481,cat,bicycle,0.45,0061_hp_s01_0.45_bicycle_10_n02835271_2050.png
subject-01,1,62,0.694178104400635,boat,oven,1,0062_hp_s01_1_oven_10_n04111531_891.png
subject-01,1,63,1.4922149181366,keyboard,bottle,0.7,0063_hp_s01_0.7_bottle_10_n02823428_6201.png
subject-01,1,64,0.907884120941162,bottle,bicycle,0.7,0064_hp_s01_0.7_bicycle_10_n02835271_20175.png
subject-01,1,65,0.875595092773438,cat,cat,3,0065_hp_s01_3_cat_10_n02123597_13175.png
