subj,session,trial,rt,object_response,category,condition,imagename
swag_regnety_32gf_in1k,1,1,NaN,boat,boat,0.7,0001_hp_dnn_0.7_boat_10_n03662601_12531.png
swag_regnety_32gf_in1k,1,2,NaN,chair,chair,0.7,0002_hp_dnn_0.7_chair_10_n04429376_22819.png
swag_regnety_32gf_in1k,1,3,NaN,clock,elephant,0.45,0003_hp_dnn_0.45_elephant_10_n02504458_582.png
swag_regnety_32gf_in1k,1,4,NaN,bicycle,bicycle,0.7,0004_hp_dnn_0.7_bicycle_10_n03792782_41173.png
swag_regnety_32gf_in1k,1,5,NaN,clock,cat,1.5,0005_hp_dnn_1.5_cat_10_n02123597_7071.png
swag_regnety_32gf_in1k,1,6,NaN,clock,cat,0.4,0006_hp_dnn_0.4_cat_10_n02123394_2386.png
swag_regnety_32gf_in1k,1,7,NaN,oven,oven,inf,0007_hp_dnn_inf_oven_10_n04111531_2201.png
swag_regnety_32gf_in1k,1,8,NaN,clock,cat,0.45,0008_hp_dnn_0.45_cat_10_n02125311_43276.png
swag_regnety_32gf_in1k,1,9,NaN,clock,dog,0.45,0009_hp_dnn_0.45_dog_10_n02111500_2439.png
swag_regnety_32gf_in1k,1,10,NaN,clock,bicycle,0.4,0010_hp_dnn_0.4_bicycle_10_n02835271_12599.png
swag_regnety_32gf_in1k,1,11,NaN,clock,dog,0.45,0011_hp_dnn_0.45_dog_10_n02096585_391.png
swag_regnety_32gf_in1k,1,12,NaN,car,car,0.7,0012_hp_dnn_0.7_car_10_n04285008_12138.png
swag_regnety_32gf_in1k,1,13,NaN,car,car,0.7,0013_hp_dnn_0.7_car_10_n02814533_44083.png
swag_regnety_32gf_in1k,1,14,NaN,oven,oven,inf,0014_hp_dnn_inf_oven_10_n04111531_2447.png
swag_regnety_32gf_in1k,1,15,NaN,clock,chair,0.55,0015_hp_dnn_0.55_chair_10_n03376595_9524.png
swag_regnety_32gf_in1k,1,16,NaN,elephant,elephant,0.55,0016_hp_dnn_0.55_elephant_10_n02504458_3092.png
swag_regnety_32gf_in1k,1,17,NaN,clock,truck,0.4,0017_hp_dnn_0.4_truck_10_n04467665_42126.png
swag_regnety_32gf_in1k,1,18,NaN,elephant,elephant,inf,0018_hp_dnn_inf_elephant_10_n02504458_12303.png
swag_regnety_32gf_in1k,1,19,NaN,clock,clock,0.4,0019_hp_dnn_0.4_clock_10_n04548280_7243.png
swag_regnety_32gf_in1k,1,20,NaN,knife,airplane,0.4,0020_hp_dnn_0.4_airplane_10_n02690373_6978.png
swag_regnety_32gf_in1k,1,21,NaN,boat,boat,3,0021_hp_dnn_3_boat_10_n04612504_4773.png
swag_regnety_32gf_in1k,1,22,NaN,bottle,bottle,inf,0022_hp_dnn_inf_bottle_10_n04560804_5979.png
swag_regnety_32gf_in1k,1,23,NaN,airplane,airplane,3,0023_hp_dnn_3_airplane_10_n02690373_21922.png
swag_regnety_32gf_in1k,1,24,NaN,clock,bird,0.4,0024_hp_dnn_0.4_bird_10_n01820546_6431.png
swag_regnety_32gf_in1k,1,25,NaN,bird,bird,inf,0025_hp_dnn_inf_bird_10_n01795545_9555.png
swag_regnety_32gf_in1k,1,26,NaN,truck,truck,3,0026_hp_dnn_3_truck_10_n04467665_45796.png
swag_regnety_32gf_in1k,1,27,NaN,bottle,oven,1,0027_hp_dnn_1_oven_10_n04111531_5906.png
swag_regnety_32gf_in1k,1,28,NaN,clock,bicycle,0.45,0028_hp_dnn_0.45_bicycle_10_n03792782_6133.png
swag_regnety_32gf_in1k,1,29,NaN,keyboard,keyboard,1,0029_hp_dnn_1_keyboard_10_n04505470_4741.png
