subj,session,trial,rt,object_response,category,condition,imagename
simclr_resnet50x1,1,1,NaN,clock,chair,40,0001_lp_dnn_40_chair_10_n04099969_7577.png
simclr_resnet50x1,1,2,NaN,knife,cat,40,0002_lp_dnn_40_cat_10_n02124075_12815.png
simclr_resnet50x1,1,3,NaN,knife,truck,5,0003_lp_dnn_5_truck_10_n04467665_34253.png
simclr_resnet50x1,1,4,NaN,clock,clock,1,0004_lp_dnn_1_clock_10_n04548280_5320.png
simclr_resnet50x1,1,5,NaN,knife,dog,3,0005_lp_dnn_3_dog_10_n02108915_3652.png
simclr_resnet50x1,1,6,NaN,keyboard,keyboard,7,0006_lp_dnn_7_keyboard_10_n04505470_578.png
simclr_resnet50x1,1,7,NaN,cat,cat,7,0007_lp_dnn_7_cat_10_n02123597_3842.png
simclr_resnet50x1,1,8,NaN,bear,bear,1,0008_lp_dnn_1_bear_10_n02134418_14.png
simclr_resnet50x1,1,9,NaN,knife,knife,10,0009_lp_dnn_10_knife_10_n03041632_29920.png
simclr_resnet50x1,1,10,NaN,knife,bird,5,0010_lp_dnn_5_bird_10_n01795545_952.png
simclr_resnet50x1,1,11,NaN,bear,bear,3,0011_lp_dnn_3_bear_10_n02132136_6441.png
simclr_resnet50x1,1,12,NaN,bird,bird,3,0012_lp_dnn_3_bird_10_n01829413_8792.png
simclr_resnet50x1,1,13,NaN,keyboard,keyboard,7,0013_lp_dnn_7_keyboard_10_n04505470_4458.png
simclr_resnet50x1,1,14,NaN,clock,chair,10,0014_lp_dnn_10_chair_10_n03376595_9176.png
simclr_resnet50x1,1,15,NaN,clock,clock,40,0015_lp_dnn_40_clock_10_n04548280_7662.png
simclr_resnet50x1,1,16,NaN,clock,keyboard,40,0016_lp_dnn_40_keyboard_10_n03085013_25809.png
simclr_resnet50x1,1,17,NaN,knife,oven,5,0017_lp_dnn_5_oven_10_n04111531_1580.png
simclr_resnet50x1,1,18,NaN,elephant,elephant,1,0018_lp_dnn_1_elephant_10_n02504458_900.png
simclr_resnet50x1,1,19,NaN,knife,dog,7,0019_lp_dnn_7_dog_10_n02106662_2384.png
simclr_resnet50x1,1,20,NaN,clock,truck,10,0020_lp_dnn_10_truck_10_n03796401_22618.png
simclr_resnet50x1,1,21,NaN,clock,elephant,15,0021_lp_dnn_15_elephant_10_n02504013_5463.png
simclr_resnet50x1,1,22,NaN,clock,chair,10,0022_lp_dnn_10_chair_10_n04429376_16459.png
simclr_resnet50x1,1,23,NaN,cat,cat,1,0023_lp_dnn_1_cat_10_n02123045_12206.png
simclr_resnet50x1,1,24,NaN,knife,truck,7,0024_lp_dnn_7_truck_10_n03417042_2633.png
simclr_resnet50x1,1,25,NaN,knife,keyboard,15,0025_lp_dnn_15_keyboard_10_n03085013_24416.png
simclr_resnet50x1,1,26,NaN,knife,car,7,0026_lp_dnn_7_car_10_n02814533_44503.png
simclr_resnet50x1,1,27,NaN,knife,elephant,5,0027_lp_dnn_5_elephant_10_n02504458_5797.png
simclr_resnet50x1,1,28,NaN,chair,chair,0,0028_lp_dnn_0_chair_10_n04429376_8237.png
simclr_resnet50x1,1,29,NaN,knife,cat,7,0029_lp_dnn_7_cat_10_n02123159_587.png
simclr_resnet50x1,1,30,NaN,knife,bird,10,0030_lp_dnn_10_bird_10_n02028035_17238.png
simclr_resnet50x1,1,31,NaN,knife,cat,40,0031_lp_dnn_40_cat_10_n02123159_4348.png
simclr_resnet50x1,1,32,NaN,knife,boat,5,0032_lp_dnn_5_boat_10_n04273569_22332.png
simclr_resnet50x1,1,33,NaN,elephant,elephant,1,0033_lp_dnn_1_elephant_10_n02504013_1244.png
simclr_resnet50x1,1,34,NaN,knife,bicycle,7,0034_lp_dnn_7_bicycle_10_n03792782_30229.png
simclr_resnet50x1,1,35,NaN,knife,keyboard,10,0035_lp_dnn_10_keyboard_10_n03085013_7573.png
simclr_resnet50x1,1,36,NaN,keyboard,keyboard,3,0036_lp_dnn_3_keyboard_10_n03085013_24578.png
simclr_resnet50x1,1,37,NaN,knife,truck,15,0037_lp_dnn_15_truck_10_n03417042_1336.png
simclr_resnet50x1,1,38,NaN,bottle,knife,3,0038_lp_dnn_3_knife_10_n03041632_7495.png
simclr_resnet50x1,1,39,NaN,car,car,0,0039_lp_dnn_0_car_10_n03100240_9625.png
simclr_resnet50x1,1,40,NaN,knife,elephant,10,0040_lp_dnn_10_elephant_10_n02504458_6107.png
