subj,Session,trial,rt,object_response,category,condition,imagename
subject-01,1,1,0.945574045181274,cat,chair,40,0001_lp_s01_40_chair_10_n04099969_7577.png
subject-01,1,2,1.04752802848816,bird,cat,40,0002_lp_s01_40_cat_10_n02124075_12815.png
subject-01,1,3,1.06327795982361,truck,truck,5,0003_lp_s01_5_truck_10_n04467665_34253.png
subject-01,1,4,0.67748498916626,clock,clock,1,0004_lp_s01_1_clock_10_n04548280_5320.png
subject-01,1,5,0.784923076629639,dog,dog,3,0005_lp_s01_3_dog_10_n02108915_3652.png
subject-01,1,6,0.773025989532471,keyboard,keyboard,7,0006_lp_s01_7_keyboard_10_n04505470_578.png
subject-01,1,7,0.560640096664429,cat,cat,7,0007_lp_s01_7_cat_10_n02123597_3842.png
subject-01,1,8,0.66037392616272,bear,bear,1,0008_lp_s01_1_bear_10_n02134418_14.png
subject-01,1,9,1.23815107345581,clock,knife,10,0009_lp_s01_10_knife_10_n03041632_29920.png
subject-01,1,10,1.3380811214447,elephant,bird,5,0010_lp_s01_5_bird_10_n01795545_952.png
subject-01,1,11,0.661682844161987,bear,bear,3,0011_lp_s01_3_bear_10_n02132136_6441.png
subject-01,1,12,0.871724843978882,bird,bird,3,0012_lp_s01_3_bird_10_n01829413_8792.png
subject-01,1,13,0.905469179153442,keyboard,keyboard,7,0013_lp_s01_7_keyboard_10_n04505470_4458.png
subject-01,1,14,0.903282165527344,bird,chair,10,0014_lp_s01_10_chair_10_n03376595_9176.png
subject-01,1,15,0.913019895553589,oven,clock,40,0015_lp_s01_40_clock_10_n04548280_7662.png
subject-01,1,16,1.07485818862915,boat,keyboard,40,0016_lp_s01_40_keyboard_10_n03085013_25809.png
subject-01,1,17,1.22871994972229,boat,oven,5,0017_lp_s01_5_oven_10_n04111531_1580.png
subject-01,1,18,0.850517988204956,elephant,elephant,1,0018_lp_s01_1_elephant_10_n02504458_900.png
subject-01,1,19,0.998322010040283,bird,dog,7,0019_lp_s01_7_dog_10_n02106662_2384.png
subject-01,1,20,0.83623194694519,truck,truck,10,0020_lp_s01_10_truck_10_n03796401_22618.png
subject-01,1,21,1.16389608383179,airplane,elephant,15,0021_lp_s01_15_elephant_10_n02504013_5463.png
subject-01,1,22,0.881666898727417,bottle,chair,10,0022_lp_s01_10_chair_10_n04429376_16459.png
