subj,session,trial,rt,object_response,category,condition,imagename
swag_vit_l16_in1k,1,1,NaN,knife,chair,40,0001_lp_dnn_40_chair_10_n04099969_7577.png
swag_vit_l16_in1k,1,2,NaN,knife,cat,40,0002_lp_dnn_40_cat_10_n02124075_12815.png
swag_vit_l16_in1k,1,3,NaN,truck,truck,5,0003_lp_dnn_5_truck_10_n04467665_34253.png
swag_vit_l16_in1k,1,4,NaN,clock,clock,1,0004_lp_dnn_1_clock_10_n04548280_5320.png
swag_vit_l16_in1k,1,5,NaN,dog,dog,3,0005_lp_dnn_3_dog_10_n02108915_3652.png
swag_vit_l16_in1k,1,6,NaN,keyboard,keyboard,7,0006_lp_dnn_7_keyboard_10_n04505470_578.png
swag_vit_l16_in1k,1,7,NaN,cat,cat,7,0007_lp_dnn_7_cat_10_n02123597_3842.png
swag_vit_l16_in1k,1,8,NaN,bear,bear,1,0008_lp_dnn_1_bear_10_n02134418_14.png
swag_vit_l16_in1k,1,9,NaN,knife,knife,10,0009_lp_dnn_10_knife_10_n03041632_29920.png
swag_vit_l16_in1k,1,10,NaN,knife,bird,5,0010_lp_dnn_5_bird_10_n01795545_952.png
swag_vit_l16_in1k,1,11,NaN,bear,bear,3,0011_lp_dnn_3_bear_10_n02132136_6441.png
swag_vit_l16_in1k,1,12,NaN,bear,bird,3,0012_lp_dnn_3_bird_10_n01829413_8792.png
swag_vit_l16_in1k,1,13,NaN,keyboard,keyboard,7,0013_lp_dnn_7_keyboard_10_n04505470_4458.png
swag_vit_l16_in1k,1,14,NaN,knife,chair,10,0014_lp_dnn_10_chair_10_n03376595_9176.png
swag_vit_l16_in1k,1,15,NaN,knife,clock,40,0015_lp_dnn_40_clock_10_n04548280_7662.png
swag_vit_l16_in1k,1,16,NaN,knife,keyboard,40,0016_lp_dnn_40_keyboard_10_n03085013_25809.png
swag_vit_l16_in1k,1,17,NaN,oven,oven,5,0017_lp_dnn_5_oven_10_n04111531_1580.png
swag_vit_l16_in1k,1,18,NaN,elephant,elephant,1,0018_lp_dnn_1_elephant_10_n02504458_900.png
swag_vit_l16_in1k,1,19,NaN,knife,dog,7,0019_lp_dnn_7_dog_10_n02106662_2384.png
swag_vit_l16_in1k,1,20,NaN,knife,truck,10,0020_lp_dnn_10_truck_10_n03796401_22618.png
swag_vit_l16_in1k,1,21,NaN,bottle,elephant,15,0021_lp_dnn_15_elephant_10_n02504013_5463.png
swag_vit_l16_in1k,1,22,NaN,knife,chair,10,0022_lp_dnn_10_chair_10_n04429376_16459.png
swag_vit_l16_in1k,1,23,NaN,cat,cat,1,0023_lp_dnn_1_cat_10_n02123045_12206.png
swag_vit_l16_in1k,1,24,NaN,knife,truck,7,0024_lp_dnn_7_truck_10_n03417042_2633.png
swag_vit_l16_in1k,1,25,NaN,knife,keyboard,15,0025_lp_dnn_15_keyboard_10_n03085013_24416.png
swag_vit_l16_in1k,1,26,NaN,car,car,7,0026_lp_dnn_7_car_10_n02814533_44503.png
swag_vit_l16_in1k,1,27,NaN,elephant,elephant,5,0027_lp_dnn_5_elephant_10_n02504458_5797.png
swag_vit_l16_in1k,1,28,NaN,chair,chair,0,0028_lp_dnn_0_chair_10_n04429376_8237.png
swag_vit_l16_in1k,1,29,NaN,oven,cat,7,0029_lp_dnn_7_cat_10_n02123159_587.png
swag_vit_l16_in1k,1,30,NaN,knife,bird,10,0030_lp_dnn_10_bird_10_n02028035_17238.png
swag_vit_l16_in1k,1,31,NaN,clock,cat,40,0031_lp_dnn_40_cat_10_n02123159_4348.png
swag_vit_l16_in1k,1,32,NaN,oven,boat,5,0032_lp_dnn_5_boat_10_n04273569_22332.png
swag_vit_l16_in1k,1,33,NaN,elephant,elephant,1,0033_lp_dnn_1_elephant_10_n02504013_1244.png
swag_vit_l16_in1k,1,34,NaN,bicycle,bicycle,7,0034_lp_dnn_7_bicycle_10_n03792782_30229.png
swag_vit_l16_in1k,1,35,NaN,keyboard,keyboard,10,0035_lp_dnn_10_keyboard_10_n03085013_7573.png
swag_vit_l16_in1k,1,36,NaN,keyboard,keyboard,3,0036_lp_dnn_3_keyboard_10_n03085013_24578.png
swag_vit_l16_in1k,1,37,NaN,knife,truck,15,0037_lp_dnn_15_truck_10_n03417042_1336.png
swag_vit_l16_in1k,1,38,NaN,knife,knife,3,0038_lp_dnn_3_knife_10_n03041632_7495.png
swag_vit_l16_in1k,1,39,NaN,car,car,0,0039_lp_dnn_0_car_10_n03100240_9625.png
swag_vit_l16_in1k,1,40,NaN,knife,elephant,10,0040_lp_dnn_10_elephant_10_n02504458_6107.png
swag_vit_l16_in1k,1,41,NaN,bicycle,bicycle,0,0041_lp_dnn_0_bicycle_10_n03792782_33649.png
swag_vit_l16_in1k,1,42,NaN,clock,clock,1,0042_lp_dnn_1_clock_10_n03196217_8282.png
swag_vit_l16_in1k,1,43,NaN,keyboard,keyboard,7,0043_lp_dnn_7_keyboard_10_n03085013_21534.png
swag_vit_l16_in1k,1,44,NaN,knife,elephant,15,0044_lp_dnn_15_elephant_10_n02504013_22813.png
swag_vit_l16_in1k,1,45,NaN,truck,truck,10,0045_lp_dnn_10_truck_10_n03796401_16425.png
swag_vit_l16_in1k,1,46,NaN,knife,airplane,15,0046_lp_dnn_15_airplane_10_n02690373_9427.png
swag_vit_l16_in1k,1,47,NaN,knife,bird,7,0047_lp_dnn_7_bird_10_n02009912_11907.png
swag_vit_l16_in1k,1,48,NaN,airplane,airplane,1,0048_lp_dnn_1_airplane_10_n02690373_5773.png
swag_vit_l16_in1k,1,49,NaN,bottle,chair,40,0049_lp_dnn_40_chair_10_n02791124_2972.png
swag_vit_l16_in1k,1,50,NaN,bird,bird,1,0050_lp_dnn_1_bird_10_n01819313_18188.png
swag_vit_l16_in1k,1,51,NaN,car,car,5,0051_lp_dnn_5_car_10_n04285008_7428.png
swag_vit_l16_in1k,1,52,NaN,oven,bottle,7,0052_lp_dnn_7_bottle_10_n04591713_6923.png
swag_vit_l16_in1k,1,53,NaN,knife,knife,0,0053_lp_dnn_0_knife_10_n03041632_22570.png
swag_vit_l16_in1k,1,54,NaN,bear,bear,0,0054_lp_dnn_0_bear_10_n02132136_7586.png
swag_vit_l16_in1k,1,55,NaN,clock,clock,5,0055_lp_dnn_5_clock_10_n04548280_9144.png
swag_vit_l16_in1k,1,56,NaN,bottle,bottle,0,0056_lp_dnn_0_bottle_10_n04591713_2680.png
swag_vit_l16_in1k,1,57,NaN,cat,cat,3,0057_lp_dnn_3_cat_10_n02123045_1596.png
swag_vit_l16_in1k,1,58,NaN,knife,cat,10,0058_lp_dnn_10_cat_10_n02123597_19450.png
swag_vit_l16_in1k,1,59,NaN,clock,chair,15,0059_lp_dnn_15_chair_10_n03376595_3462.png
swag_vit_l16_in1k,1,60,NaN,bottle,bottle,3,0060_lp_dnn_3_bottle_10_n04591713_3683.png
swag_vit_l16_in1k,1,61,NaN,clock,clock,7,0061_lp_dnn_7_clock_10_n03196217_4309.png
swag_vit_l16_in1k,1,62,NaN,knife,bear,15,0062_lp_dnn_15_bear_10_n02134084_4923.png
swag_vit_l16_in1k,1,63,NaN,chair,chair,1,0063_lp_dnn_1_chair_10_n04429376_5238.png
swag_vit_l16_in1k,1,64,NaN,clock,clock,0,0064_lp_dnn_0_clock_10_n03196217_2414.png
swag_vit_l16_in1k,1,65,NaN,bird,bird,3,0065_lp_dnn_3_bird_10_n01797886_2711.png
swag_vit_l16_in1k,1,66,NaN,oven,truck,15,0066_lp_dnn_15_truck_10_n04467665_68463.png
swag_vit_l16_in1k,1,67,NaN,truck,truck,0,0067_lp_dnn_0_truck_10_n03417042_10099.png
swag_vit_l16_in1k,1,68,NaN,knife,bear,10,0068_lp_dnn_10_bear_10_n02134418_3793.png
swag_vit_l16_in1k,1,69,NaN,clock,bottle,10,0069_lp_dnn_10_bottle_10_n03937543_9524.png
swag_vit_l16_in1k,1,70,NaN,cat,cat,3,0070_lp_dnn_3_cat_10_n02123394_1038.png
swag_vit_l16_in1k,1,71,NaN,knife,dog,5,0071_lp_dnn_5_dog_10_n02110185_7886.png
swag_vit_l16_in1k,1,72,NaN,clock,clock,3,0072_lp_dnn_3_clock_10_n02708093_4912.png
swag_vit_l16_in1k,1,73,NaN,knife,dog,15,0073_lp_dnn_15_dog_10_n02108422_932.png
swag_vit_l16_in1k,1,74,NaN,truck,truck,0,0074_lp_dnn_0_truck_10_n04467665_18621.png
swag_vit_l16_in1k,1,75,NaN,truck,truck,1,0075_lp_dnn_1_truck_10_n04467665_50932.png
swag_vit_l16_in1k,1,76,NaN,dog,dog,1,0076_lp_dnn_1_dog_10_n02102480_7293.png
swag_vit_l16_in1k,1,77,NaN,bottle,bottle,1,0077_lp_dnn_1_bottle_10_n04591713_4764.png
swag_vit_l16_in1k,1,78,NaN,bottle,clock,15,0078_lp_dnn_15_clock_10_n02708093_274.png
swag_vit_l16_in1k,1,79,NaN,keyboard,bottle,5,0079_lp_dnn_5_bottle_10_n04557648_29772.png
