subj,dataset_name,metric_name,performance
resnet50,edge,accuracy (top-1),0.1375
resnet50,silhouette,accuracy (top-1),0.54375
resnet50,cue-conflict,accuracy (top-1),0.18203125
resnet50,colour,accuracy (top-1),0.97578125
resnet50,contrast,accuracy (top-1),0.68046875
resnet50,high-pass,accuracy (top-1),0.325
resnet50,low-pass,accuracy (top-1),0.4125
resnet50,phase-scrambling,accuracy (top-1),0.5089285714285714
resnet50,power-equalisation,accuracy (top-1),0.8455357142857143
resnet50,false-colour,accuracy (top-1),0.9607142857142857
resnet50,rotation,accuracy (top-1),0.7546875
resnet50,eidolonI,accuracy (top-1),0.47421875
resnet50,eidolonII,accuracy (top-1),0.4234375
resnet50,eidolonIII,accuracy (top-1),0.37109375
resnet50,uniform-noise,accuracy (top-1),0.40546875
resnet50,sketch,accuracy (top-1),0.59625
resnet50,sketch,accuracy (top-5),0.8025
resnet50,stylized,accuracy (top-1),0.37125
resnet50,stylized,accuracy (top-5),0.695
