subj,dataset_name,metric_name,performance
swag_vit_b16_in1k,cue-conflict,accuracy (top-1),0.3
swag_vit_b16_in1k,uniform-noise,accuracy (top-1),0.5546875
swag_vit_b16_in1k,colour,accuracy (top-1),0.9921875
swag_vit_b16_in1k,edge,accuracy (top-1),0.51875
swag_vit_b16_in1k,silhouette,accuracy (top-1),0.58125
swag_vit_b16_in1k,contrast,accuracy (top-1),0.61015625
swag_vit_b16_in1k,high-pass,accuracy (top-1),0.553125
swag_vit_b16_in1k,low-pass,accuracy (top-1),0.45
swag_vit_b16_in1k,phase-scrambling,accuracy (top-1),0.6482142857142857
swag_vit_b16_in1k,power-equalisation,accuracy (top-1),0.9633928571428572
swag_vit_b16_in1k,false-colour,accuracy (top-1),0.9901785714285715
swag_vit_b16_in1k,rotation,accuracy (top-1),0.878125
swag_vit_b16_in1k,eidolonI,accuracy (top-1),0.51015625
swag_vit_b16_in1k,eidolonII,accuracy (top-1),0.45703125
swag_vit_b16_in1k,eidolonIII,accuracy (top-1),0.41328125
swag_vit_b16_in1k,sketch,accuracy (top-1),0.87875
swag_vit_b16_in1k,sketch,accuracy (top-5),0.98125
swag_vit_b16_in1k,stylized,accuracy (top-1),0.58125
swag_vit_b16_in1k,stylized,accuracy (top-5),0.83875
