subj,session,trial,rt,object_response,category,condition,imagename
bagnet33,1,1,NaN,truck,truck,30,0001_ps_dnn_30_truck_10_n03417042_14861.png
bagnet33,1,2,NaN,keyboard,keyboard,0,0002_ps_dnn_0_keyboard_10_n03085013_25476.png
bagnet33,1,3,NaN,elephant,elephant,0,0003_ps_dnn_0_elephant_10_n02504013_3087.png
bagnet33,1,4,NaN,cat,cat,30,0004_ps_dnn_30_cat_10_n02123394_4633.png
bagnet33,1,5,NaN,oven,knife,120,0005_ps_dnn_120_knife_10_n03041632_48151.png
bagnet33,1,6,NaN,bicycle,bicycle,60,0006_ps_dnn_60_bicycle_10_n02835271_1075.png
bagnet33,1,7,NaN,knife,bear,180,0007_ps_dnn_180_bear_10_n02134084_10289.png
bagnet33,1,8,NaN,keyboard,keyboard,0,0008_ps_dnn_0_keyboard_10_n03085013_21967.png
bagnet33,1,9,NaN,clock,oven,150,0009_ps_dnn_150_oven_10_n04111531_5737.png
bagnet33,1,10,NaN,elephant,elephant,60,0010_ps_dnn_60_elephant_10_n02504458_8141.png
bagnet33,1,11,NaN,elephant,elephant,90,0011_ps_dnn_90_elephant_10_n02504458_3153.png
bagnet33,1,12,NaN,bear,bear,60,0012_ps_dnn_60_bear_10_n02134418_5807.png
bagnet33,1,13,NaN,boat,boat,0,0013_ps_dnn_0_boat_10_n04273569_15322.png
bagnet33,1,14,NaN,chair,knife,0,0014_ps_dnn_0_knife_10_n03041632_42526.png
bagnet33,1,15,NaN,bicycle,bicycle,30,0015_ps_dnn_30_bicycle_10_n02835271_5886.png
bagnet33,1,16,NaN,chair,dog,180,0016_ps_dnn_180_dog_10_n02110063_869.png
bagnet33,1,17,NaN,chair,bicycle,180,0017_ps_dnn_180_bicycle_10_n03792782_3334.png
bagnet33,1,18,NaN,airplane,airplane,0,0018_ps_dnn_0_airplane_10_n02690373_7355.png
bagnet33,1,19,NaN,bear,bird,120,0019_ps_dnn_120_bird_10_n01798484_2289.png
bagnet33,1,20,NaN,knife,knife,60,0020_ps_dnn_60_knife_10_n03041632_87380.png
bagnet33,1,21,NaN,airplane,bird,0,0021_ps_dnn_0_bird_10_n02027492_15639.png
bagnet33,1,22,NaN,bird,bird,0,0022_ps_dnn_0_bird_10_n02006656_7153.png
bagnet33,1,23,NaN,boat,boat,60,0023_ps_dnn_60_boat_10_n04612504_14699.png
bagnet33,1,24,NaN,bear,bear,60,0024_ps_dnn_60_bear_10_n02134418_5971.png
bagnet33,1,25,NaN,cat,dog,90,0025_ps_dnn_90_dog_10_n02110063_16680.png
bagnet33,1,26,NaN,airplane,car,90,0026_ps_dnn_90_car_10_n03100240_6010.png
bagnet33,1,27,NaN,elephant,elephant,30,0027_ps_dnn_30_elephant_10_n02504458_9835.png
bagnet33,1,28,NaN,airplane,airplane,30,0028_ps_dnn_30_airplane_10_n02690373_10207.png
bagnet33,1,29,NaN,knife,bottle,180,0029_ps_dnn_180_bottle_10_n03983396_5532.png
bagnet33,1,30,NaN,dog,dog,30,0030_ps_dnn_30_dog_10_n02090622_1485.png
bagnet33,1,31,NaN,knife,truck,150,0031_ps_dnn_150_truck_10_n03417042_5503.png
bagnet33,1,32,NaN,boat,bear,180,0032_ps_dnn_180_bear_10_n02133161_897.png
