subj,session,trial,rt,object_response,category,condition,imagename
resnet50,1,1,NaN,truck,truck,30,0001_ps_dnn_30_truck_10_n03417042_14861.png
resnet50,1,2,NaN,keyboard,keyboard,0,0002_ps_dnn_0_keyboard_10_n03085013_25476.png
resnet50,1,3,NaN,elephant,elephant,0,0003_ps_dnn_0_elephant_10_n02504013_3087.png
resnet50,1,4,NaN,cat,cat,30,0004_ps_dnn_30_cat_10_n02123394_4633.png
resnet50,1,5,NaN,clock,knife,120,0005_ps_dnn_120_knife_10_n03041632_48151.png
resnet50,1,6,NaN,bicycle,bicycle,60,0006_ps_dnn_60_bicycle_10_n02835271_1075.png
resnet50,1,7,NaN,chair,bear,180,0007_ps_dnn_180_bear_10_n02134084_10289.png
resnet50,1,8,NaN,keyboard,keyboard,0,0008_ps_dnn_0_keyboard_10_n03085013_21967.png
resnet50,1,9,NaN,knife,oven,150,0009_ps_dnn_150_oven_10_n04111531_5737.png
resnet50,1,10,NaN,elephant,elephant,60,0010_ps_dnn_60_elephant_10_n02504458_8141.png
resnet50,1,11,NaN,elephant,elephant,90,0011_ps_dnn_90_elephant_10_n02504458_3153.png
resnet50,1,12,NaN,elephant,bear,60,0012_ps_dnn_60_bear_10_n02134418_5807.png
resnet50,1,13,NaN,airplane,boat,0,0013_ps_dnn_0_boat_10_n04273569_15322.png
resnet50,1,14,NaN,chair,knife,0,0014_ps_dnn_0_knife_10_n03041632_42526.png
resnet50,1,15,NaN,bicycle,bicycle,30,0015_ps_dnn_30_bicycle_10_n02835271_5886.png
resnet50,1,16,NaN,bottle,dog,180,0016_ps_dnn_180_dog_10_n02110063_869.png
resnet50,1,17,NaN,bottle,bicycle,180,0017_ps_dnn_180_bicycle_10_n03792782_3334.png
resnet50,1,18,NaN,airplane,airplane,0,0018_ps_dnn_0_airplane_10_n02690373_7355.png
resnet50,1,19,NaN,dog,bird,120,0019_ps_dnn_120_bird_10_n01798484_2289.png
resnet50,1,20,NaN,knife,knife,60,0020_ps_dnn_60_knife_10_n03041632_87380.png
resnet50,1,21,NaN,bird,bird,0,0021_ps_dnn_0_bird_10_n02027492_15639.png
resnet50,1,22,NaN,bird,bird,0,0022_ps_dnn_0_bird_10_n02006656_7153.png
resnet50,1,23,NaN,boat,boat,60,0023_ps_dnn_60_boat_10_n04612504_14699.png
resnet50,1,24,NaN,bear,bear,60,0024_ps_dnn_60_bear_10_n02134418_5971.png
resnet50,1,25,NaN,elephant,dog,90,0025_ps_dnn_90_dog_10_n02110063_16680.png
resnet50,1,26,NaN,clock,car,90,0026_ps_dnn_90_car_10_n03100240_6010.png
resnet50,1,27,NaN,elephant,elephant,30,0027_ps_dnn_30_elephant_10_n02504458_9835.png
resnet50,1,28,NaN,airplane,airplane,30,0028_ps_dnn_30_airplane_10_n02690373_10207.png
resnet50,1,29,NaN,knife,bottle,180,0029_ps_dnn_180_bottle_10_n03983396_5532.png
resnet50,1,30,NaN,dog,dog,30,0030_ps_dnn_30_dog_10_n02090622_1485.png
resnet50,1,31,NaN,clock,truck,150,0031_ps_dnn_150_truck_10_n03417042_5503.png
resnet50,1,32,NaN,cat,bear,180,0032_ps_dnn_180_bear_10_n02133161_897.png
resnet50,1,33,NaN,clock,keyboard,180,0033_ps_dnn_180_keyboard_10_n04505470_4579.png
resnet50,1,34,NaN,bird,bird,60,0034_ps_dnn_60_bird_10_n01592084_5833.png
resnet50,1,35,NaN,dog,dog,0,0035_ps_dnn_0_dog_10_n02090379_3514.png
resnet50,1,36,NaN,knife,airplane,180,0036_ps_dnn_180_airplane_10_n02690373_6144.png
resnet50,1,37,NaN,airplane,airplane,90,0037_ps_dnn_90_airplane_10_n02690373_1436.png
resnet50,1,38,NaN,clock,clock,120,0038_ps_dnn_120_clock_10_n04548280_354.png
resnet50,1,39,NaN,keyboard,keyboard,0,0039_ps_dnn_0_keyboard_10_n03085013_2189.png
resnet50,1,40,NaN,clock,chair,120,0040_ps_dnn_120_chair_10_n04099969_9005.png
resnet50,1,41,NaN,knife,bicycle,180,0041_ps_dnn_180_bicycle_10_n02835271_7350.png
resnet50,1,42,NaN,knife,bottle,150,0042_ps_dnn_150_bottle_10_n04557648_8320.png
resnet50,1,43,NaN,dog,dog,0,0043_ps_dnn_0_dog_10_n02105641_6503.png
resnet50,1,44,NaN,clock,clock,90,0044_ps_dnn_90_clock_10_n04548280_6022.png
resnet50,1,45,NaN,keyboard,clock,60,0045_ps_dnn_60_clock_10_n03196217_7414.png
resnet50,1,46,NaN,clock,oven,150,0046_ps_dnn_150_oven_10_n04111531_7965.png
resnet50,1,47,NaN,bottle,bottle,90,0047_ps_dnn_90_bottle_10_n04579145_4594.png
resnet50,1,48,NaN,bottle,bottle,30,0048_ps_dnn_30_bottle_10_n03983396_4564.png
resnet50,1,49,NaN,cat,cat,60,0049_ps_dnn_60_cat_10_n02125311_54015.png
resnet50,1,50,NaN,bottle,bicycle,150,0050_ps_dnn_150_bicycle_10_n03792782_5133.png
resnet50,1,51,NaN,bird,bird,120,0051_ps_dnn_120_bird_10_n02018207_6296.png
resnet50,1,52,NaN,bird,bird,30,0052_ps_dnn_30_bird_10_n01817953_11996.png
