subj,session,trial,rt,object_response,category,condition,imagename
simclr_resnet50x1,1,1,NaN,truck,truck,30,0001_ps_dnn_30_truck_10_n03417042_14861.png
simclr_resnet50x1,1,2,NaN,keyboard,keyboard,0,0002_ps_dnn_0_keyboard_10_n03085013_25476.png
simclr_resnet50x1,1,3,NaN,elephant,elephant,0,0003_ps_dnn_0_elephant_10_n02504013_3087.png
simclr_resnet50x1,1,4,NaN,cat,cat,30,0004_ps_dnn_30_cat_10_n02123394_4633.png
simclr_resnet50x1,1,5,NaN,bird,knife,120,0005_ps_dnn_120_knife_10_n03041632_48151.png
simclr_resnet50x1,1,6,NaN,bicycle,bicycle,60,0006_ps_dnn_60_bicycle_10_n02835271_1075.png
simclr_resnet50x1,1,7,NaN,clock,bear,180,0007_ps_dnn_180_bear_10_n02134084_10289.png
simclr_resnet50x1,1,8,NaN,keyboard,keyboard,0,0008_ps_dnn_0_keyboard_10_n03085013_21967.png
simclr_resnet50x1,1,9,NaN,bottle,oven,150,0009_ps_dnn_150_oven_10_n04111531_5737.png
simclr_resnet50x1,1,10,NaN,elephant,elephant,60,0010_ps_dnn_60_elephant_10_n02504458_8141.png
simclr_resnet50x1,1,11,NaN,elephant,elephant,90,0011_ps_dnn_90_elephant_10_n02504458_3153.png
simclr_resnet50x1,1,12,NaN,elephant,bear,60,0012_ps_dnn_60_bear_10_n02134418_5807.png
simclr_resnet50x1,1,13,NaN,boat,boat,0,0013_ps_dnn_0_boat_10_n04273569_15322.png
simclr_resnet50x1,1,14,NaN,chair,knife,0,0014_ps_dnn_0_knife_10_n03041632_42526.png
simclr_resnet50x1,1,15,NaN,bicycle,bicycle,30,0015_ps_dnn_30_bicycle_10_n02835271_5886.png
simclr_resnet50x1,1,16,NaN,clock,dog,180,0016_ps_dnn_180_dog_10_n02110063_869.png
simclr_resnet50x1,1,17,NaN,clock,bicycle,180,0017_ps_dnn_180_bicycle_10_n03792782_3334.png
simclr_resnet50x1,1,18,NaN,airplane,airplane,0,0018_ps_dnn_0_airplane_10_n02690373_7355.png
simclr_resnet50x1,1,19,NaN,clock,bird,120,0019_ps_dnn_120_bird_10_n01798484_2289.png
simclr_resnet50x1,1,20,NaN,knife,knife,60,0020_ps_dnn_60_knife_10_n03041632_87380.png
simclr_resnet50x1,1,21,NaN,bird,bird,0,0021_ps_dnn_0_bird_10_n02027492_15639.png
simclr_resnet50x1,1,22,NaN,bird,bird,0,0022_ps_dnn_0_bird_10_n02006656_7153.png
simclr_resnet50x1,1,23,NaN,boat,boat,60,0023_ps_dnn_60_boat_10_n04612504_14699.png
simclr_resnet50x1,1,24,NaN,bear,bear,60,0024_ps_dnn_60_bear_10_n02134418_5971.png
simclr_resnet50x1,1,25,NaN,cat,dog,90,0025_ps_dnn_90_dog_10_n02110063_16680.png
simclr_resnet50x1,1,26,NaN,car,car,90,0026_ps_dnn_90_car_10_n03100240_6010.png
simclr_resnet50x1,1,27,NaN,elephant,elephant,30,0027_ps_dnn_30_elephant_10_n02504458_9835.png
simclr_resnet50x1,1,28,NaN,airplane,airplane,30,0028_ps_dnn_30_airplane_10_n02690373_10207.png
simclr_resnet50x1,1,29,NaN,bottle,bottle,180,0029_ps_dnn_180_bottle_10_n03983396_5532.png
simclr_resnet50x1,1,30,NaN,dog,dog,30,0030_ps_dnn_30_dog_10_n02090622_1485.png
simclr_resnet50x1,1,31,NaN,clock,truck,150,0031_ps_dnn_150_truck_10_n03417042_5503.png
simclr_resnet50x1,1,32,NaN,clock,bear,180,0032_ps_dnn_180_bear_10_n02133161_897.png
simclr_resnet50x1,1,33,NaN,clock,keyboard,180,0033_ps_dnn_180_keyboard_10_n04505470_4579.png
simclr_resnet50x1,1,34,NaN,bird,bird,60,0034_ps_dnn_60_bird_10_n01592084_5833.png
simclr_resnet50x1,1,35,NaN,dog,dog,0,0035_ps_dnn_0_dog_10_n02090379_3514.png
simclr_resnet50x1,1,36,NaN,clock,airplane,180,0036_ps_dnn_180_airplane_10_n02690373_6144.png
simclr_resnet50x1,1,37,NaN,airplane,airplane,90,0037_ps_dnn_90_airplane_10_n02690373_1436.png
simclr_resnet50x1,1,38,NaN,clock,clock,120,0038_ps_dnn_120_clock_10_n04548280_354.png
simclr_resnet50x1,1,39,NaN,keyboard,keyboard,0,0039_ps_dnn_0_keyboard_10_n03085013_2189.png
simclr_resnet50x1,1,40,NaN,clock,chair,120,0040_ps_dnn_120_chair_10_n04099969_9005.png
simclr_resnet50x1,1,41,NaN,clock,bicycle,180,0041_ps_dnn_180_bicycle_10_n02835271_7350.png
simclr_resnet50x1,1,42,NaN,clock,bottle,150,0042_ps_dnn_150_bottle_10_n04557648_8320.png
simclr_resnet50x1,1,43,NaN,dog,dog,0,0043_ps_dnn_0_dog_10_n02105641_6503.png
simclr_resnet50x1,1,44,NaN,clock,clock,90,0044_ps_dnn_90_clock_10_n04548280_6022.png
simclr_resnet50x1,1,45,NaN,bottle,clock,60,0045_ps_dnn_60_clock_10_n03196217_7414.png
simclr_resnet50x1,1,46,NaN,clock,oven,150,0046_ps_dnn_150_oven_10_n04111531_7965.png
simclr_resnet50x1,1,47,NaN,bottle,bottle,90,0047_ps_dnn_90_bottle_10_n04579145_4594.png
simclr_resnet50x1,1,48,NaN,bottle,bottle,30,0048_ps_dnn_30_bottle_10_n03983396_4564.png
simclr_resnet50x1,1,49,NaN,cat,cat,60,0049_ps_dnn_60_cat_10_n02125311_54015.png
simclr_resnet50x1,1,50,NaN,clock,bicycle,150,0050_ps_dnn_150_bicycle_10_n03792782_5133.png
simclr_resnet50x1,1,51,NaN,bird,bird,120,0051_ps_dnn_120_bird_10_n02018207_6296.png
simclr_resnet50x1,1,52,NaN,bird,bird,30,0052_ps_dnn_30_bird_10_n01817953_11996.png
simclr_resnet50x1,1,53,NaN,bottle,keyboard,150,0053_ps_dnn_150_keyboard_10_n03085013_3148.png
simclr_resnet50x1,1,54,NaN,bear,bear,60,0054_ps_dnn_60_bear_10_n02134418_5537.png
simclr_resnet50x1,1,55,NaN,clock,cat,150,0055_ps_dnn_150_cat_10_n02125311_11409.png
simclr_resnet50x1,1,56,NaN,knife,knife,30,0056_ps_dnn_30_knife_10_n03041632_3063.png
simclr_resnet50x1,1,57,NaN,dog,dog,60,0057_ps_dnn_60_dog_10_n02106550_6424.png
simclr_resnet50x1,1,58,NaN,bear,bear,30,0058_ps_dnn_30_bear_10_n02133161_7032.png
simclr_resnet50x1,1,59,NaN,clock,cat,150,0059_ps_dnn_150_cat_10_n02125311_5570.png
simclr_resnet50x1,1,60,NaN,bird,bird,30,0060_ps_dnn_30_bird_10_n01843383_13894.png
simclr_resnet50x1,1,61,NaN,oven,bottle,60,0061_ps_dnn_60_bottle_10_n03983396_2205.png
simclr_resnet50x1,1,62,NaN,bicycle,bicycle,60,0062_ps_dnn_60_bicycle_10_n03792782_31010.png
simclr_resnet50x1,1,63,NaN,bottle,bottle,60,0063_ps_dnn_60_bottle_10_n02823428_880.png
simclr_resnet50x1,1,64,NaN,bird,car,180,0064_ps_dnn_180_car_10_n02814533_40459.png
simclr_resnet50x1,1,65,NaN,cat,cat,120,0065_ps_dnn_120_cat_10_n02123045_567.png
simclr_resnet50x1,1,66,NaN,clock,knife,120,0066_ps_dnn_120_knife_10_n03041632_24541.png
simclr_resnet50x1,1,67,NaN,elephant,elephant,30,0067_ps_dnn_30_elephant_10_n02504458_8644.png
simclr_resnet50x1,1,68,NaN,keyboard,keyboard,0,0068_ps_dnn_0_keyboard_10_n03085013_2166.png
simclr_resnet50x1,1,69,NaN,boat,boat,90,0069_ps_dnn_90_boat_10_n04273569_13972.png
simclr_resnet50x1,1,70,NaN,clock,airplane,150,0070_ps_dnn_150_airplane_10_n02690373_9432.png
simclr_resnet50x1,1,71,NaN,truck,truck,90,0071_ps_dnn_90_truck_10_n03417042_5228.png
simclr_resnet50x1,1,72,NaN,airplane,airplane,0,0072_ps_dnn_0_airplane_10_n02690373_4294.png
