subj,Session,trial,rt,object_response,category,condition,imagename
subject-01,1,1,0.773930072784424,truck,truck,30,0001_ps_s01_30_truck_10_n03417042_14861.png
subject-01,1,2,0.771803140640259,keyboard,keyboard,0,0002_ps_s01_0_keyboard_10_n03085013_25476.png
subject-01,1,3,0.993726968765259,elephant,elephant,0,0003_ps_s01_0_elephant_10_n02504013_3087.png
subject-01,1,4,0.929347991943359,cat,cat,30,0004_ps_s01_30_cat_10_n02123394_4633.png
subject-01,1,5,0.94724702835083,keyboard,knife,120,0005_ps_s01_120_knife_10_n03041632_48151.png
subject-01,1,6,1.08322501182556,bicycle,bicycle,60,0006_ps_s01_60_bicycle_10_n02835271_1075.png
subject-01,1,7,1.17887091636658,bear,bear,180,0007_ps_s01_180_bear_10_n02134084_10289.png
subject-01,1,8,0.76678204536438,keyboard,keyboard,0,0008_ps_s01_0_keyboard_10_n03085013_21967.png
subject-01,1,9,1.05862712860107,clock,oven,150,0009_ps_s01_150_oven_10_n04111531_5737.png
subject-01,1,10,1.2964301109314,bear,elephant,60,0010_ps_s01_60_elephant_10_n02504458_8141.png
subject-01,1,11,1.07200479507446,elephant,elephant,90,0011_ps_s01_90_elephant_10_n02504458_3153.png
subject-01,1,12,1.05819487571716,bear,bear,60,0012_ps_s01_60_bear_10_n02134418_5807.png
subject-01,1,13,0.707764863967896,boat,boat,0,0013_ps_s01_0_boat_10_n04273569_15322.png
subject-01,1,14,1.03568005561829,knife,knife,0,0014_ps_s01_0_knife_10_n03041632_42526.png
subject-01,1,15,0.973317861557007,bicycle,bicycle,30,0015_ps_s01_30_bicycle_10_n02835271_5886.png
subject-01,1,16,1.06314992904663,oven,dog,180,0016_ps_s01_180_dog_10_n02110063_869.png
subject-01,1,17,1.0991108417511,clock,bicycle,180,0017_ps_s01_180_bicycle_10_n03792782_3334.png
subject-01,1,18,0.960758924484253,airplane,airplane,0,0018_ps_s01_0_airplane_10_n02690373_7355.png
subject-01,1,19,1.06473898887634,car,bird,120,0019_ps_s01_120_bird_10_n01798484_2289.png
subject-01,1,20,1.4905960559845,cat,knife,60,0020_ps_s01_60_knife_10_n03041632_87380.png
subject-01,1,21,0.98433780670166,bird,bird,0,0021_ps_s01_0_bird_10_n02027492_15639.png
subject-01,1,22,1.42411303520203,airplane,bird,0,0022_ps_s01_0_bird_10_n02006656_7153.png
subject-01,1,23,0.738217830657959,boat,boat,60,0023_ps_s01_60_boat_10_n04612504_14699.png
subject-01,1,24,1.04578304290771,bear,bear,60,0024_ps_s01_60_bear_10_n02134418_5971.png
subject-01,1,25,1.25962996482849,dog,dog,90,0025_ps_s01_90_dog_10_n02110063_16680.png
subject-01,1,26,0.923274993896484,car,car,90,0026_ps_s01_90_car_10_n03100240_6010.png
subject-01,1,27,0.81717586517334,elephant,elephant,30,0027_ps_s01_30_elephant_10_n02504458_9835.png
subject-01,1,28,0.851245880126953,airplane,airplane,30,0028_ps_s01_30_airplane_10_n02690373_10207.png
subject-01,1,29,1.38495993614197,keyboard,bottle,180,0029_ps_s01_180_bottle_10_n03983396_5532.png
subject-01,1,30,0.934457063674927,dog,dog,30,0030_ps_s01_30_dog_10_n02090622_1485.png
subject-01,1,31,1.09242010116577,airplane,truck,150,0031_ps_s01_150_truck_10_n03417042_5503.png
subject-01,1,32,1.23019909858704,bear,bear,180,0032_ps_s01_180_bear_10_n02133161_897.png
subject-01,1,33,0.959986925125122,bicycle,keyboard,180,0033_ps_s01_180_keyboard_10_n04505470_4579.png
subject-01,1,34,0.915880918502808,bird,bird,60,0034_ps_s01_60_bird_10_n01592084_5833.png
subject-01,1,35,0.933691024780273,dog,dog,0,0035_ps_s01_0_dog_10_n02090379_3514.png
subject-01,1,36,0.969354867935181,chair,airplane,180,0036_ps_s01_180_airplane_10_n02690373_6144.png
subject-01,1,37,0.925240993499756,airplane,airplane,90,0037_ps_s01_90_airplane_10_n02690373_1436.png
subject-01,1,38,0.725034952163696,clock,clock,120,0038_ps_s01_120_clock_10_n04548280_354.png
subject-01,1,39,0.792961120605469,keyboard,keyboard,0,0039_ps_s01_0_keyboard_10_n03085013_2189.png
subject-01,1,40,1.49865293502808,keyboard,chair,120,0040_ps_s01_120_chair_10_n04099969_9005.png
subject-01,1,41,1.31049680709839,bear,bicycle,180,0041_ps_s01_180_bicycle_10_n02835271_7350.png
subject-01,1,42,1.15027809143066,bottle,bottle,150,0042_ps_s01_150_bottle_10_n04557648_8320.png
subject-01,1,43,1.14422488212585,dog,dog,0,0043_ps_s01_0_dog_10_n02105641_6503.png
subject-01,1,44,1.18802785873413,clock,clock,90,0044_ps_s01_90_clock_10_n04548280_6022.png
subject-01,1,45,1.09790515899658,clock,clock,60,0045_ps_s01_60_clock_10_n03196217_7414.png
subject-01,1,46,1.03956699371338,oven,oven,150,0046_ps_s01_150_oven_10_n04111531_7965.png
subject-01,1,47,1.50012111663818,clock,bottle,90,0047_ps_s01_90_bottle_10_n04579145_4594.png
subject-01,1,48,0.741262912750244,bottle,bottle,30,0048_ps_s01_30_bottle_10_n03983396_4564.png
subject-01,1,49,0.909142971038818,cat,cat,60,0049_ps_s01_60_cat_10_n02125311_54015.png
subject-01,1,50,1.02077388763428,bird,bicycle,150,0050_ps_s01_150_bicycle_10_n03792782_5133.png
subject-01,1,51,NaN,na,bird,120,0051_ps_s01_120_bird_10_n02018207_6296.png
subject-01,1,52,1.08858013153076,bird,bird,30,0052_ps_s01_30_bird_10_n01817953_11996.png
