subj,session,trial,rt,object_response,category,condition,imagename
swag_regnety_32gf_in1k,1,1,NaN,truck,truck,30,0001_ps_dnn_30_truck_10_n03417042_14861.png
swag_regnety_32gf_in1k,1,2,NaN,keyboard,keyboard,0,0002_ps_dnn_0_keyboard_10_n03085013_25476.png
swag_regnety_32gf_in1k,1,3,NaN,elephant,elephant,0,0003_ps_dnn_0_elephant_10_n02504013_3087.png
swag_regnety_32gf_in1k,1,4,NaN,cat,cat,30,0004_ps_dnn_30_cat_10_n02123394_4633.png
swag_regnety_32gf_in1k,1,5,NaN,airplane,knife,120,0005_ps_dnn_120_knife_10_n03041632_48151.png
swag_regnety_32gf_in1k,1,6,NaN,bicycle,bicycle,60,0006_ps_dnn_60_bicycle_10_n02835271_1075.png
swag_regnety_32gf_in1k,1,7,NaN,bear,bear,180,0007_ps_dnn_180_bear_10_n02134084_10289.png
swag_regnety_32gf_in1k,1,8,NaN,keyboard,keyboard,0,0008_ps_dnn_0_keyboard_10_n03085013_21967.png
swag_regnety_32gf_in1k,1,9,NaN,knife,oven,150,0009_ps_dnn_150_oven_10_n04111531_5737.png
swag_regnety_32gf_in1k,1,10,NaN,elephant,elephant,60,0010_ps_dnn_60_elephant_10_n02504458_8141.png
swag_regnety_32gf_in1k,1,11,NaN,elephant,elephant,90,0011_ps_dnn_90_elephant_10_n02504458_3153.png
swag_regnety_32gf_in1k,1,12,NaN,bear,bear,60,0012_ps_dnn_60_bear_10_n02134418_5807.png
swag_regnety_32gf_in1k,1,13,NaN,boat,boat,0,0013_ps_dnn_0_boat_10_n04273569_15322.png
swag_regnety_32gf_in1k,1,14,NaN,knife,knife,0,0014_ps_dnn_0_knife_10_n03041632_42526.png
swag_regnety_32gf_in1k,1,15,NaN,bicycle,bicycle,30,0015_ps_dnn_30_bicycle_10_n02835271_5886.png
swag_regnety_32gf_in1k,1,16,NaN,knife,dog,180,0016_ps_dnn_180_dog_10_n02110063_869.png
swag_regnety_32gf_in1k,1,17,NaN,knife,bicycle,180,0017_ps_dnn_180_bicycle_10_n03792782_3334.png
swag_regnety_32gf_in1k,1,18,NaN,airplane,airplane,0,0018_ps_dnn_0_airplane_10_n02690373_7355.png
swag_regnety_32gf_in1k,1,19,NaN,bear,bird,120,0019_ps_dnn_120_bird_10_n01798484_2289.png
swag_regnety_32gf_in1k,1,20,NaN,knife,knife,60,0020_ps_dnn_60_knife_10_n03041632_87380.png
swag_regnety_32gf_in1k,1,21,NaN,bird,bird,0,0021_ps_dnn_0_bird_10_n02027492_15639.png
swag_regnety_32gf_in1k,1,22,NaN,bird,bird,0,0022_ps_dnn_0_bird_10_n02006656_7153.png
swag_regnety_32gf_in1k,1,23,NaN,boat,boat,60,0023_ps_dnn_60_boat_10_n04612504_14699.png
swag_regnety_32gf_in1k,1,24,NaN,bear,bear,60,0024_ps_dnn_60_bear_10_n02134418_5971.png
swag_regnety_32gf_in1k,1,25,NaN,dog,dog,90,0025_ps_dnn_90_dog_10_n02110063_16680.png
swag_regnety_32gf_in1k,1,26,NaN,car,car,90,0026_ps_dnn_90_car_10_n03100240_6010.png
swag_regnety_32gf_in1k,1,27,NaN,elephant,elephant,30,0027_ps_dnn_30_elephant_10_n02504458_9835.png
swag_regnety_32gf_in1k,1,28,NaN,airplane,airplane,30,0028_ps_dnn_30_airplane_10_n02690373_10207.png
swag_regnety_32gf_in1k,1,29,NaN,knife,bottle,180,0029_ps_dnn_180_bottle_10_n03983396_5532.png
swag_regnety_32gf_in1k,1,30,NaN,dog,dog,30,0030_ps_dnn_30_dog_10_n02090622_1485.png
swag_regnety_32gf_in1k,1,31,NaN,knife,truck,150,0031_ps_dnn_150_truck_10_n03417042_5503.png
swag_regnety_32gf_in1k,1,32,NaN,knife,bear,180,0032_ps_dnn_180_bear_10_n02133161_897.png
swag_regnety_32gf_in1k,1,33,NaN,clock,keyboard,180,0033_ps_dnn_180_keyboard_10_n04505470_4579.png
swag_regnety_32gf_in1k,1,34,NaN,bird,bird,60,0034_ps_dnn_60_bird_10_n01592084_5833.png
swag_regnety_32gf_in1k,1,35,NaN,dog,dog,0,0035_ps_dnn_0_dog_10_n02090379_3514.png
swag_regnety_32gf_in1k,1,36,NaN,bird,airplane,180,0036_ps_dnn_180_airplane_10_n02690373_6144.png
swag_regnety_32gf_in1k,1,37,NaN,airplane,airplane,90,0037_ps_dnn_90_airplane_10_n02690373_1436.png
swag_regnety_32gf_in1k,1,38,NaN,clock,clock,120,0038_ps_dnn_120_clock_10_n04548280_354.png
swag_regnety_32gf_in1k,1,39,NaN,keyboard,keyboard,0,0039_ps_dnn_0_keyboard_10_n03085013_2189.png
swag_regnety_32gf_in1k,1,40,NaN,cat,chair,120,0040_ps_dnn_120_chair_10_n04099969_9005.png
swag_regnety_32gf_in1k,1,41,NaN,knife,bicycle,180,0041_ps_dnn_180_bicycle_10_n02835271_7350.png
swag_regnety_32gf_in1k,1,42,NaN,knife,bottle,150,0042_ps_dnn_150_bottle_10_n04557648_8320.png
swag_regnety_32gf_in1k,1,43,NaN,dog,dog,0,0043_ps_dnn_0_dog_10_n02105641_6503.png
swag_regnety_32gf_in1k,1,44,NaN,clock,clock,90,0044_ps_dnn_90_clock_10_n04548280_6022.png
swag_regnety_32gf_in1k,1,45,NaN,clock,clock,60,0045_ps_dnn_60_clock_10_n03196217_7414.png
swag_regnety_32gf_in1k,1,46,NaN,bird,oven,150,0046_ps_dnn_150_oven_10_n04111531_7965.png
swag_regnety_32gf_in1k,1,47,NaN,bottle,bottle,90,0047_ps_dnn_90_bottle_10_n04579145_4594.png
swag_regnety_32gf_in1k,1,48,NaN,bottle,bottle,30,0048_ps_dnn_30_bottle_10_n03983396_4564.png
swag_regnety_32gf_in1k,1,49,NaN,cat,cat,60,0049_ps_dnn_60_cat_10_n02125311_54015.png
swag_regnety_32gf_in1k,1,50,NaN,clock,bicycle,150,0050_ps_dnn_150_bicycle_10_n03792782_5133.png
swag_regnety_32gf_in1k,1,51,NaN,bird,bird,120,0051_ps_dnn_120_bird_10_n02018207_6296.png
swag_regnety_32gf_in1k,1,52,NaN,bird,bird,30,0052_ps_dnn_30_bird_10_n01817953_11996.png
swag_regnety_32gf_in1k,1,53,NaN,clock,keyboard,150,0053_ps_dnn_150_keyboard_10_n03085013_3148.png
swag_regnety_32gf_in1k,1,54,NaN,bear,bear,60,0054_ps_dnn_60_bear_10_n02134418_5537.png
swag_regnety_32gf_in1k,1,55,NaN,knife,cat,150,0055_ps_dnn_150_cat_10_n02125311_11409.png
swag_regnety_32gf_in1k,1,56,NaN,knife,knife,30,0056_ps_dnn_30_knife_10_n03041632_3063.png
swag_regnety_32gf_in1k,1,57,NaN,dog,dog,60,0057_ps_dnn_60_dog_10_n02106550_6424.png
swag_regnety_32gf_in1k,1,58,NaN,bear,bear,30,0058_ps_dnn_30_bear_10_n02133161_7032.png
swag_regnety_32gf_in1k,1,59,NaN,cat,cat,150,0059_ps_dnn_150_cat_10_n02125311_5570.png
swag_regnety_32gf_in1k,1,60,NaN,bird,bird,30,0060_ps_dnn_30_bird_10_n01843383_13894.png
swag_regnety_32gf_in1k,1,61,NaN,chair,bottle,60,0061_ps_dnn_60_bottle_10_n03983396_2205.png
swag_regnety_32gf_in1k,1,62,NaN,bicycle,bicycle,60,0062_ps_dnn_60_bicycle_10_n03792782_31010.png
swag_regnety_32gf_in1k,1,63,NaN,bottle,bottle,60,0063_ps_dnn_60_bottle_10_n02823428_880.png
swag_regnety_32gf_in1k,1,64,NaN,knife,car,180,0064_ps_dnn_180_car_10_n02814533_40459.png
swag_regnety_32gf_in1k,1,65,NaN,cat,cat,120,0065_ps_dnn_120_cat_10_n02123045_567.png
swag_regnety_32gf_in1k,1,66,NaN,knife,knife,120,0066_ps_dnn_120_knife_10_n03041632_24541.png
swag_regnety_32gf_in1k,1,67,NaN,elephant,elephant,30,0067_ps_dnn_30_elephant_10_n02504458_8644.png
swag_regnety_32gf_in1k,1,68,NaN,keyboard,keyboard,0,0068_ps_dnn_0_keyboard_10_n03085013_2166.png
swag_regnety_32gf_in1k,1,69,NaN,boat,boat,90,0069_ps_dnn_90_boat_10_n04273569_13972.png
swag_regnety_32gf_in1k,1,70,NaN,knife,airplane,150,0070_ps_dnn_150_airplane_10_n02690373_9432.png
swag_regnety_32gf_in1k,1,71,NaN,truck,truck,90,0071_ps_dnn_90_truck_10_n03417042_5228.png
swag_regnety_32gf_in1k,1,72,NaN,airplane,airplane,0,0072_ps_dnn_0_airplane_10_n02690373_4294.png
swag_regnety_32gf_in1k,1,73,NaN,chair,chair,30,0073_ps_dnn_30_chair_10_n04099969_52474.png
swag_regnety_32gf_in1k,1,74,NaN,oven,oven,30,0074_ps_dnn_30_oven_10_n04111531_21822.png
swag_regnety_32gf_in1k,1,75,NaN,clock,oven,150,0075_ps_dnn_150_oven_10_n04111531_15735.png
swag_regnety_32gf_in1k,1,76,NaN,bear,dog,120,0076_ps_dnn_120_dog_10_n02104029_7335.png
swag_regnety_32gf_in1k,1,77,NaN,clock,truck,150,0077_ps_dnn_150_truck_10_n03417042_17911.png
swag_regnety_32gf_in1k,1,78,NaN,clock,clock,30,0078_ps_dnn_30_clock_10_n02708093_899.png
swag_regnety_32gf_in1k,1,79,NaN,boat,boat,60,0079_ps_dnn_60_boat_10_n03662601_9590.png
swag_regnety_32gf_in1k,1,80,NaN,knife,chair,90,0080_ps_dnn_90_chair_10_n02791124_6550.png
swag_regnety_32gf_in1k,1,81,NaN,bicycle,clock,180,0081_ps_dnn_180_clock_10_n03196217_4492.png
swag_regnety_32gf_in1k,1,82,NaN,car,car,30,0082_ps_dnn_30_car_10_n04285008_14128.png
swag_regnety_32gf_in1k,1,83,NaN,bicycle,bicycle,60,0083_ps_dnn_60_bicycle_10_n02835271_4730.png
swag_regnety_32gf_in1k,1,84,NaN,elephant,elephant,0,0084_ps_dnn_0_elephant_10_n02504458_62.png
swag_regnety_32gf_in1k,1,85,NaN,bear,dog,120,0085_ps_dnn_120_dog_10_n02086646_8144.png
swag_regnety_32gf_in1k,1,86,NaN,knife,knife,60,0086_ps_dnn_60_knife_10_n03041632_1671.png
swag_regnety_32gf_in1k,1,87,NaN,cat,bird,180,0087_ps_dnn_180_bird_10_n01534433_10801.png
swag_regnety_32gf_in1k,1,88,NaN,clock,keyboard,150,0088_ps_dnn_150_keyboard_10_n03085013_20570.png
swag_regnety_32gf_in1k,1,89,NaN,knife,knife,150,0089_ps_dnn_150_knife_10_n03041632_4808.png
swag_regnety_32gf_in1k,1,90,NaN,knife,keyboard,180,0090_ps_dnn_180_keyboard_10_n03085013_1808.png
swag_regnety_32gf_in1k,1,91,NaN,boat,truck,120,0091_ps_dnn_120_truck_10_n03796401_4370.png
swag_regnety_32gf_in1k,1,92,NaN,airplane,airplane,60,0092_ps_dnn_60_airplane_10_n02690373_6314.png
swag_regnety_32gf_in1k,1,93,NaN,oven,oven,90,0093_ps_dnn_90_oven_10_n04111531_4879.png
