subj,Session,trial,rt,object_response,category,condition,imagename
subject-04,1,1,0.855642080307007,oven,chair,pow,0001_pow_s04_pow_chair_35_n04429376_12691.png
subject-04,1,2,0.989243984222412,boat,airplane,pow,0002_pow_s04_pow_airplane_35_n02690373_7740.png
subject-04,1,3,1.08511686325073,dog,dog,pow,0003_pow_s04_pow_dog_35_n02110958_8916.png
subject-04,1,4,1.12723207473755,knife,knife,0,0004_pow_s04_0_knife_35_n03041632_34769.png
subject-04,1,5,1.01474690437317,car,car,pow,0005_pow_s04_pow_car_35_n03100240_24471.png
subject-04,1,6,0.724605083465576,oven,oven,0,0006_pow_s04_0_oven_35_n04111531_2074.png
subject-04,1,7,1.48428320884705,dog,bird,0,0007_pow_s04_0_bird_35_n01820546_9729.png
subject-04,1,8,0.750306844711304,car,car,0,0008_pow_s04_0_car_35_n03100240_5387.png
subject-04,1,9,0.781928062438965,clock,clock,0,0009_pow_s04_0_clock_35_n03196217_10246.png
subject-04,1,10,1.27393984794617,chair,oven,0,0010_pow_s04_0_oven_35_n04111531_6445.png
subject-04,1,11,1.39172220230103,boat,bear,0,0011_pow_s04_0_bear_35_n02134084_15968.png
subject-04,1,12,0.815536975860596,car,car,pow,0012_pow_s04_pow_car_35_n04285008_5699.png
subject-04,1,13,0.931236982345581,bottle,bottle,pow,0013_pow_s04_pow_bottle_35_n02823428_774.png
subject-04,1,14,0.814923048019409,bottle,bottle,pow,0014_pow_s04_pow_bottle_35_n04591713_7005.png
subject-04,1,15,0.92473292350769,cat,cat,pow,0015_pow_s04_pow_cat_35_n02125311_28114.png
subject-04,1,16,1.43508291244507,dog,dog,0,0016_pow_s04_0_dog_35_n02102973_7681.png
subject-04,1,17,0.976830959320068,elephant,bicycle,pow,0017_pow_s04_pow_bicycle_35_n02835271_771.png
subject-04,1,18,0.79643702507019,clock,clock,pow,0018_pow_s04_pow_clock_35_n04548280_1960.png
subject-04,1,19,0.936209917068481,bicycle,bicycle,0,0019_pow_s04_0_bicycle_35_n02835271_6094.png
subject-04,1,20,1.18393683433533,oven,oven,pow,0020_pow_s04_pow_oven_35_n04111531_18916.png
subject-04,1,21,0.83384895324707,bottle,bottle,pow,0021_pow_s04_pow_bottle_35_n03983396_6889.png
subject-04,1,22,1.34973812103271,bottle,bottle,0,0022_pow_s04_0_bottle_35_n04591713_7164.png
subject-04,1,23,1.05964994430542,chair,chair,0,0023_pow_s04_0_chair_35_n04429376_10544.png
subject-04,1,24,1.17526507377625,oven,chair,pow,0024_pow_s04_pow_chair_35_n02791124_713.png
subject-04,1,25,NaN,na,bird,0,0025_pow_s04_0_bird_35_n02002556_5447.png
subject-04,1,26,1.46285080909729,dog,dog,pow,0026_pow_s04_pow_dog_35_n02109525_23299.png
subject-04,1,27,0.862786054611206,bottle,bottle,pow,0027_pow_s04_pow_bottle_35_n03983396_12895.png
subject-04,1,28,0.620560884475708,cat,cat,pow,0028_pow_s04_pow_cat_35_n02123597_1027.png
subject-04,1,29,0.792214155197144,cat,dog,0,0029_pow_s04_0_dog_35_n02101006_11799.png
subject-04,1,30,0.918459892272949,car,car,pow,0030_pow_s04_pow_car_35_n04285008_5528.png
subject-04,1,31,0.94802188873291,bear,bird,0,0031_pow_s04_0_bird_35_n02018207_19525.png
subject-04,1,32,0.815907001495361,dog,dog,pow,0032_pow_s04_pow_dog_35_n02097298_7577.png
subject-04,1,33,1.12949085235596,oven,clock,0,0033_pow_s04_0_clock_35_n03196217_5300.png
subject-04,1,34,0.70534610748291,chair,chair,0,0034_pow_s04_0_chair_35_n04099969_15676.png
subject-04,1,35,0.689443111419678,clock,clock,0,0035_pow_s04_0_clock_35_n02708093_5.png
subject-04,1,36,1.03301501274109,knife,keyboard,pow,0036_pow_s04_pow_keyboard_35_n03085013_19416.png
subject-04,1,37,0.943164110183716,bicycle,bicycle,0,0037_pow_s04_0_bicycle_35_n03792782_7878.png
subject-04,1,38,1.38449501991272,knife,knife,pow,0038_pow_s04_pow_knife_35_n03041632_21818.png
subject-04,1,39,0.656786918640137,knife,knife,0,0039_pow_s04_0_knife_35_n03041632_45312.png
subject-04,1,40,0.814339160919189,chair,chair,0,0040_pow_s04_0_chair_35_n04099969_8029.png
subject-04,1,41,0.711947202682495,chair,chair,0,0041_pow_s04_0_chair_35_n04429376_54570.png
subject-04,1,42,0.945946931838989,truck,truck,pow,0042_pow_s04_pow_truck_35_n03796401_9105.png
subject-04,1,43,0.775538206100464,bottle,bottle,0,0043_pow_s04_0_bottle_35_n03983396_5093.png
subject-04,1,44,0.965492963790894,bottle,bottle,pow,0044_pow_s04_pow_bottle_35_n04579145_4389.png
subject-04,1,45,0.677602052688599,knife,knife,pow,0045_pow_s04_pow_knife_35_n03041632_42472.png
subject-04,1,46,1.18543195724487,boat,bear,0,0046_pow_s04_0_bear_35_n02134084_13029.png
subject-04,1,47,0.840950965881348,bicycle,bicycle,pow,0047_pow_s04_pow_bicycle_35_n02835271_21339.png
subject-04,1,48,1.45881509780884,elephant,elephant,pow,0048_pow_s04_pow_elephant_35_n02504013_6552.png
subject-04,1,49,0.878545045852661,elephant,elephant,pow,0049_pow_s04_pow_elephant_35_n02504458_3143.png
subject-04,1,50,0.992779970169067,bottle,bottle,pow,0050_pow_s04_pow_bottle_35_n04557648_85.png
subject-04,1,51,1.26814103126526,keyboard,knife,pow,0051_pow_s04_pow_knife_35_n03041632_76163.png
subject-04,1,52,1.36835289001465,car,oven,pow,0052_pow_s04_pow_oven_35_n04111531_23046.png
subject-04,1,53,0.899907112121582,clock,clock,0,0053_pow_s04_0_clock_35_n03196217_6185.png
subject-04,1,54,0.649611949920654,chair,chair,0,0054_pow_s04_0_chair_35_n04099969_1163.png
subject-04,1,55,1.0714750289917,elephant,elephant,0,0055_pow_s04_0_elephant_35_n02504458_7302.png
subject-04,1,56,1.11924505233765,keyboard,keyboard,0,0056_pow_s04_0_keyboard_35_n04505470_2102.png
subject-04,1,57,1.34904813766479,boat,knife,0,0057_pow_s04_0_knife_35_n03041632_13424.png
subject-04,1,58,1.10111808776855,bird,bird,pow,0058_pow_s04_pow_bird_35_n01796340_11783.png
subject-04,1,59,0.944515943527222,keyboard,keyboard,0,0059_pow_s04_0_keyboard_35_n03085013_10659.png
subject-04,1,60,0.764462947845459,clock,clock,pow,0060_pow_s04_pow_clock_35_n04548280_4947.png
subject-04,1,61,0.928367137908936,knife,knife,pow,0061_pow_s04_pow_knife_35_n03041632_46103.png
subject-04,1,62,1.07043099403381,elephant,elephant,0,0062_pow_s04_0_elephant_35_n02504013_6141.png
subject-04,1,63,0.92390513420105,elephant,elephant,0,0063_pow_s04_0_elephant_35_n02504013_6257.png
subject-04,1,64,0.790050029754639,elephant,elephant,0,0064_pow_s04_0_elephant_35_n02504458_7013.png
subject-04,1,65,1.30339002609253,boat,boat,pow,0065_pow_s04_pow_boat_35_n03344393_6892.png
subject-04,1,66,0.999347925186157,bird,bird,pow,0066_pow_s04_pow_bird_35_n02009912_6788.png
subject-04,1,67,1.1312210559845,elephant,bird,pow,0067_pow_s04_pow_bird_35_n01820546_6471.png
subject-04,1,68,1.07702493667603,keyboard,keyboard,pow,0068_pow_s04_pow_keyboard_35_n03085013_1698.png
subject-04,1,69,0.899107933044434,clock,clock,pow,0069_pow_s04_pow_clock_35_n04548280_17907.png
subject-04,1,70,0.616673946380615,bicycle,bicycle,0,0070_pow_s04_0_bicycle_35_n03792782_2435.png
subject-04,1,71,1.03260207176208,car,car,pow,0071_pow_s04_pow_car_35_n02814533_24730.png
subject-04,1,72,1.41414999961853,car,truck,pow,0072_pow_s04_pow_truck_35_n04467665_3876.png
subject-04,1,73,1.1860978603363,elephant,elephant,0,0073_pow_s04_0_elephant_35_n02504458_7777.png
subject-04,1,74,1.0681791305542,truck,truck,0,0074_pow_s04_0_truck_35_n03417042_9023.png
subject-04,1,75,1.05162405967712,airplane,airplane,0,0075_pow_s04_0_airplane_35_n02690373_19104.png
subject-04,1,76,1.06728792190552,elephant,elephant,pow,0076_pow_s04_pow_elephant_35_n02504013_1702.png
subject-04,1,77,1.2075879573822,cat,cat,pow,0077_pow_s04_pow_cat_35_n02125311_12361.png
subject-04,1,78,0.93317699432373,bicycle,bicycle,pow,0078_pow_s04_pow_bicycle_35_n02835271_324.png
subject-04,1,79,1.28896713256836,elephant,elephant,0,0079_pow_s04_0_elephant_35_n02504013_9618.png
subject-04,1,80,0.770573854446411,clock,clock,pow,0080_pow_s04_pow_clock_35_n02708093_2710.png
subject-04,1,81,0.95974588394165,truck,truck,pow,0081_pow_s04_pow_truck_35_n03417042_1182.png
subject-04,1,82,0.691519975662231,clock,clock,0,0082_pow_s04_0_clock_35_n02708093_41.png
subject-04,1,83,0.739403963088989,car,car,0,0083_pow_s04_0_car_35_n04285008_5897.png
subject-04,1,84,0.661228895187378,bottle,bottle,pow,0084_pow_s04_pow_bottle_35_n02823428_6327.png
subject-04,1,85,0.86711311340332,truck,truck,0,0085_pow_s04_0_truck_35_n04467665_68137.png
subject-04,1,86,0.686648845672607,chair,chair,0,0086_pow_s04_0_chair_35_n03376595_6240.png
subject-04,1,87,1.04472613334656,truck,truck,0,0087_pow_s04_0_truck_35_n04467665_58815.png
subject-04,1,88,0.760468006134033,elephant,elephant,0,0088_pow_s04_0_elephant_35_n02504458_4721.png
subject-04,1,89,0.78635311126709,bottle,bottle,pow,0089_pow_s04_pow_bottle_35_n04591713_1407.png
subject-04,1,90,0.670180082321167,chair,chair,pow,0090_pow_s04_pow_chair_35_n04099969_24378.png
subject-04,1,91,0.893824100494385,chair,chair,0,0091_pow_s04_0_chair_35_n04099969_17428.png
subject-04,1,92,0.731578826904297,knife,knife,0,0092_pow_s04_0_knife_35_n03041632_3504.png
subject-04,1,93,0.885470867156982,bicycle,bicycle,pow,0093_pow_s04_pow_bicycle_35_n02835271_1701.png
subject-04,1,94,0.67750096321106,car,car,0,0094_pow_s04_0_car_35_n03100240_18756.png
subject-04,1,95,0.665188074111938,keyboard,keyboard,0,0095_pow_s04_0_keyboard_35_n04505470_5131.png
subject-04,1,96,1.1428370475769,elephant,elephant,0,0096_pow_s04_0_elephant_35_n02504013_891.png
subject-04,1,97,0.860629081726074,oven,oven,0,0097_pow_s04_0_oven_35_n04111531_4.png
subject-04,1,98,1.45462489128113,oven,oven,0,0098_pow_s04_0_oven_35_n04111531_6120.png
subject-04,1,99,0.624765872955322,cat,cat,pow,0099_pow_s04_pow_cat_35_n02124075_9723.png
subject-04,1,100,0.818113088607788,boat,boat,pow,0100_pow_s04_pow_boat_35_n03344393_6260.png
subject-04,1,101,1.47786688804626,airplane,airplane,pow,0101_pow_s04_pow_airplane_35_n02690373_4402.png
subject-04,1,102,1.28219604492188,knife,knife,0,0102_pow_s04_0_knife_35_n03041632_29427.png
subject-04,1,103,0.83995795249939,car,car,0,0103_pow_s04_0_car_35_n04285008_1313.png
subject-04,1,104,0.811331987380981,clock,clock,0,0104_pow_s04_0_clock_35_n04548280_183.png
subject-04,1,105,1.25317907333374,dog,dog,pow,0105_pow_s04_pow_dog_35_n02088632_1732.png
