subj,session,trial,rt,object_response,category,condition,imagename
swag_vit_b16_in1k,1,1,NaN,clock,clock,0,0001_pow_dnn_0_clock_35_n03196217_10246.png
swag_vit_b16_in1k,1,2,NaN,dog,dog,pow,0002_pow_dnn_pow_dog_35_n02091467_7264.png
swag_vit_b16_in1k,1,3,NaN,chair,chair,pow,0003_pow_dnn_pow_chair_35_n02791124_713.png
swag_vit_b16_in1k,1,4,NaN,car,car,0,0004_pow_dnn_0_car_35_n02814533_35174.png
swag_vit_b16_in1k,1,5,NaN,knife,knife,pow,0005_pow_dnn_pow_knife_35_n03041632_46103.png
swag_vit_b16_in1k,1,6,NaN,bicycle,bicycle,0,0006_pow_dnn_0_bicycle_35_n03792782_11306.png
swag_vit_b16_in1k,1,7,NaN,bird,bird,0,0007_pow_dnn_0_bird_35_n02002556_3463.png
swag_vit_b16_in1k,1,8,NaN,chair,keyboard,pow,0008_pow_dnn_pow_keyboard_35_n03085013_22813.png
swag_vit_b16_in1k,1,9,NaN,bird,bird,0,0009_pow_dnn_0_bird_35_n02025239_2961.png
swag_vit_b16_in1k,1,10,NaN,boat,boat,pow,0010_pow_dnn_pow_boat_35_n02951358_14504.png
swag_vit_b16_in1k,1,11,NaN,oven,oven,0,0011_pow_dnn_0_oven_35_n04111531_19000.png
swag_vit_b16_in1k,1,12,NaN,bird,bird,0,0012_pow_dnn_0_bird_35_n01614925_11281.png
swag_vit_b16_in1k,1,13,NaN,knife,knife,0,0013_pow_dnn_0_knife_35_n03041632_52040.png
swag_vit_b16_in1k,1,14,NaN,car,car,pow,0014_pow_dnn_pow_car_35_n03100240_14206.png
swag_vit_b16_in1k,1,15,NaN,bird,bird,0,0015_pow_dnn_0_bird_35_n01817953_689.png
swag_vit_b16_in1k,1,16,NaN,chair,chair,pow,0016_pow_dnn_pow_chair_35_n04099969_7934.png
swag_vit_b16_in1k,1,17,NaN,knife,knife,0,0017_pow_dnn_0_knife_35_n03041632_30196.png
swag_vit_b16_in1k,1,18,NaN,car,car,0,0018_pow_dnn_0_car_35_n02814533_18077.png
swag_vit_b16_in1k,1,19,NaN,cat,cat,0,0019_pow_dnn_0_cat_35_n02123159_6927.png
swag_vit_b16_in1k,1,20,NaN,bird,bird,pow,0020_pow_dnn_pow_bird_35_n01855672_8550.png
swag_vit_b16_in1k,1,21,NaN,truck,truck,0,0021_pow_dnn_0_truck_35_n03417042_17888.png
swag_vit_b16_in1k,1,22,NaN,truck,truck,pow,0022_pow_dnn_pow_truck_35_n04467665_45611.png
swag_vit_b16_in1k,1,23,NaN,dog,dog,pow,0023_pow_dnn_pow_dog_35_n02093256_1772.png
swag_vit_b16_in1k,1,24,NaN,boat,boat,pow,0024_pow_dnn_pow_boat_35_n03344393_6260.png
swag_vit_b16_in1k,1,25,NaN,chair,chair,0,0025_pow_dnn_0_chair_35_n04429376_24073.png
swag_vit_b16_in1k,1,26,NaN,knife,knife,0,0026_pow_dnn_0_knife_35_n03041632_29355.png
swag_vit_b16_in1k,1,27,NaN,clock,clock,0,0027_pow_dnn_0_clock_35_n03196217_5907.png
swag_vit_b16_in1k,1,28,NaN,airplane,airplane,0,0028_pow_dnn_0_airplane_35_n02690373_7276.png
swag_vit_b16_in1k,1,29,NaN,bicycle,bicycle,pow,0029_pow_dnn_pow_bicycle_35_n03792782_15561.png
swag_vit_b16_in1k,1,30,NaN,cat,cat,0,0030_pow_dnn_0_cat_35_n02123045_3505.png
swag_vit_b16_in1k,1,31,NaN,knife,knife,0,0031_pow_dnn_0_knife_35_n03041632_34769.png
swag_vit_b16_in1k,1,32,NaN,chair,clock,pow,0032_pow_dnn_pow_clock_35_n03196217_5206.png
swag_vit_b16_in1k,1,33,NaN,truck,truck,0,0033_pow_dnn_0_truck_35_n04467665_58815.png
swag_vit_b16_in1k,1,34,NaN,bird,bird,0,0034_pow_dnn_0_bird_35_n01616318_2186.png
swag_vit_b16_in1k,1,35,NaN,bicycle,bicycle,pow,0035_pow_dnn_pow_bicycle_35_n03792782_12885.png
swag_vit_b16_in1k,1,36,NaN,airplane,airplane,pow,0036_pow_dnn_pow_airplane_35_n02690373_9264.png
