subj,session,trial,rt,object_response,category,condition,imagename
bagnet33,1,1,NaN,bicycle,chair,0,0001_rot_dnn_0_chair_20_n03376595_3070.png
bagnet33,1,2,NaN,car,car,180,0002_rot_dnn_180_car_20_n02814533_29367.png
bagnet33,1,3,NaN,chair,car,270,0003_rot_dnn_270_car_20_n02814533_31083.png
bagnet33,1,4,NaN,airplane,car,180,0004_rot_dnn_180_car_20_n03100240_1703.png
bagnet33,1,5,NaN,bottle,bottle,180,0005_rot_dnn_180_bottle_20_n04591713_2359.png
bagnet33,1,6,NaN,bottle,dog,90,0006_rot_dnn_90_dog_20_n02111500_8796.png
bagnet33,1,7,NaN,bear,bear,180,0007_rot_dnn_180_bear_20_n02132136_4512.png
bagnet33,1,8,NaN,chair,chair,90,0008_rot_dnn_90_chair_20_n03376595_4820.png
bagnet33,1,9,NaN,bottle,bottle,270,0009_rot_dnn_270_bottle_20_n04591713_6111.png
bagnet33,1,10,NaN,clock,bottle,270,0010_rot_dnn_270_bottle_20_n04560804_14111.png
bagnet33,1,11,NaN,dog,dog,0,0011_rot_dnn_0_dog_20_n02099601_8656.png
bagnet33,1,12,NaN,cat,cat,0,0012_rot_dnn_0_cat_20_n02125311_14054.png
bagnet33,1,13,NaN,bear,bear,0,0013_rot_dnn_0_bear_20_n02132136_10385.png
bagnet33,1,14,NaN,knife,bottle,90,0014_rot_dnn_90_bottle_20_n02823428_10417.png
bagnet33,1,15,NaN,chair,keyboard,0,0015_rot_dnn_0_keyboard_20_n03085013_23566.png
bagnet33,1,16,NaN,chair,truck,90,0016_rot_dnn_90_truck_20_n03417042_12560.png
bagnet33,1,17,NaN,airplane,truck,180,0017_rot_dnn_180_truck_20_n04467665_69063.png
bagnet33,1,18,NaN,elephant,oven,180,0018_rot_dnn_180_oven_20_n04111531_9712.png
bagnet33,1,19,NaN,oven,oven,180,0019_rot_dnn_180_oven_20_n04111531_10375.png
bagnet33,1,20,NaN,keyboard,keyboard,0,0020_rot_dnn_0_keyboard_20_n04505470_1744.png
bagnet33,1,21,NaN,clock,boat,90,0021_rot_dnn_90_boat_20_n04273569_7296.png
bagnet33,1,22,NaN,dog,dog,0,0022_rot_dnn_0_dog_20_n02101006_4807.png
bagnet33,1,23,NaN,clock,clock,90,0023_rot_dnn_90_clock_20_n02708093_1986.png
bagnet33,1,24,NaN,bottle,bottle,0,0024_rot_dnn_0_bottle_20_n04560804_15562.png
bagnet33,1,25,NaN,cat,cat,0,0025_rot_dnn_0_cat_20_n02124075_13594.png
bagnet33,1,26,NaN,bear,bear,90,0026_rot_dnn_90_bear_20_n02134418_4365.png
bagnet33,1,27,NaN,elephant,bear,180,0027_rot_dnn_180_bear_20_n02132136_8650.png
bagnet33,1,28,NaN,bird,bird,90,0028_rot_dnn_90_bird_20_n02009912_12219.png
bagnet33,1,29,NaN,bear,dog,90,0029_rot_dnn_90_dog_20_n02100236_1662.png
bagnet33,1,30,NaN,clock,clock,90,0030_rot_dnn_90_clock_20_n04548280_1947.png
bagnet33,1,31,NaN,dog,dog,270,0031_rot_dnn_270_dog_20_n02109047_66167.png
bagnet33,1,32,NaN,oven,oven,90,0032_rot_dnn_90_oven_20_n04111531_21055.png
bagnet33,1,33,NaN,clock,clock,0,0033_rot_dnn_0_clock_20_n02708093_2012.png
