subj,Session,trial,rt,object_response,category,condition,imagename
subject-04,1,1,0.66027307510376,bicycle,bicycle,180,0001_rot_s04_180_bicycle_20_n03792782_1173.png
subject-04,1,2,0.575873136520386,bicycle,bicycle,0,0002_rot_s04_0_bicycle_20_n03792782_30530.png
subject-04,1,3,0.665626049041748,bicycle,bicycle,90,0003_rot_s04_90_bicycle_20_n03792782_1475.png
subject-04,1,4,0.725311994552612,elephant,bear,90,0004_rot_s04_90_bear_20_n02134418_1026.png
subject-04,1,5,0.619254112243652,knife,knife,270,0005_rot_s04_270_knife_20_n03041632_14916.png
subject-04,1,6,0.729006052017212,knife,knife,0,0006_rot_s04_0_knife_20_n03041632_9488.png
subject-04,1,7,0.617108821868896,oven,oven,0,0007_rot_s04_0_oven_20_n04111531_6204.png
subject-04,1,8,0.816677093505859,chair,chair,180,0008_rot_s04_180_chair_20_n04099969_22118.png
subject-04,1,9,0.610589981079102,boat,boat,180,0009_rot_s04_180_boat_20_n02951358_3819.png
subject-04,1,10,0.626327037811279,airplane,airplane,0,0010_rot_s04_0_airplane_20_n02690373_2232.png
subject-04,1,11,0.608438968658447,boat,boat,180,0011_rot_s04_180_boat_20_n04612504_14176.png
subject-04,1,12,0.977993011474609,truck,truck,0,0012_rot_s04_0_truck_20_n04467665_49132.png
subject-04,1,13,0.743705034255981,truck,truck,270,0013_rot_s04_270_truck_20_n03417042_18745.png
subject-04,1,14,0.675963163375854,chair,chair,270,0014_rot_s04_270_chair_20_n03376595_209.png
subject-04,1,15,0.791502952575684,bear,bear,90,0015_rot_s04_90_bear_20_n02134418_10879.png
subject-04,1,16,0.736955881118774,bird,bird,0,0016_rot_s04_0_bird_20_n02006656_5757.png
subject-04,1,17,0.98934006690979,knife,knife,90,0017_rot_s04_90_knife_20_n03041632_17859.png
subject-04,1,18,1.27472186088562,bear,bear,0,0018_rot_s04_0_bear_20_n02134084_3934.png
subject-04,1,19,0.886623859405518,cat,bird,180,0019_rot_s04_180_bird_20_n01532829_37796.png
subject-04,1,20,1.05434894561768,bear,bear,0,0020_rot_s04_0_bear_20_n02132136_1386.png
subject-04,1,21,0.744220018386841,cat,cat,90,0021_rot_s04_90_cat_20_n02124075_20.png
subject-04,1,22,0.540237903594971,bicycle,bicycle,270,0022_rot_s04_270_bicycle_20_n03792782_28970.png
subject-04,1,23,0.825841903686523,boat,elephant,180,0023_rot_s04_180_elephant_20_n02504458_6805.png
subject-04,1,24,1.047611951828,bottle,bottle,180,0024_rot_s04_180_bottle_20_n02823428_4530.png
subject-04,1,25,0.633531093597412,bird,bird,270,0025_rot_s04_270_bird_20_n02028035_20411.png
subject-04,1,26,0.981224060058594,elephant,elephant,0,0026_rot_s04_0_elephant_20_n02504458_8621.png
subject-04,1,27,0.475009918212891,clock,clock,90,0027_rot_s04_90_clock_20_n04548280_3531.png
subject-04,1,28,0.77315092086792,keyboard,keyboard,90,0028_rot_s04_90_keyboard_20_n04505470_4047.png
subject-04,1,29,0.77277684211731,bicycle,bird,180,0029_rot_s04_180_bird_20_n01855672_15421.png
subject-04,1,30,0.522615909576416,clock,clock,0,0030_rot_s04_0_clock_20_n03196217_11724.png
subject-04,1,31,0.75845193862915,airplane,airplane,270,0031_rot_s04_270_airplane_20_n02690373_6621.png
subject-04,1,32,0.90847110748291,bird,oven,180,0032_rot_s04_180_oven_20_n04111531_3611.png
subject-04,1,33,0.753864049911499,elephant,elephant,0,0033_rot_s04_0_elephant_20_n02504458_151.png
subject-04,1,34,1.09782910346985,truck,truck,270,0034_rot_s04_270_truck_20_n03796401_7455.png
subject-04,1,35,1.02163600921631,truck,truck,180,0035_rot_s04_180_truck_20_n04467665_23691.png
subject-04,1,36,0.723439931869507,airplane,airplane,180,0036_rot_s04_180_airplane_20_n02690373_4588.png
subject-04,1,37,0.579553842544556,boat,bear,0,0037_rot_s04_0_bear_20_n02132136_10385.png
subject-04,1,38,0.741158008575439,oven,chair,180,0038_rot_s04_180_chair_20_n02791124_3923.png
subject-04,1,39,0.906910181045532,cat,cat,0,0039_rot_s04_0_cat_20_n02123597_13286.png
subject-04,1,40,0.774633884429932,bicycle,chair,180,0040_rot_s04_180_chair_20_n02791124_2938.png
subject-04,1,41,0.454864025115967,clock,clock,270,0041_rot_s04_270_clock_20_n03196217_1829.png
subject-04,1,42,0.578380107879639,airplane,airplane,180,0042_rot_s04_180_airplane_20_n02690373_2128.png
subject-04,1,43,1.50008702278137,keyboard,keyboard,180,0043_rot_s04_180_keyboard_20_n03085013_7009.png
subject-04,1,44,0.785799026489258,knife,knife,270,0044_rot_s04_270_knife_20_n03041632_17820.png
subject-04,1,45,0.805745124816895,car,car,0,0045_rot_s04_0_car_20_n03100240_16084.png
subject-04,1,46,0.945589065551758,knife,knife,270,0046_rot_s04_270_knife_20_n03041632_7173.png
subject-04,1,47,0.63535213470459,clock,clock,270,0047_rot_s04_270_clock_20_n02708093_1981.png
subject-04,1,48,0.726992845535278,bottle,bottle,90,0048_rot_s04_90_bottle_20_n02823428_10417.png
subject-04,1,49,0.806869983673096,chair,chair,180,0049_rot_s04_180_chair_20_n02791124_1287.png
subject-04,1,50,1.07483792304993,airplane,airplane,90,0050_rot_s04_90_airplane_20_n02690373_1909.png
subject-04,1,51,1.00467014312744,knife,knife,90,0051_rot_s04_90_knife_20_n03041632_31301.png
subject-04,1,52,0.636461019515991,elephant,elephant,90,0052_rot_s04_90_elephant_20_n02504458_3608.png
subject-04,1,53,1.18016695976257,keyboard,keyboard,90,0053_rot_s04_90_keyboard_20_n04505470_4159.png
subject-04,1,54,0.71790599822998,elephant,elephant,0,0054_rot_s04_0_elephant_20_n02504458_7867.png
subject-04,1,55,0.737875938415527,car,car,180,0055_rot_s04_180_car_20_n02814533_55715.png
subject-04,1,56,0.96582293510437,cat,cat,180,0056_rot_s04_180_cat_20_n02125311_43726.png
subject-04,1,57,0.691731929779053,clock,clock,270,0057_rot_s04_270_clock_20_n03196217_6198.png
subject-04,1,58,1.0717499256134,knife,elephant,180,0058_rot_s04_180_elephant_20_n02504013_13283.png
subject-04,1,59,1.04898500442505,cat,cat,270,0059_rot_s04_270_cat_20_n02123045_8409.png
subject-04,1,60,0.752916097640991,bottle,bottle,180,0060_rot_s04_180_bottle_20_n04560804_15941.png
subject-04,1,61,1.50012493133545,bear,bear,0,0061_rot_s04_0_bear_20_n02134418_517.png
subject-04,1,62,0.928601980209351,cat,cat,90,0062_rot_s04_90_cat_20_n02125311_73072.png
subject-04,1,63,0.592362880706787,boat,boat,270,0063_rot_s04_270_boat_20_n02951358_4937.png
subject-04,1,64,0.628220081329346,keyboard,keyboard,180,0064_rot_s04_180_keyboard_20_n03085013_22698.png
subject-04,1,65,0.668010950088501,bicycle,bicycle,180,0065_rot_s04_180_bicycle_20_n02835271_24630.png
subject-04,1,66,1.47373676300049,dog,elephant,270,0066_rot_s04_270_elephant_20_n02504013_1761.png
