subj,session,trial,rt,object_response,category,condition,imagename
swag_regnety_128gf_in1k,1,1,NaN,chair,chair,0,0001_rot_dnn_0_chair_20_n03376595_3070.png
swag_regnety_128gf_in1k,1,2,NaN,car,car,180,0002_rot_dnn_180_car_20_n02814533_29367.png
swag_regnety_128gf_in1k,1,3,NaN,car,car,270,0003_rot_dnn_270_car_20_n02814533_31083.png
swag_regnety_128gf_in1k,1,4,NaN,truck,car,180,0004_rot_dnn_180_car_20_n03100240_1703.png
swag_regnety_128gf_in1k,1,5,NaN,bottle,bottle,180,0005_rot_dnn_180_bottle_20_n04591713_2359.png
swag_regnety_128gf_in1k,1,6,NaN,dog,dog,90,0006_rot_dnn_90_dog_20_n02111500_8796.png
swag_regnety_128gf_in1k,1,7,NaN,bear,bear,180,0007_rot_dnn_180_bear_20_n02132136_4512.png
swag_regnety_128gf_in1k,1,8,NaN,chair,chair,90,0008_rot_dnn_90_chair_20_n03376595_4820.png
swag_regnety_128gf_in1k,1,9,NaN,bottle,bottle,270,0009_rot_dnn_270_bottle_20_n04591713_6111.png
swag_regnety_128gf_in1k,1,10,NaN,bottle,bottle,270,0010_rot_dnn_270_bottle_20_n04560804_14111.png
swag_regnety_128gf_in1k,1,11,NaN,dog,dog,0,0011_rot_dnn_0_dog_20_n02099601_8656.png
swag_regnety_128gf_in1k,1,12,NaN,cat,cat,0,0012_rot_dnn_0_cat_20_n02125311_14054.png
swag_regnety_128gf_in1k,1,13,NaN,bear,bear,0,0013_rot_dnn_0_bear_20_n02132136_10385.png
swag_regnety_128gf_in1k,1,14,NaN,bottle,bottle,90,0014_rot_dnn_90_bottle_20_n02823428_10417.png
swag_regnety_128gf_in1k,1,15,NaN,keyboard,keyboard,0,0015_rot_dnn_0_keyboard_20_n03085013_23566.png
swag_regnety_128gf_in1k,1,16,NaN,truck,truck,90,0016_rot_dnn_90_truck_20_n03417042_12560.png
swag_regnety_128gf_in1k,1,17,NaN,truck,truck,180,0017_rot_dnn_180_truck_20_n04467665_69063.png
swag_regnety_128gf_in1k,1,18,NaN,oven,oven,180,0018_rot_dnn_180_oven_20_n04111531_9712.png
swag_regnety_128gf_in1k,1,19,NaN,oven,oven,180,0019_rot_dnn_180_oven_20_n04111531_10375.png
swag_regnety_128gf_in1k,1,20,NaN,keyboard,keyboard,0,0020_rot_dnn_0_keyboard_20_n04505470_1744.png
swag_regnety_128gf_in1k,1,21,NaN,boat,boat,90,0021_rot_dnn_90_boat_20_n04273569_7296.png
swag_regnety_128gf_in1k,1,22,NaN,dog,dog,0,0022_rot_dnn_0_dog_20_n02101006_4807.png
swag_regnety_128gf_in1k,1,23,NaN,clock,clock,90,0023_rot_dnn_90_clock_20_n02708093_1986.png
swag_regnety_128gf_in1k,1,24,NaN,bottle,bottle,0,0024_rot_dnn_0_bottle_20_n04560804_15562.png
