subj,session,trial,rt,object_response,category,condition,imagename
bagnet33,1,1,NaN,clock,airplane,NaN,airplane1.png
bagnet33,1,2,NaN,knife,airplane,NaN,airplane10.png
bagnet33,1,3,NaN,clock,airplane,NaN,airplane2.png
bagnet33,1,4,NaN,airplane,airplane,NaN,airplane3.png
bagnet33,1,5,NaN,knife,airplane,NaN,airplane4.png
bagnet33,1,6,NaN,knife,airplane,NaN,airplane5.png
bagnet33,1,7,NaN,knife,airplane,NaN,airplane6.png
bagnet33,1,8,NaN,knife,airplane,NaN,airplane7.png
bagnet33,1,9,NaN,knife,airplane,NaN,airplane8.png
bagnet33,1,10,NaN,chair,airplane,NaN,airplane9.png
bagnet33,1,11,NaN,knife,bear,NaN,bear1.png
bagnet33,1,12,NaN,bird,bear,NaN,bear10.png
bagnet33,1,13,NaN,elephant,bear,NaN,bear2.png
bagnet33,1,14,NaN,knife,bear,NaN,bear3.png
bagnet33,1,15,NaN,elephant,bear,NaN,bear4.png
bagnet33,1,16,NaN,cat,bear,NaN,bear5.png
bagnet33,1,17,NaN,cat,bear,NaN,bear6.png
bagnet33,1,18,NaN,knife,bear,NaN,bear7.png
bagnet33,1,19,NaN,cat,bear,NaN,bear8.png
bagnet33,1,20,NaN,knife,bear,NaN,bear9.png
bagnet33,1,21,NaN,clock,bicycle,NaN,bicycle1.png
bagnet33,1,22,NaN,chair,bicycle,NaN,bicycle10.png
bagnet33,1,23,NaN,clock,bicycle,NaN,bicycle2.png
bagnet33,1,24,NaN,clock,bicycle,NaN,bicycle3.png
bagnet33,1,25,NaN,clock,bicycle,NaN,bicycle4.png
bagnet33,1,26,NaN,clock,bicycle,NaN,bicycle5.png
bagnet33,1,27,NaN,clock,bicycle,NaN,bicycle6.png
bagnet33,1,28,NaN,bicycle,bicycle,NaN,bicycle7.png
bagnet33,1,29,NaN,bicycle,bicycle,NaN,bicycle8.png
bagnet33,1,30,NaN,clock,bicycle,NaN,bicycle9.png
bagnet33,1,31,NaN,knife,bird,NaN,bird1.png
bagnet33,1,32,NaN,bird,bird,NaN,bird10.png
bagnet33,1,33,NaN,knife,bird,NaN,bird2.png
bagnet33,1,34,NaN,chair,bird,NaN,bird3.png
bagnet33,1,35,NaN,clock,bird,NaN,bird4.png
bagnet33,1,36,NaN,chair,bird,NaN,bird5.png
bagnet33,1,37,NaN,knife,bird,NaN,bird6.png
bagnet33,1,38,NaN,clock,bird,NaN,bird7.png
bagnet33,1,39,NaN,clock,bird,NaN,bird8.png
bagnet33,1,40,NaN,chair,bird,NaN,bird9.png
bagnet33,1,41,NaN,knife,boat,NaN,boat1.png
bagnet33,1,42,NaN,knife,boat,NaN,boat10.png
bagnet33,1,43,NaN,knife,boat,NaN,boat2.png
bagnet33,1,44,NaN,clock,boat,NaN,boat3.png
bagnet33,1,45,NaN,clock,boat,NaN,boat4.png
bagnet33,1,46,NaN,clock,boat,NaN,boat5.png
bagnet33,1,47,NaN,knife,boat,NaN,boat6.png
bagnet33,1,48,NaN,knife,boat,NaN,boat7.png
bagnet33,1,49,NaN,knife,boat,NaN,boat8.png
bagnet33,1,50,NaN,clock,boat,NaN,boat9.png
bagnet33,1,51,NaN,knife,bottle,NaN,bottle1.png
bagnet33,1,52,NaN,knife,bottle,NaN,bottle10.png
bagnet33,1,53,NaN,knife,bottle,NaN,bottle2.png
bagnet33,1,54,NaN,knife,bottle,NaN,bottle3.png
bagnet33,1,55,NaN,knife,bottle,NaN,bottle4.png
bagnet33,1,56,NaN,chair,bottle,NaN,bottle5.png
bagnet33,1,57,NaN,chair,bottle,NaN,bottle6.png
bagnet33,1,58,NaN,knife,bottle,NaN,bottle7.png
bagnet33,1,59,NaN,knife,bottle,NaN,bottle8.png
bagnet33,1,60,NaN,knife,bottle,NaN,bottle9.png
bagnet33,1,61,NaN,knife,car,NaN,car1.png
bagnet33,1,62,NaN,knife,car,NaN,car10.png
bagnet33,1,63,NaN,knife,car,NaN,car2.png
bagnet33,1,64,NaN,knife,car,NaN,car3.png
bagnet33,1,65,NaN,knife,car,NaN,car4.png
bagnet33,1,66,NaN,chair,car,NaN,car5.png
bagnet33,1,67,NaN,knife,car,NaN,car6.png
bagnet33,1,68,NaN,clock,car,NaN,car7.png
bagnet33,1,69,NaN,clock,car,NaN,car8.png
bagnet33,1,70,NaN,knife,car,NaN,car9.png
bagnet33,1,71,NaN,cat,cat,NaN,cat1.png
bagnet33,1,72,NaN,bird,cat,NaN,cat10.png
bagnet33,1,73,NaN,bird,cat,NaN,cat2.png
bagnet33,1,74,NaN,knife,cat,NaN,cat3.png
bagnet33,1,75,NaN,cat,cat,NaN,cat4.png
bagnet33,1,76,NaN,bear,cat,NaN,cat5.png
bagnet33,1,77,NaN,knife,cat,NaN,cat6.png
bagnet33,1,78,NaN,cat,cat,NaN,cat7.png
bagnet33,1,79,NaN,cat,cat,NaN,cat8.png
bagnet33,1,80,NaN,elephant,cat,NaN,cat9.png
bagnet33,1,81,NaN,knife,chair,NaN,chair1.png
bagnet33,1,82,NaN,chair,chair,NaN,chair10.png
bagnet33,1,83,NaN,chair,chair,NaN,chair2.png
bagnet33,1,84,NaN,knife,chair,NaN,chair3.png
bagnet33,1,85,NaN,chair,chair,NaN,chair4.png
bagnet33,1,86,NaN,chair,chair,NaN,chair5.png
bagnet33,1,87,NaN,chair,chair,NaN,chair6.png
bagnet33,1,88,NaN,knife,chair,NaN,chair7.png
bagnet33,1,89,NaN,chair,chair,NaN,chair8.png
bagnet33,1,90,NaN,chair,chair,NaN,chair9.png
bagnet33,1,91,NaN,knife,clock,NaN,clock1.png
bagnet33,1,92,NaN,chair,clock,NaN,clock10.png
bagnet33,1,93,NaN,clock,clock,NaN,clock2.png
bagnet33,1,94,NaN,clock,clock,NaN,clock3.png
bagnet33,1,95,NaN,knife,clock,NaN,clock4.png
bagnet33,1,96,NaN,clock,clock,NaN,clock5.png
bagnet33,1,97,NaN,clock,clock,NaN,clock6.png
bagnet33,1,98,NaN,clock,clock,NaN,clock7.png
bagnet33,1,99,NaN,clock,clock,NaN,clock8.png
bagnet33,1,100,NaN,clock,clock,NaN,clock9.png
bagnet33,1,101,NaN,cat,dog,NaN,dog1.png
bagnet33,1,102,NaN,knife,dog,NaN,dog10.png
bagnet33,1,103,NaN,knife,dog,NaN,dog2.png
bagnet33,1,104,NaN,elephant,dog,NaN,dog3.png
bagnet33,1,105,NaN,knife,dog,NaN,dog4.png
bagnet33,1,106,NaN,chair,dog,NaN,dog5.png
bagnet33,1,107,NaN,knife,dog,NaN,dog6.png
bagnet33,1,108,NaN,elephant,dog,NaN,dog7.png
bagnet33,1,109,NaN,chair,dog,NaN,dog8.png
bagnet33,1,110,NaN,knife,dog,NaN,dog9.png
bagnet33,1,111,NaN,knife,elephant,NaN,elephant1.png
bagnet33,1,112,NaN,knife,elephant,NaN,elephant10.png
bagnet33,1,113,NaN,knife,elephant,NaN,elephant2.png
bagnet33,1,114,NaN,knife,elephant,NaN,elephant3.png
bagnet33,1,115,NaN,knife,elephant,NaN,elephant4.png
bagnet33,1,116,NaN,knife,elephant,NaN,elephant5.png
bagnet33,1,117,NaN,knife,elephant,NaN,elephant6.png
bagnet33,1,118,NaN,knife,elephant,NaN,elephant7.png
bagnet33,1,119,NaN,elephant,elephant,NaN,elephant8.png
bagnet33,1,120,NaN,knife,elephant,NaN,elephant9.png
bagnet33,1,121,NaN,knife,keyboard,NaN,keyboard1.png
bagnet33,1,122,NaN,knife,keyboard,NaN,keyboard10.png
bagnet33,1,123,NaN,knife,keyboard,NaN,keyboard2.png
bagnet33,1,124,NaN,knife,keyboard,NaN,keyboard3.png
bagnet33,1,125,NaN,knife,keyboard,NaN,keyboard4.png
bagnet33,1,126,NaN,knife,keyboard,NaN,keyboard5.png
bagnet33,1,127,NaN,knife,keyboard,NaN,keyboard6.png
bagnet33,1,128,NaN,knife,keyboard,NaN,keyboard7.png
bagnet33,1,129,NaN,clock,keyboard,NaN,keyboard8.png
bagnet33,1,130,NaN,clock,keyboard,NaN,keyboard9.png
bagnet33,1,131,NaN,knife,knife,NaN,knife1.png
bagnet33,1,132,NaN,knife,knife,NaN,knife10.png
bagnet33,1,133,NaN,knife,knife,NaN,knife2.png
bagnet33,1,134,NaN,knife,knife,NaN,knife3.png
bagnet33,1,135,NaN,knife,knife,NaN,knife4.png
bagnet33,1,136,NaN,knife,knife,NaN,knife5.png
bagnet33,1,137,NaN,knife,knife,NaN,knife6.png
bagnet33,1,138,NaN,knife,knife,NaN,knife7.png
bagnet33,1,139,NaN,knife,knife,NaN,knife8.png
bagnet33,1,140,NaN,knife,knife,NaN,knife9.png
bagnet33,1,141,NaN,clock,oven,NaN,oven1.png
bagnet33,1,142,NaN,knife,oven,NaN,oven10.png
bagnet33,1,143,NaN,clock,oven,NaN,oven2.png
bagnet33,1,144,NaN,clock,oven,NaN,oven3.png
bagnet33,1,145,NaN,knife,oven,NaN,oven4.png
bagnet33,1,146,NaN,clock,oven,NaN,oven5.png
bagnet33,1,147,NaN,knife,oven,NaN,oven6.png
bagnet33,1,148,NaN,knife,oven,NaN,oven7.png
bagnet33,1,149,NaN,knife,oven,NaN,oven8.png
bagnet33,1,150,NaN,chair,oven,NaN,oven9.png
bagnet33,1,151,NaN,knife,truck,NaN,truck1.png
bagnet33,1,152,NaN,knife,truck,NaN,truck10.png
bagnet33,1,153,NaN,knife,truck,NaN,truck2.png
bagnet33,1,154,NaN,clock,truck,NaN,truck3.png
bagnet33,1,155,NaN,clock,truck,NaN,truck4.png
bagnet33,1,156,NaN,clock,truck,NaN,truck5.png
bagnet33,1,157,NaN,knife,truck,NaN,truck6.png
bagnet33,1,158,NaN,knife,truck,NaN,truck7.png
bagnet33,1,159,NaN,knife,truck,NaN,truck8.png
bagnet33,1,160,NaN,clock,truck,NaN,truck9.png
