subj,session,trial,rt,object_response,category,condition,imagename
resnet50,1,1,NaN,airplane,airplane,NaN,airplane1.png
resnet50,1,2,NaN,airplane,airplane,NaN,airplane10.png
resnet50,1,3,NaN,airplane,airplane,NaN,airplane2.png
resnet50,1,4,NaN,airplane,airplane,NaN,airplane3.png
resnet50,1,5,NaN,airplane,airplane,NaN,airplane4.png
resnet50,1,6,NaN,airplane,airplane,NaN,airplane5.png
resnet50,1,7,NaN,airplane,airplane,NaN,airplane6.png
resnet50,1,8,NaN,airplane,airplane,NaN,airplane7.png
resnet50,1,9,NaN,chair,airplane,NaN,airplane8.png
resnet50,1,10,NaN,airplane,airplane,NaN,airplane9.png
resnet50,1,11,NaN,bear,bear,NaN,bear1.png
resnet50,1,12,NaN,bear,bear,NaN,bear10.png
resnet50,1,13,NaN,bear,bear,NaN,bear2.png
resnet50,1,14,NaN,knife,bear,NaN,bear3.png
resnet50,1,15,NaN,bear,bear,NaN,bear4.png
resnet50,1,16,NaN,bear,bear,NaN,bear5.png
resnet50,1,17,NaN,bird,bear,NaN,bear6.png
resnet50,1,18,NaN,knife,bear,NaN,bear7.png
resnet50,1,19,NaN,bear,bear,NaN,bear8.png
resnet50,1,20,NaN,cat,bear,NaN,bear9.png
resnet50,1,21,NaN,bicycle,bicycle,NaN,bicycle1.png
resnet50,1,22,NaN,bicycle,bicycle,NaN,bicycle10.png
resnet50,1,23,NaN,bicycle,bicycle,NaN,bicycle2.png
resnet50,1,24,NaN,bicycle,bicycle,NaN,bicycle3.png
resnet50,1,25,NaN,bicycle,bicycle,NaN,bicycle4.png
resnet50,1,26,NaN,bicycle,bicycle,NaN,bicycle5.png
resnet50,1,27,NaN,bicycle,bicycle,NaN,bicycle6.png
resnet50,1,28,NaN,bicycle,bicycle,NaN,bicycle7.png
resnet50,1,29,NaN,bicycle,bicycle,NaN,bicycle8.png
resnet50,1,30,NaN,bicycle,bicycle,NaN,bicycle9.png
resnet50,1,31,NaN,bird,bird,NaN,bird1.png
resnet50,1,32,NaN,bird,bird,NaN,bird10.png
resnet50,1,33,NaN,cat,bird,NaN,bird2.png
resnet50,1,34,NaN,knife,bird,NaN,bird3.png
resnet50,1,35,NaN,cat,bird,NaN,bird4.png
resnet50,1,36,NaN,bird,bird,NaN,bird5.png
resnet50,1,37,NaN,cat,bird,NaN,bird6.png
resnet50,1,38,NaN,bird,bird,NaN,bird7.png
resnet50,1,39,NaN,cat,bird,NaN,bird8.png
resnet50,1,40,NaN,bird,bird,NaN,bird9.png
resnet50,1,41,NaN,knife,boat,NaN,boat1.png
resnet50,1,42,NaN,knife,boat,NaN,boat10.png
resnet50,1,43,NaN,knife,boat,NaN,boat2.png
resnet50,1,44,NaN,bird,boat,NaN,boat3.png
resnet50,1,45,NaN,knife,boat,NaN,boat4.png
resnet50,1,46,NaN,clock,boat,NaN,boat5.png
resnet50,1,47,NaN,knife,boat,NaN,boat6.png
resnet50,1,48,NaN,knife,boat,NaN,boat7.png
resnet50,1,49,NaN,knife,boat,NaN,boat8.png
resnet50,1,50,NaN,boat,boat,NaN,boat9.png
resnet50,1,51,NaN,bottle,bottle,NaN,bottle1.png
resnet50,1,52,NaN,bottle,bottle,NaN,bottle10.png
resnet50,1,53,NaN,bottle,bottle,NaN,bottle2.png
resnet50,1,54,NaN,bottle,bottle,NaN,bottle3.png
resnet50,1,55,NaN,bottle,bottle,NaN,bottle4.png
resnet50,1,56,NaN,bottle,bottle,NaN,bottle5.png
resnet50,1,57,NaN,bottle,bottle,NaN,bottle6.png
resnet50,1,58,NaN,bottle,bottle,NaN,bottle7.png
resnet50,1,59,NaN,bottle,bottle,NaN,bottle8.png
resnet50,1,60,NaN,bottle,bottle,NaN,bottle9.png
resnet50,1,61,NaN,knife,car,NaN,car1.png
resnet50,1,62,NaN,bottle,car,NaN,car10.png
resnet50,1,63,NaN,cat,car,NaN,car2.png
resnet50,1,64,NaN,knife,car,NaN,car3.png
resnet50,1,65,NaN,oven,car,NaN,car4.png
resnet50,1,66,NaN,knife,car,NaN,car5.png
resnet50,1,67,NaN,knife,car,NaN,car6.png
resnet50,1,68,NaN,bottle,car,NaN,car7.png
resnet50,1,69,NaN,knife,car,NaN,car8.png
resnet50,1,70,NaN,oven,car,NaN,car9.png
resnet50,1,71,NaN,cat,cat,NaN,cat1.png
resnet50,1,72,NaN,bird,cat,NaN,cat10.png
resnet50,1,73,NaN,knife,cat,NaN,cat2.png
resnet50,1,74,NaN,cat,cat,NaN,cat3.png
resnet50,1,75,NaN,cat,cat,NaN,cat4.png
resnet50,1,76,NaN,cat,cat,NaN,cat5.png
resnet50,1,77,NaN,cat,cat,NaN,cat6.png
resnet50,1,78,NaN,cat,cat,NaN,cat7.png
resnet50,1,79,NaN,cat,cat,NaN,cat8.png
resnet50,1,80,NaN,cat,cat,NaN,cat9.png
resnet50,1,81,NaN,chair,chair,NaN,chair1.png
resnet50,1,82,NaN,chair,chair,NaN,chair10.png
resnet50,1,83,NaN,chair,chair,NaN,chair2.png
resnet50,1,84,NaN,chair,chair,NaN,chair3.png
resnet50,1,85,NaN,chair,chair,NaN,chair4.png
resnet50,1,86,NaN,chair,chair,NaN,chair5.png
resnet50,1,87,NaN,chair,chair,NaN,chair6.png
resnet50,1,88,NaN,chair,chair,NaN,chair7.png
resnet50,1,89,NaN,chair,chair,NaN,chair8.png
resnet50,1,90,NaN,chair,chair,NaN,chair9.png
resnet50,1,91,NaN,knife,clock,NaN,clock1.png
resnet50,1,92,NaN,bird,clock,NaN,clock10.png
resnet50,1,93,NaN,clock,clock,NaN,clock2.png
resnet50,1,94,NaN,clock,clock,NaN,clock3.png
resnet50,1,95,NaN,clock,clock,NaN,clock4.png
resnet50,1,96,NaN,clock,clock,NaN,clock5.png
resnet50,1,97,NaN,clock,clock,NaN,clock6.png
resnet50,1,98,NaN,knife,clock,NaN,clock7.png
resnet50,1,99,NaN,clock,clock,NaN,clock8.png
resnet50,1,100,NaN,clock,clock,NaN,clock9.png
resnet50,1,101,NaN,knife,dog,NaN,dog1.png
resnet50,1,102,NaN,knife,dog,NaN,dog10.png
resnet50,1,103,NaN,knife,dog,NaN,dog2.png
resnet50,1,104,NaN,cat,dog,NaN,dog3.png
resnet50,1,105,NaN,dog,dog,NaN,dog4.png
resnet50,1,106,NaN,knife,dog,NaN,dog5.png
resnet50,1,107,NaN,dog,dog,NaN,dog6.png
resnet50,1,108,NaN,knife,dog,NaN,dog7.png
resnet50,1,109,NaN,dog,dog,NaN,dog8.png
resnet50,1,110,NaN,dog,dog,NaN,dog9.png
resnet50,1,111,NaN,elephant,elephant,NaN,elephant1.png
resnet50,1,112,NaN,knife,elephant,NaN,elephant10.png
resnet50,1,113,NaN,elephant,elephant,NaN,elephant2.png
resnet50,1,114,NaN,clock,elephant,NaN,elephant3.png
resnet50,1,115,NaN,elephant,elephant,NaN,elephant4.png
resnet50,1,116,NaN,elephant,elephant,NaN,elephant5.png
resnet50,1,117,NaN,bear,elephant,NaN,elephant6.png
resnet50,1,118,NaN,elephant,elephant,NaN,elephant7.png
resnet50,1,119,NaN,elephant,elephant,NaN,elephant8.png
resnet50,1,120,NaN,elephant,elephant,NaN,elephant9.png
resnet50,1,121,NaN,knife,keyboard,NaN,keyboard1.png
resnet50,1,122,NaN,knife,keyboard,NaN,keyboard10.png
resnet50,1,123,NaN,knife,keyboard,NaN,keyboard2.png
resnet50,1,124,NaN,knife,keyboard,NaN,keyboard3.png
resnet50,1,125,NaN,knife,keyboard,NaN,keyboard4.png
resnet50,1,126,NaN,knife,keyboard,NaN,keyboard5.png
resnet50,1,127,NaN,knife,keyboard,NaN,keyboard6.png
resnet50,1,128,NaN,knife,keyboard,NaN,keyboard7.png
resnet50,1,129,NaN,knife,keyboard,NaN,keyboard8.png
resnet50,1,130,NaN,knife,keyboard,NaN,keyboard9.png
resnet50,1,131,NaN,knife,knife,NaN,knife1.png
resnet50,1,132,NaN,knife,knife,NaN,knife10.png
resnet50,1,133,NaN,knife,knife,NaN,knife2.png
resnet50,1,134,NaN,knife,knife,NaN,knife3.png
resnet50,1,135,NaN,knife,knife,NaN,knife4.png
resnet50,1,136,NaN,knife,knife,NaN,knife5.png
resnet50,1,137,NaN,knife,knife,NaN,knife6.png
resnet50,1,138,NaN,knife,knife,NaN,knife7.png
resnet50,1,139,NaN,knife,knife,NaN,knife8.png
resnet50,1,140,NaN,knife,knife,NaN,knife9.png
resnet50,1,141,NaN,knife,oven,NaN,oven1.png
resnet50,1,142,NaN,knife,oven,NaN,oven10.png
resnet50,1,143,NaN,knife,oven,NaN,oven2.png
resnet50,1,144,NaN,knife,oven,NaN,oven3.png
resnet50,1,145,NaN,knife,oven,NaN,oven4.png
resnet50,1,146,NaN,knife,oven,NaN,oven5.png
resnet50,1,147,NaN,knife,oven,NaN,oven6.png
resnet50,1,148,NaN,knife,oven,NaN,oven7.png
resnet50,1,149,NaN,knife,oven,NaN,oven8.png
resnet50,1,150,NaN,knife,oven,NaN,oven9.png
resnet50,1,151,NaN,knife,truck,NaN,truck1.png
resnet50,1,152,NaN,oven,truck,NaN,truck10.png
resnet50,1,153,NaN,knife,truck,NaN,truck2.png
resnet50,1,154,NaN,knife,truck,NaN,truck3.png
resnet50,1,155,NaN,bird,truck,NaN,truck4.png
resnet50,1,156,NaN,knife,truck,NaN,truck5.png
resnet50,1,157,NaN,oven,truck,NaN,truck6.png
resnet50,1,158,NaN,knife,truck,NaN,truck7.png
resnet50,1,159,NaN,knife,truck,NaN,truck8.png
resnet50,1,160,NaN,knife,truck,NaN,truck9.png
