subj,session,trial,rt,object_response,category,condition,imagename
simclr_resnet50x1,1,1,NaN,airplane,airplane,NaN,airplane1.png
simclr_resnet50x1,1,2,NaN,airplane,airplane,NaN,airplane10.png
simclr_resnet50x1,1,3,NaN,airplane,airplane,NaN,airplane2.png
simclr_resnet50x1,1,4,NaN,airplane,airplane,NaN,airplane3.png
simclr_resnet50x1,1,5,NaN,airplane,airplane,NaN,airplane4.png
simclr_resnet50x1,1,6,NaN,airplane,airplane,NaN,airplane5.png
simclr_resnet50x1,1,7,NaN,airplane,airplane,NaN,airplane6.png
simclr_resnet50x1,1,8,NaN,knife,airplane,NaN,airplane7.png
simclr_resnet50x1,1,9,NaN,knife,airplane,NaN,airplane8.png
simclr_resnet50x1,1,10,NaN,oven,airplane,NaN,airplane9.png
simclr_resnet50x1,1,11,NaN,knife,bear,NaN,bear1.png
simclr_resnet50x1,1,12,NaN,bear,bear,NaN,bear10.png
simclr_resnet50x1,1,13,NaN,bear,bear,NaN,bear2.png
simclr_resnet50x1,1,14,NaN,knife,bear,NaN,bear3.png
simclr_resnet50x1,1,15,NaN,elephant,bear,NaN,bear4.png
simclr_resnet50x1,1,16,NaN,bear,bear,NaN,bear5.png
simclr_resnet50x1,1,17,NaN,bear,bear,NaN,bear6.png
simclr_resnet50x1,1,18,NaN,knife,bear,NaN,bear7.png
simclr_resnet50x1,1,19,NaN,bear,bear,NaN,bear8.png
simclr_resnet50x1,1,20,NaN,cat,bear,NaN,bear9.png
simclr_resnet50x1,1,21,NaN,bicycle,bicycle,NaN,bicycle1.png
simclr_resnet50x1,1,22,NaN,bicycle,bicycle,NaN,bicycle10.png
simclr_resnet50x1,1,23,NaN,bicycle,bicycle,NaN,bicycle2.png
simclr_resnet50x1,1,24,NaN,bicycle,bicycle,NaN,bicycle3.png
simclr_resnet50x1,1,25,NaN,bicycle,bicycle,NaN,bicycle4.png
simclr_resnet50x1,1,26,NaN,bicycle,bicycle,NaN,bicycle5.png
simclr_resnet50x1,1,27,NaN,bicycle,bicycle,NaN,bicycle6.png
simclr_resnet50x1,1,28,NaN,bicycle,bicycle,NaN,bicycle7.png
simclr_resnet50x1,1,29,NaN,bicycle,bicycle,NaN,bicycle8.png
simclr_resnet50x1,1,30,NaN,bicycle,bicycle,NaN,bicycle9.png
simclr_resnet50x1,1,31,NaN,knife,bird,NaN,bird1.png
simclr_resnet50x1,1,32,NaN,knife,bird,NaN,bird10.png
simclr_resnet50x1,1,33,NaN,knife,bird,NaN,bird2.png
simclr_resnet50x1,1,34,NaN,knife,bird,NaN,bird3.png
simclr_resnet50x1,1,35,NaN,bird,bird,NaN,bird4.png
simclr_resnet50x1,1,36,NaN,bird,bird,NaN,bird5.png
simclr_resnet50x1,1,37,NaN,knife,bird,NaN,bird6.png
simclr_resnet50x1,1,38,NaN,airplane,bird,NaN,bird7.png
simclr_resnet50x1,1,39,NaN,bird,bird,NaN,bird8.png
simclr_resnet50x1,1,40,NaN,bird,bird,NaN,bird9.png
simclr_resnet50x1,1,41,NaN,knife,boat,NaN,boat1.png
