subj,session,trial,rt,object_response,category,condition,imagename
swag_vit_l16_in1k,1,1,NaN,airplane,airplane,NaN,airplane1.png
swag_vit_l16_in1k,1,2,NaN,airplane,airplane,NaN,airplane10.png
swag_vit_l16_in1k,1,3,NaN,airplane,airplane,NaN,airplane2.png
swag_vit_l16_in1k,1,4,NaN,airplane,airplane,NaN,airplane3.png
swag_vit_l16_in1k,1,5,NaN,airplane,airplane,NaN,airplane4.png
swag_vit_l16_in1k,1,6,NaN,airplane,airplane,NaN,airplane5.png
swag_vit_l16_in1k,1,7,NaN,airplane,airplane,NaN,airplane6.png
swag_vit_l16_in1k,1,8,NaN,airplane,airplane,NaN,airplane7.png
swag_vit_l16_in1k,1,9,NaN,airplane,airplane,NaN,airplane8.png
swag_vit_l16_in1k,1,10,NaN,airplane,airplane,NaN,airplane9.png
swag_vit_l16_in1k,1,11,NaN,bear,bear,NaN,bear1.png
swag_vit_l16_in1k,1,12,NaN,bear,bear,NaN,bear10.png
swag_vit_l16_in1k,1,13,NaN,bear,bear,NaN,bear2.png
swag_vit_l16_in1k,1,14,NaN,bear,bear,NaN,bear3.png
swag_vit_l16_in1k,1,15,NaN,bear,bear,NaN,bear4.png
swag_vit_l16_in1k,1,16,NaN,bear,bear,NaN,bear5.png
swag_vit_l16_in1k,1,17,NaN,bear,bear,NaN,bear6.png
swag_vit_l16_in1k,1,18,NaN,elephant,bear,NaN,bear7.png
swag_vit_l16_in1k,1,19,NaN,bear,bear,NaN,bear8.png
swag_vit_l16_in1k,1,20,NaN,bear,bear,NaN,bear9.png
swag_vit_l16_in1k,1,21,NaN,bicycle,bicycle,NaN,bicycle1.png
swag_vit_l16_in1k,1,22,NaN,bicycle,bicycle,NaN,bicycle10.png
swag_vit_l16_in1k,1,23,NaN,bicycle,bicycle,NaN,bicycle2.png
swag_vit_l16_in1k,1,24,NaN,bicycle,bicycle,NaN,bicycle3.png
swag_vit_l16_in1k,1,25,NaN,bicycle,bicycle,NaN,bicycle4.png
swag_vit_l16_in1k,1,26,NaN,bicycle,bicycle,NaN,bicycle5.png
swag_vit_l16_in1k,1,27,NaN,bicycle,bicycle,NaN,bicycle6.png
swag_vit_l16_in1k,1,28,NaN,bicycle,bicycle,NaN,bicycle7.png
swag_vit_l16_in1k,1,29,NaN,bicycle,bicycle,NaN,bicycle8.png
swag_vit_l16_in1k,1,30,NaN,bicycle,bicycle,NaN,bicycle9.png
swag_vit_l16_in1k,1,31,NaN,knife,bird,NaN,bird1.png
swag_vit_l16_in1k,1,32,NaN,bird,bird,NaN,bird10.png
swag_vit_l16_in1k,1,33,NaN,knife,bird,NaN,bird2.png
swag_vit_l16_in1k,1,34,NaN,bird,bird,NaN,bird3.png
swag_vit_l16_in1k,1,35,NaN,bird,bird,NaN,bird4.png
swag_vit_l16_in1k,1,36,NaN,bird,bird,NaN,bird5.png
swag_vit_l16_in1k,1,37,NaN,bird,bird,NaN,bird6.png
swag_vit_l16_in1k,1,38,NaN,bird,bird,NaN,bird7.png
swag_vit_l16_in1k,1,39,NaN,bird,bird,NaN,bird8.png
swag_vit_l16_in1k,1,40,NaN,bird,bird,NaN,bird9.png
swag_vit_l16_in1k,1,41,NaN,knife,boat,NaN,boat1.png
swag_vit_l16_in1k,1,42,NaN,knife,boat,NaN,boat10.png
swag_vit_l16_in1k,1,43,NaN,airplane,boat,NaN,boat2.png
swag_vit_l16_in1k,1,44,NaN,boat,boat,NaN,boat3.png
swag_vit_l16_in1k,1,45,NaN,knife,boat,NaN,boat4.png
swag_vit_l16_in1k,1,46,NaN,boat,boat,NaN,boat5.png
