subj,session,trial,rt,object_response,category,condition,imagename
subject-01,1,1,0.586625099182129,boat,boat,0,0001_ske_s01_0_boat_00_boat-0068-sketch-23.png
subject-01,1,2,0.706346035003662,dog,dog,0,0002_ske_s01_0_dog_00_dog-4581-sketch-16.png
subject-01,1,3,0.716404914855957,airplane,airplane,0,0003_ske_s01_0_airplane_00_airplane-0018-sketch-24.png
subject-01,1,4,1.1105329990387,bird,cat,0,0004_ske_s01_0_cat_00_cat-0251-sketch-6.png
subject-01,1,5,0.87578010559082,keyboard,keyboard,0,0005_ske_s01_0_keyboard_00_keyboard-0002-sketch-1.png
subject-01,1,6,0.659713983535767,elephant,elephant,0,0006_ske_s01_0_elephant_00_elephant-0021-sketch-27.png
subject-01,1,7,0.771556854248047,oven,oven,0,0007_ske_s01_0_oven_00_oven-0004-sketch-11.png
subject-01,1,8,0.609380960464478,oven,oven,0,0008_ske_s01_0_oven_00_oven-0002-sketch-1.png
subject-01,1,9,0.720973968505859,knife,knife,0,0009_ske_s01_0_knife_00_knife-0044-sketch-48.png
subject-01,1,10,1.30277895927429,keyboard,keyboard,0,0010_ske_s01_0_keyboard_00_keyboard-0052-sketch-0.png
subject-01,1,11,0.46082592010498,oven,oven,0,0011_ske_s01_0_oven_00_oven-0015-sketch-21.png
subject-01,1,12,0.752594947814941,bicycle,bicycle,0,0012_ske_s01_0_bicycle_00_bicycle-0039-sketch-43.png
subject-01,1,13,0.792433977127075,elephant,elephant,0,0013_ske_s01_0_elephant_00_elephant-0065-sketch-20.png
subject-01,1,14,0.764175176620483,airplane,airplane,0,0014_ske_s01_0_airplane_00_airplane-0045-sketch-49.png
subject-01,1,15,0.812115907669067,bird,bird,0,0015_ske_s01_0_bird_00_bird-0749-sketch-4.png
subject-01,1,16,0.821708917617798,airplane,airplane,0,0016_ske_s01_0_airplane_00_airplane-0038-sketch-42.png
subject-01,1,17,0.965553998947144,truck,truck,0,0017_ske_s01_0_truck_00_truck-0029-sketch-34.png
subject-01,1,18,1.02355599403381,oven,oven,0,0018_ske_s01_0_oven_00_oven-0047-sketch-50.png
subject-01,1,19,0.681785106658936,keyboard,keyboard,0,0019_ske_s01_0_keyboard_00_keyboard-0043-sketch-47.png
subject-01,1,20,1.15126895904541,bicycle,bicycle,0,0020_ske_s01_0_bicycle_00_bicycle-0047-sketch-50.png
subject-01,1,21,0.950965166091919,bird,bird,0,0021_ske_s01_0_bird_00_bird-2262-sketch-28.png
subject-01,1,22,0.584779977798462,bear,bear,0,0022_ske_s01_0_bear_00_bear-0030-sketch-35.png
subject-01,1,23,0.860413074493408,bicycle,bicycle,0,0023_ske_s01_0_bicycle_00_bicycle-0040-sketch-44.png
subject-01,1,24,0.668322801589966,boat,boat,0,0024_ske_s01_0_boat_00_boat-0233-sketch-34.png
subject-01,1,25,1.12427806854248,knife,knife,0,0025_ske_s01_0_knife_00_knife-0037-sketch-41.png
subject-01,1,26,0.671607971191406,truck,truck,0,0026_ske_s01_0_truck_00_truck-0112-sketch-17.png
subject-01,1,27,0.665903091430664,bird,bird,0,0027_ske_s01_0_bird_00_bird-0479-sketch-26.png
subject-01,1,28,0.912215948104858,airplane,airplane,0,0028_ske_s01_0_airplane_00_airplane-0012-sketch-19.png
subject-01,1,29,0.827598094940186,chair,chair,0,0029_ske_s01_0_chair_00_chair-0083-sketch-37.png
subject-01,1,30,0.727412939071655,dog,dog,0,0030_ske_s01_0_dog_00_dog-4909-sketch-37.png
subject-01,1,31,0.949219942092896,chair,chair,0,0031_ske_s01_0_chair_00_chair-0135-sketch-39.png
subject-01,1,32,0.64490008354187,clock,clock,0,0032_ske_s01_0_clock_00_clock-0021-sketch-27.png
subject-01,1,33,0.608633041381836,airplane,airplane,0,0033_ske_s01_0_airplane_00_airplane-0024-sketch-3.png
subject-01,1,34,0.69701099395752,bear,bear,0,0034_ske_s01_0_bear_00_bear-0026-sketch-31.png
subject-01,1,35,0.713838815689087,car,car,0,0035_ske_s01_0_car_00_car-0151-sketch-7.png
subject-01,1,36,0.748553991317749,bicycle,bicycle,0,0036_ske_s01_0_bicycle_00_bicycle-0099-sketch-6.png
subject-01,1,37,0.969815969467163,elephant,elephant,0,0037_ske_s01_0_elephant_00_elephant-0101-sketch-8.png
subject-01,1,38,0.533783197402954,boat,boat,0,0038_ske_s01_0_boat_00_boat-0010-sketch-17.png
subject-01,1,39,0.997997999191284,dog,dog,0,0039_ske_s01_0_dog_00_dog-0607-sketch-8.png
subject-01,1,40,0.803601026535034,dog,cat,0,0040_ske_s01_0_cat_00_cat-0233-sketch-35.png
subject-01,1,41,0.77295994758606,dog,dog,0,0041_ske_s01_0_dog_00_dog-2454-sketch-21.png
subject-01,1,42,0.846967935562134,knife,knife,0,0042_ske_s01_0_knife_00_knife-0030-sketch-35.png
subject-01,1,43,0.550930023193359,clock,clock,0,0043_ske_s01_0_clock_00_clock-0137-sketch-4.png
subject-01,1,44,1.00850391387939,car,car,0,0044_ske_s01_0_car_00_car-0030-sketch-35.png
subject-01,1,45,0.696192979812622,bottle,bottle,0,0045_ske_s01_0_bottle_00_bottle-0019-sketch-25.png
subject-01,1,46,0.800153017044067,chair,chair,0,0046_ske_s01_0_chair_00_chair-0014-sketch-20.png
subject-01,1,47,0.71805214881897,clock,clock,0,0047_ske_s01_0_clock_00_clock-0073-sketch-28.png
subject-01,1,48,0.742405891418457,boat,boat,0,0048_ske_s01_0_boat_00_boat-0128-sketch-31.png
subject-01,1,49,0.705662965774536,car,truck,0,0049_ske_s01_0_truck_00_truck-0135-sketch-38.png
subject-01,1,50,0.585545063018799,car,car,0,0050_ske_s01_0_car_00_car-0112-sketch-17.png
subject-01,1,51,0.665243864059448,boat,boat,0,0051_ske_s01_0_boat_00_boat-0197-sketch-48.png
subject-01,1,52,0.707170009613037,knife,knife,0,0052_ske_s01_0_knife_00_knife-0039-sketch-43.png
subject-01,1,53,1.04506802558899,clock,clock,0,0053_ske_s01_0_clock_00_clock-0150-sketch-6.png
subject-01,1,54,0.648714780807495,car,car,0,0054_ske_s01_0_car_00_car-0145-sketch-47.png
subject-01,1,55,0.744996070861816,boat,boat,0,0055_ske_s01_0_boat_00_boat-0034-sketch-39.png
subject-01,1,56,1.07441186904907,truck,car,0,0056_ske_s01_0_car_00_car-0005-sketch-12.png
subject-01,1,57,0.630210876464844,cat,cat,0,0057_ske_s01_0_cat_00_cat-0082-sketch-37.png
subject-01,1,58,0.695940017700195,keyboard,keyboard,0,0058_ske_s01_0_keyboard_00_keyboard-0061-sketch-17.png
subject-01,1,59,0.721916913986206,clock,clock,0,0059_ske_s01_0_clock_00_clock-0074-sketch-29.png
subject-01,1,60,0.817600011825562,chair,chair,0,0060_ske_s01_0_chair_00_chair-0175-sketch-29.png
subject-01,1,61,0.65554404258728,cat,cat,0,0061_ske_s01_0_cat_00_cat-0011-sketch-18.png
subject-01,1,62,1.04989504814148,chair,bicycle,0,0062_ske_s01_0_bicycle_00_bicycle-0034-sketch-39.png
subject-01,1,63,0.683457136154175,bird,bird,0,0063_ske_s01_0_bird_00_bird-1860-sketch-33.png
subject-01,1,64,0.732635021209717,bicycle,bicycle,0,0064_ske_s01_0_bicycle_00_bicycle-0011-sketch-18.png
subject-01,1,65,0.772697925567627,dog,dog,0,0065_ske_s01_0_dog_00_dog-2541-sketch-0.png
subject-01,1,66,0.830219984054565,bicycle,bicycle,0,0066_ske_s01_0_bicycle_00_bicycle-0095-sketch-48.png
subject-01,1,67,1.09027814865112,cat,bird,0,0067_ske_s01_0_bird_00_bird-1702-sketch-29.png
subject-01,1,68,0.702239036560059,bird,bird,0,0068_ske_s01_0_bird_00_bird-0357-sketch-9.png
subject-01,1,69,0.812474012374878,chair,chair,0,0069_ske_s01_0_chair_00_chair-0064-sketch-2.png
subject-01,1,70,0.587124109268188,oven,oven,0,0070_ske_s01_0_oven_00_oven-0023-sketch-29.png
subject-01,1,71,0.519640922546387,oven,oven,0,0071_ske_s01_0_oven_00_oven-0012-sketch-19.png
subject-01,1,72,0.787512063980103,truck,truck,0,0072_ske_s01_0_truck_00_truck-0025-sketch-30.png
subject-01,1,73,0.805156946182251,truck,car,0,0073_ske_s01_0_car_00_car-0017-sketch-23.png
subject-01,1,74,0.884936809539795,elephant,elephant,0,0074_ske_s01_0_elephant_00_elephant-0029-sketch-34.png
subject-01,1,75,0.534799098968506,oven,oven,0,0075_ske_s01_0_oven_00_oven-0044-sketch-48.png
subject-01,1,76,0.638475179672241,dog,dog,0,0076_ske_s01_0_dog_00_dog-1393-sketch-3.png
subject-01,1,77,0.594531059265137,oven,oven,0,0077_ske_s01_0_oven_00_oven-0045-sketch-49.png
subject-01,1,78,0.628002882003784,keyboard,keyboard,0,0078_ske_s01_0_keyboard_00_keyboard-0031-sketch-36.png
subject-01,1,79,1.06797218322754,oven,dog,0,0079_ske_s01_0_dog_00_dog-3153-sketch-11.png
subject-01,1,80,0.804149150848389,bear,bear,0,0080_ske_s01_0_bear_00_bear-0017-sketch-23.png
subject-01,1,81,0.861462831497192,chair,chair,0,0081_ske_s01_0_chair_00_chair-0079-sketch-33.png
subject-01,1,82,0.683453798294067,dog,dog,0,0082_ske_s01_0_dog_00_dog-3303-sketch-0.png
subject-01,1,83,1.23964095115662,cat,cat,0,0083_ske_s01_0_cat_00_cat-0304-sketch-8.png
subject-01,1,84,0.663238048553467,dog,dog,0,0084_ske_s01_0_dog_00_dog-5325-sketch-45.png
subject-01,1,85,1.15110206604004,car,truck,0,0085_ske_s01_0_truck_00_truck-0308-sketch-1.png
subject-01,1,86,0.628837823867798,car,car,0,0086_ske_s01_0_car_00_car-0043-sketch-47.png
subject-01,1,87,1.1009418964386,boat,boat,0,0087_ske_s01_0_boat_00_boat-0130-sketch-33.png
subject-01,1,88,1.14847683906555,elephant,elephant,0,0088_ske_s01_0_elephant_00_elephant-0094-sketch-47.png
