subj,session,trial,rt,object_response,category,condition,imagename
swag_vit_b16_in1k,1,1,NaN,airplane,airplane,0,0001_ske_dnn_0_airplane_00_airplane-0001-sketch-0.png
swag_vit_b16_in1k,1,2,NaN,airplane,airplane,0,0002_ske_dnn_0_airplane_00_airplane-0002-sketch-1.png
swag_vit_b16_in1k,1,3,NaN,airplane,airplane,0,0003_ske_dnn_0_airplane_00_airplane-0003-sketch-10.png
swag_vit_b16_in1k,1,4,NaN,airplane,airplane,0,0004_ske_dnn_0_airplane_00_airplane-0004-sketch-11.png
swag_vit_b16_in1k,1,5,NaN,airplane,airplane,0,0005_ske_dnn_0_airplane_00_airplane-0005-sketch-12.png
swag_vit_b16_in1k,1,6,NaN,airplane,airplane,0,0006_ske_dnn_0_airplane_00_airplane-0006-sketch-13.png
swag_vit_b16_in1k,1,7,NaN,airplane,airplane,0,0007_ske_dnn_0_airplane_00_airplane-0007-sketch-14.png
swag_vit_b16_in1k,1,8,NaN,knife,airplane,0,0008_ske_dnn_0_airplane_00_airplane-0008-sketch-15.png
swag_vit_b16_in1k,1,9,NaN,airplane,airplane,0,0009_ske_dnn_0_airplane_00_airplane-0009-sketch-16.png
swag_vit_b16_in1k,1,10,NaN,airplane,airplane,0,0010_ske_dnn_0_airplane_00_airplane-0010-sketch-17.png
swag_vit_b16_in1k,1,11,NaN,airplane,airplane,0,0011_ske_dnn_0_airplane_00_airplane-0011-sketch-18.png
swag_vit_b16_in1k,1,12,NaN,airplane,airplane,0,0012_ske_dnn_0_airplane_00_airplane-0012-sketch-19.png
swag_vit_b16_in1k,1,13,NaN,airplane,airplane,0,0013_ske_dnn_0_airplane_00_airplane-0013-sketch-2.png
swag_vit_b16_in1k,1,14,NaN,airplane,airplane,0,0014_ske_dnn_0_airplane_00_airplane-0014-sketch-20.png
swag_vit_b16_in1k,1,15,NaN,airplane,airplane,0,0015_ske_dnn_0_airplane_00_airplane-0015-sketch-21.png
swag_vit_b16_in1k,1,16,NaN,airplane,airplane,0,0016_ske_dnn_0_airplane_00_airplane-0016-sketch-22.png
swag_vit_b16_in1k,1,17,NaN,airplane,airplane,0,0017_ske_dnn_0_airplane_00_airplane-0017-sketch-23.png
swag_vit_b16_in1k,1,18,NaN,airplane,airplane,0,0018_ske_dnn_0_airplane_00_airplane-0018-sketch-24.png
swag_vit_b16_in1k,1,19,NaN,airplane,airplane,0,0019_ske_dnn_0_airplane_00_airplane-0019-sketch-25.png
swag_vit_b16_in1k,1,20,NaN,airplane,airplane,0,0020_ske_dnn_0_airplane_00_airplane-0020-sketch-26.png
swag_vit_b16_in1k,1,21,NaN,airplane,airplane,0,0021_ske_dnn_0_airplane_00_airplane-0021-sketch-27.png
swag_vit_b16_in1k,1,22,NaN,airplane,airplane,0,0022_ske_dnn_0_airplane_00_airplane-0022-sketch-28.png
swag_vit_b16_in1k,1,23,NaN,airplane,airplane,0,0023_ske_dnn_0_airplane_00_airplane-0023-sketch-29.png
swag_vit_b16_in1k,1,24,NaN,airplane,airplane,0,0024_ske_dnn_0_airplane_00_airplane-0024-sketch-3.png
swag_vit_b16_in1k,1,25,NaN,airplane,airplane,0,0025_ske_dnn_0_airplane_00_airplane-0025-sketch-30.png
swag_vit_b16_in1k,1,26,NaN,airplane,airplane,0,0026_ske_dnn_0_airplane_00_airplane-0027-sketch-32.png
swag_vit_b16_in1k,1,27,NaN,airplane,airplane,0,0027_ske_dnn_0_airplane_00_airplane-0028-sketch-33.png
swag_vit_b16_in1k,1,28,NaN,airplane,airplane,0,0028_ske_dnn_0_airplane_00_airplane-0029-sketch-34.png
swag_vit_b16_in1k,1,29,NaN,airplane,airplane,0,0029_ske_dnn_0_airplane_00_airplane-0030-sketch-35.png
swag_vit_b16_in1k,1,30,NaN,airplane,airplane,0,0030_ske_dnn_0_airplane_00_airplane-0031-sketch-36.png
swag_vit_b16_in1k,1,31,NaN,airplane,airplane,0,0031_ske_dnn_0_airplane_00_airplane-0032-sketch-37.png
swag_vit_b16_in1k,1,32,NaN,airplane,airplane,0,0032_ske_dnn_0_airplane_00_airplane-0033-sketch-38.png
swag_vit_b16_in1k,1,33,NaN,airplane,airplane,0,0033_ske_dnn_0_airplane_00_airplane-0034-sketch-39.png
swag_vit_b16_in1k,1,34,NaN,airplane,airplane,0,0034_ske_dnn_0_airplane_00_airplane-0035-sketch-4.png
swag_vit_b16_in1k,1,35,NaN,airplane,airplane,0,0035_ske_dnn_0_airplane_00_airplane-0036-sketch-40.png
swag_vit_b16_in1k,1,36,NaN,airplane,airplane,0,0036_ske_dnn_0_airplane_00_airplane-0037-sketch-41.png
swag_vit_b16_in1k,1,37,NaN,airplane,airplane,0,0037_ske_dnn_0_airplane_00_airplane-0038-sketch-42.png
swag_vit_b16_in1k,1,38,NaN,airplane,airplane,0,0038_ske_dnn_0_airplane_00_airplane-0039-sketch-43.png
swag_vit_b16_in1k,1,39,NaN,airplane,airplane,0,0039_ske_dnn_0_airplane_00_airplane-0040-sketch-44.png
swag_vit_b16_in1k,1,40,NaN,airplane,airplane,0,0040_ske_dnn_0_airplane_00_airplane-0041-sketch-45.png
swag_vit_b16_in1k,1,41,NaN,airplane,airplane,0,0041_ske_dnn_0_airplane_00_airplane-0042-sketch-46.png
swag_vit_b16_in1k,1,42,NaN,airplane,airplane,0,0042_ske_dnn_0_airplane_00_airplane-0043-sketch-47.png
swag_vit_b16_in1k,1,43,NaN,airplane,airplane,0,0043_ske_dnn_0_airplane_00_airplane-0044-sketch-48.png
swag_vit_b16_in1k,1,44,NaN,airplane,airplane,0,0044_ske_dnn_0_airplane_00_airplane-0045-sketch-49.png
