subj,session,trial,rt,object_response,category,condition,imagename
subject-05,1,1,1.04852104187012,bear,bear,0,0001_sty_s05_0_bear_00_bear-0167-ILSVRC2012-val-00022112.png
subject-05,1,2,1.06231713294983,bear,chair,0,0002_sty_s05_0_chair_00_chair-0196-ILSVRC2012-val-00045844.png
subject-05,1,3,1.03820204734802,boat,car,0,0003_sty_s05_0_car_00_car-0019-ILSVRC2012-val-00018335.png
subject-05,1,4,1.48792600631714,chair,chair,0,0004_sty_s05_0_chair_00_chair-0189-ILSVRC2012-val-00041883.png
subject-05,1,5,0.867724895477295,cat,cat,0,0005_sty_s05_0_cat_00_cat-0092-ILSVRC2012-val-00039621.png
subject-05,1,6,0.735372066497803,oven,oven,0,0006_sty_s05_0_oven_00_oven-0024-ILSVRC2012-val-00021187.png
subject-05,1,7,0.951592922210693,airplane,airplane,0,0007_sty_s05_0_airplane_00_airplane-0038-ILSVRC2012-val-00036394.png
subject-05,1,8,1.01316094398499,car,truck,0,0008_sty_s05_0_truck_00_truck-0215-ILSVRC2012-val-00017360.png
subject-05,1,9,0.852951765060425,boat,boat,0,0009_sty_s05_0_boat_00_boat-0107-ILSVRC2012-val-00004492.png
subject-05,1,10,0.882734060287476,cat,cat,0,0010_sty_s05_0_cat_00_cat-0012-ILSVRC2012-val-00012377.png
subject-05,1,11,0.988512992858887,elephant,bear,0,0011_sty_s05_0_bear_00_bear-0094-ILSVRC2012-val-00043648.png
subject-05,1,12,1.09021401405334,bear,chair,0,0012_sty_s05_0_chair_00_chair-0047-ILSVRC2012-val-00045407.png
subject-05,1,13,0.946133136749268,cat,oven,0,0013_sty_s05_0_oven_00_oven-0004-ILSVRC2012-val-00003075.png
subject-05,1,14,0.842087030410767,cat,cat,0,0014_sty_s05_0_cat_00_cat-0064-ILSVRC2012-val-00014860.png
subject-05,1,15,1.15967798233032,dog,bear,0,0015_sty_s05_0_bear_00_bear-0106-ILSVRC2012-val-00007578.png
subject-05,1,16,1.39952611923218,chair,truck,0,0016_sty_s05_0_truck_00_truck-0185-ILSVRC2012-val-00033804.png
subject-05,1,17,1.1773898601532,car,oven,0,0017_sty_s05_0_oven_00_oven-0045-ILSVRC2012-val-00045813.png
subject-05,1,18,0.895395994186401,cat,cat,0,0018_sty_s05_0_cat_00_cat-0108-ILSVRC2012-val-00002967.png
subject-05,1,19,1.14336705207825,knife,oven,0,0019_sty_s05_0_oven_00_oven-0016-ILSVRC2012-val-00014839.png
subject-05,1,20,1.50004696846008,cat,bottle,0,0020_sty_s05_0_bottle_00_bottle-0154-ILSVRC2012-val-00003340.png
subject-05,1,21,1.05294489860535,bird,knife,0,0021_sty_s05_0_knife_00_knife-0005-ILSVRC2012-val-00003462.png
subject-05,1,22,0.80028510093689,cat,oven,0,0022_sty_s05_0_oven_00_oven-0025-ILSVRC2012-val-00022348.png
