subj,session,trial,rt,object_response,category,condition,imagename
bagnet33,1,1,NaN,bicycle,elephant,0.03,0001_nse_dnn_0.03_elephant_10_n02504458_7209.png
bagnet33,1,2,NaN,dog,knife,0.90,0002_nse_dnn_0.90_knife_10_n03041632_82878.png
bagnet33,1,3,NaN,clock,clock,0.00,0003_nse_dnn_0.00_clock_10_n03196217_9231.png
bagnet33,1,4,NaN,chair,oven,0.00,0004_nse_dnn_0.00_oven_10_n04111531_11026.png
bagnet33,1,5,NaN,elephant,clock,0.10,0005_nse_dnn_0.10_clock_10_n04548280_1114.png
bagnet33,1,6,NaN,truck,clock,0.03,0006_nse_dnn_0.03_clock_10_n02708093_8100.png
bagnet33,1,7,NaN,clock,clock,0.00,0007_nse_dnn_0.00_clock_10_n02708093_3591.png
bagnet33,1,8,NaN,clock,chair,0.00,0008_nse_dnn_0.00_chair_10_n03376595_16202.png
bagnet33,1,9,NaN,elephant,bottle,0.60,0009_nse_dnn_0.60_bottle_10_n02823428_3478.png
bagnet33,1,10,NaN,knife,dog,0.10,0010_nse_dnn_0.10_dog_10_n02087394_28673.png
bagnet33,1,11,NaN,cat,chair,0.10,0011_nse_dnn_0.10_chair_10_n04099969_1690.png
bagnet33,1,12,NaN,chair,cat,0.03,0012_nse_dnn_0.03_cat_10_n02125311_1736.png
bagnet33,1,13,NaN,dog,bear,0.90,0013_nse_dnn_0.90_bear_10_n02133161_1169.png
bagnet33,1,14,NaN,dog,bear,0.90,0014_nse_dnn_0.90_bear_10_n02133161_8835.png
bagnet33,1,15,NaN,knife,car,0.20,0015_nse_dnn_0.20_car_10_n02814533_5430.png
bagnet33,1,16,NaN,elephant,bear,0.60,0016_nse_dnn_0.60_bear_10_n02134418_3767.png
bagnet33,1,17,NaN,knife,knife,0.20,0017_nse_dnn_0.20_knife_10_n03041632_10540.png
bagnet33,1,18,NaN,knife,bicycle,0.20,0018_nse_dnn_0.20_bicycle_10_n02835271_1075.png
bagnet33,1,19,NaN,chair,bear,0.00,0019_nse_dnn_0.00_bear_10_n02134084_3888.png
bagnet33,1,20,NaN,dog,dog,0.00,0020_nse_dnn_0.00_dog_10_n02085936_9009.png
bagnet33,1,21,NaN,clock,knife,0.03,0021_nse_dnn_0.03_knife_10_n03041632_12651.png
bagnet33,1,22,NaN,elephant,bicycle,0.35,0022_nse_dnn_0.35_bicycle_10_n03792782_565.png
bagnet33,1,23,NaN,knife,boat,0.20,0023_nse_dnn_0.20_boat_10_n04612504_40672.png
bagnet33,1,24,NaN,knife,dog,0.05,0024_nse_dnn_0.05_dog_10_n02098105_146.png
bagnet33,1,25,NaN,bottle,clock,0.03,0025_nse_dnn_0.03_clock_10_n02708093_5944.png
bagnet33,1,26,NaN,knife,cat,0.03,0026_nse_dnn_0.03_cat_10_n02124075_14021.png
bagnet33,1,27,NaN,knife,bear,0.20,0027_nse_dnn_0.20_bear_10_n02133161_7184.png
