subj,session,trial,rt,object_response,category,condition,imagename
simclr_resnet50x1,1,1,NaN,elephant,elephant,0.03,0001_nse_dnn_0.03_elephant_10_n02504458_7209.png
simclr_resnet50x1,1,2,NaN,bottle,knife,0.90,0002_nse_dnn_0.90_knife_10_n03041632_82878.png
simclr_resnet50x1,1,3,NaN,clock,clock,0.00,0003_nse_dnn_0.00_clock_10_n03196217_9231.png
simclr_resnet50x1,1,4,NaN,oven,oven,0.00,0004_nse_dnn_0.00_oven_10_n04111531_11026.png
simclr_resnet50x1,1,5,NaN,clock,clock,0.10,0005_nse_dnn_0.10_clock_10_n04548280_1114.png
simclr_resnet50x1,1,6,NaN,clock,clock,0.03,0006_nse_dnn_0.03_clock_10_n02708093_8100.png
simclr_resnet50x1,1,7,NaN,clock,clock,0.00,0007_nse_dnn_0.00_clock_10_n02708093_3591.png
simclr_resnet50x1,1,8,NaN,chair,chair,0.00,0008_nse_dnn_0.00_chair_10_n03376595_16202.png
simclr_resnet50x1,1,9,NaN,bottle,bottle,0.60,0009_nse_dnn_0.60_bottle_10_n02823428_3478.png
simclr_resnet50x1,1,10,NaN,dog,dog,0.10,0010_nse_dnn_0.10_dog_10_n02087394_28673.png
simclr_resnet50x1,1,11,NaN,chair,chair,0.10,0011_nse_dnn_0.10_chair_10_n04099969_1690.png
simclr_resnet50x1,1,12,NaN,cat,cat,0.03,0012_nse_dnn_0.03_cat_10_n02125311_1736.png
simclr_resnet50x1,1,13,NaN,clock,bear,0.90,0013_nse_dnn_0.90_bear_10_n02133161_1169.png
simclr_resnet50x1,1,14,NaN,clock,bear,0.90,0014_nse_dnn_0.90_bear_10_n02133161_8835.png
simclr_resnet50x1,1,15,NaN,truck,car,0.20,0015_nse_dnn_0.20_car_10_n02814533_5430.png
simclr_resnet50x1,1,16,NaN,bottle,bear,0.60,0016_nse_dnn_0.60_bear_10_n02134418_3767.png
simclr_resnet50x1,1,17,NaN,knife,knife,0.20,0017_nse_dnn_0.20_knife_10_n03041632_10540.png
simclr_resnet50x1,1,18,NaN,cat,bicycle,0.20,0018_nse_dnn_0.20_bicycle_10_n02835271_1075.png
simclr_resnet50x1,1,19,NaN,bear,bear,0.00,0019_nse_dnn_0.00_bear_10_n02134084_3888.png
simclr_resnet50x1,1,20,NaN,dog,dog,0.00,0020_nse_dnn_0.00_dog_10_n02085936_9009.png
simclr_resnet50x1,1,21,NaN,knife,knife,0.03,0021_nse_dnn_0.03_knife_10_n03041632_12651.png
