subj,Session,trial,rt,object_response,category,condition,imagename
subject-03,1,1,1.4200279712677,bear,elephant,0.20,0001_nse_s03_0.20_elephant_10_n02504458_975.png
subject-03,1,2,NaN,na,keyboard,0.90,0002_nse_s03_0.90_keyboard_10_n03085013_18769.png
subject-03,1,3,0.717967987060547,bottle,bottle,0.00,0003_nse_s03_0.00_bottle_10_n04557648_5627.png
subject-03,1,4,0.82564902305603,knife,knife,0.60,0004_nse_s03_0.60_knife_10_n03041632_48816.png
subject-03,1,5,1.06933879852295,cat,dog,0.35,0005_nse_s03_0.35_dog_10_n02106166_2273.png
subject-03,1,6,1.12114691734314,oven,keyboard,0.20,0006_nse_s03_0.20_keyboard_10_n03085013_20779.png
subject-03,1,7,1.50010991096497,airplane,clock,0.03,0007_nse_s03_0.03_clock_10_n02708093_742.png
subject-03,1,8,1.41883993148804,keyboard,bottle,0.90,0008_nse_s03_0.90_bottle_10_n04557648_907.png
subject-03,1,9,1.29671907424927,boat,keyboard,0.90,0009_nse_s03_0.90_keyboard_10_n03085013_20152.png
subject-03,1,10,1.03448295593262,oven,boat,0.90,0010_nse_s03_0.90_boat_10_n04612504_7148.png
subject-03,1,11,0.874423980712891,chair,chair,0.03,0011_nse_s03_0.03_chair_10_n04099969_5453.png
subject-03,1,12,0.939986944198608,bottle,bottle,0.20,0012_nse_s03_0.20_bottle_10_n02823428_4165.png
subject-03,1,13,0.858026027679443,chair,chair,0.00,0013_nse_s03_0.00_chair_10_n03376595_11352.png
subject-03,1,14,1.22566914558411,car,boat,0.90,0014_nse_s03_0.90_boat_10_n02951358_30335.png
subject-03,1,15,1.13546013832092,car,car,0.20,0015_nse_s03_0.20_car_10_n04285008_5788.png
subject-03,1,16,1.07130813598633,airplane,boat,0.60,0016_nse_s03_0.60_boat_10_n03662601_5995.png
subject-03,1,17,0.699077129364014,boat,boat,0.05,0017_nse_s03_0.05_boat_10_n02951358_34116.png
subject-03,1,18,0.899139165878296,clock,clock,0.20,0018_nse_s03_0.20_clock_10_n04548280_9646.png
subject-03,1,19,0.96501898765564,car,car,0.35,0019_nse_s03_0.35_car_10_n03100240_319.png
subject-03,1,20,1.32080101966858,oven,oven,0.00,0020_nse_s03_0.00_oven_10_n04111531_6313.png
subject-03,1,21,0.800631999969482,cat,cat,0.05,0021_nse_s03_0.05_cat_10_n02125311_13652.png
subject-03,1,22,0.9063401222229,car,truck,0.60,0022_nse_s03_0.60_truck_10_n03796401_6184.png
subject-03,1,23,1.02592706680298,chair,bottle,0.03,0023_nse_s03_0.03_bottle_10_n03983396_4627.png
subject-03,1,24,0.953999042510986,knife,knife,0.10,0024_nse_s03_0.10_knife_10_n03041632_43289.png
subject-03,1,25,0.880100011825562,chair,oven,0.00,0025_nse_s03_0.00_oven_10_n04111531_10358.png
subject-03,1,26,0.811583995819092,boat,boat,0.00,0026_nse_s03_0.00_boat_10_n04273569_11427.png
subject-03,1,27,0.849515199661255,boat,boat,0.20,0027_nse_s03_0.20_boat_10_n04273569_32553.png
subject-03,1,28,0.917083024978638,boat,airplane,0.00,0028_nse_s03_0.00_airplane_10_n02690373_19407.png
subject-03,1,29,0.81696891784668,oven,bear,0.35,0029_nse_s03_0.35_bear_10_n02133161_19418.png
subject-03,1,30,1.0726900100708,airplane,airplane,0.05,0030_nse_s03_0.05_airplane_10_n02690373_1075.png
subject-03,1,31,0.887006998062134,chair,chair,0.35,0031_nse_s03_0.35_chair_10_n03376595_7515.png
subject-03,1,32,0.756444931030273,cat,cat,0.20,0032_nse_s03_0.20_cat_10_n02123045_7167.png
subject-03,1,33,0.892097949981689,cat,cat,0.03,0033_nse_s03_0.03_cat_10_n02123159_7270.png
subject-03,1,34,1.08608293533325,bicycle,chair,0.35,0034_nse_s03_0.35_chair_10_n04099969_12909.png
subject-03,1,35,1.3239860534668,knife,clock,0.20,0035_nse_s03_0.20_clock_10_n03196217_445.png
subject-03,1,36,1.00347304344177,bicycle,bicycle,0.10,0036_nse_s03_0.10_bicycle_10_n03792782_10146.png
subject-03,1,37,0.765412092208862,cat,dog,0.05,0037_nse_s03_0.05_dog_10_n02096051_1308.png
subject-03,1,38,1.01119804382324,clock,knife,0.60,0038_nse_s03_0.60_knife_10_n03041632_4269.png
subject-03,1,39,0.921098947525024,oven,chair,0.10,0039_nse_s03_0.10_chair_10_n02791124_1217.png
subject-03,1,40,0.932817935943604,car,car,0.00,0040_nse_s03_0.00_car_10_n02814533_72473.png
subject-03,1,41,1.07263803482056,car,car,0.35,0041_nse_s03_0.35_car_10_n03100240_16653.png
subject-03,1,42,0.970546960830688,elephant,elephant,0.35,0042_nse_s03_0.35_elephant_10_n02504013_20042.png
subject-03,1,43,0.904215097427368,bird,bird,0.03,0043_nse_s03_0.03_bird_10_n02025239_19864.png
subject-03,1,44,0.924197196960449,airplane,airplane,0.10,0044_nse_s03_0.10_airplane_10_n02690373_4213.png
subject-03,1,45,0.86385703086853,knife,knife,0.03,0045_nse_s03_0.03_knife_10_n03041632_50996.png
subject-03,1,46,0.937794923782349,bicycle,bicycle,0.05,0046_nse_s03_0.05_bicycle_10_n02835271_1530.png
subject-03,1,47,0.721468925476074,clock,clock,0.10,0047_nse_s03_0.10_clock_10_n04548280_9426.png
subject-03,1,48,1.17124390602112,keyboard,bottle,0.05,0048_nse_s03_0.05_bottle_10_n04579145_5289.png
subject-03,1,49,0.745060920715332,oven,airplane,0.35,0049_nse_s03_0.35_airplane_10_n02690373_3212.png
subject-03,1,50,0.947160959243774,bicycle,bicycle,0.03,0050_nse_s03_0.03_bicycle_10_n02835271_3135.png
subject-03,1,51,0.738871097564697,chair,chair,0.10,0051_nse_s03_0.10_chair_10_n04099969_3393.png
subject-03,1,52,1.07871294021606,truck,truck,0.10,0052_nse_s03_0.10_truck_10_n03417042_18348.png
subject-03,1,53,1.0823290348053,clock,bird,0.90,0053_nse_s03_0.90_bird_10_n01833805_5088.png
subject-03,1,54,0.912352085113525,bird,bird,0.00,0054_nse_s03_0.00_bird_10_n02051845_15350.png
subject-03,1,55,0.906280040740967,clock,clock,0.05,0055_nse_s03_0.05_clock_10_n02708093_1313.png
subject-03,1,56,0.989731073379517,car,car,0.05,0056_nse_s03_0.05_car_10_n02814533_35054.png
subject-03,1,57,0.679721832275391,oven,knife,0.90,0057_nse_s03_0.90_knife_10_n03041632_20595.png
subject-03,1,58,0.989513874053955,chair,chair,0.05,0058_nse_s03_0.05_chair_10_n04429376_14729.png
subject-03,1,59,1.03117299079895,elephant,airplane,0.90,0059_nse_s03_0.90_airplane_10_n02690373_8813.png
subject-03,1,60,0.691303014755249,cat,dog,0.60,0060_nse_s03_0.60_dog_10_n02093428_6133.png
subject-03,1,61,0.880890846252441,chair,chair,0.05,0061_nse_s03_0.05_chair_10_n02791124_2470.png
subject-03,1,62,1.48064613342285,oven,clock,0.03,0062_nse_s03_0.03_clock_10_n03196217_7637.png
subject-03,1,63,0.950891017913818,boat,boat,0.35,0063_nse_s03_0.35_boat_10_n03662601_7352.png
subject-03,1,64,0.688174962997437,bottle,dog,0.60,0064_nse_s03_0.60_dog_10_n02113023_6945.png
subject-03,1,65,0.952065944671631,bottle,bicycle,0.35,0065_nse_s03_0.35_bicycle_10_n03792782_565.png
subject-03,1,66,0.931890964508057,knife,knife,0.05,0066_nse_s03_0.05_knife_10_n03041632_99912.png
subject-03,1,67,0.911888122558594,oven,oven,0.05,0067_nse_s03_0.05_oven_10_n04111531_9314.png
subject-03,1,68,0.915574073791504,elephant,elephant,0.03,0068_nse_s03_0.03_elephant_10_n02504013_104.png
subject-03,1,69,1.06751489639282,oven,oven,0.20,0069_nse_s03_0.20_oven_10_n04111531_8144.png
subject-03,1,70,0.931271076202393,truck,truck,0.03,0070_nse_s03_0.03_truck_10_n04467665_74235.png
subject-03,1,71,1.27332711219788,car,car,0.05,0071_nse_s03_0.05_car_10_n04285008_4047.png
subject-03,1,72,0.859047889709473,keyboard,keyboard,0.35,0072_nse_s03_0.35_keyboard_10_n04505470_4724.png
subject-03,1,73,0.838662147521973,cat,bear,0.60,0073_nse_s03_0.60_bear_10_n02132136_11183.png
subject-03,1,74,0.630847930908203,clock,clock,0.00,0074_nse_s03_0.00_clock_10_n04548280_4181.png
subject-03,1,75,0.962707996368408,elephant,elephant,0.35,0075_nse_s03_0.35_elephant_10_n02504458_4811.png
subject-03,1,76,1.50005102157593,chair,knife,0.35,0076_nse_s03_0.35_knife_10_n03041632_4494.png
