subj,session,trial,rt,object_response,category,condition,imagename
swag_regnety_16gf_in1k,1,1,NaN,elephant,elephant,0.03,0001_nse_dnn_0.03_elephant_10_n02504458_7209.png
swag_regnety_16gf_in1k,1,2,NaN,knife,knife,0.90,0002_nse_dnn_0.90_knife_10_n03041632_82878.png
swag_regnety_16gf_in1k,1,3,NaN,clock,clock,0.00,0003_nse_dnn_0.00_clock_10_n03196217_9231.png
swag_regnety_16gf_in1k,1,4,NaN,truck,oven,0.00,0004_nse_dnn_0.00_oven_10_n04111531_11026.png
swag_regnety_16gf_in1k,1,5,NaN,clock,clock,0.10,0005_nse_dnn_0.10_clock_10_n04548280_1114.png
swag_regnety_16gf_in1k,1,6,NaN,clock,clock,0.03,0006_nse_dnn_0.03_clock_10_n02708093_8100.png
swag_regnety_16gf_in1k,1,7,NaN,clock,clock,0.00,0007_nse_dnn_0.00_clock_10_n02708093_3591.png
swag_regnety_16gf_in1k,1,8,NaN,chair,chair,0.00,0008_nse_dnn_0.00_chair_10_n03376595_16202.png
swag_regnety_16gf_in1k,1,9,NaN,knife,bottle,0.60,0009_nse_dnn_0.60_bottle_10_n02823428_3478.png
swag_regnety_16gf_in1k,1,10,NaN,dog,dog,0.10,0010_nse_dnn_0.10_dog_10_n02087394_28673.png
swag_regnety_16gf_in1k,1,11,NaN,bicycle,chair,0.10,0011_nse_dnn_0.10_chair_10_n04099969_1690.png
swag_regnety_16gf_in1k,1,12,NaN,cat,cat,0.03,0012_nse_dnn_0.03_cat_10_n02125311_1736.png
swag_regnety_16gf_in1k,1,13,NaN,knife,bear,0.90,0013_nse_dnn_0.90_bear_10_n02133161_1169.png
swag_regnety_16gf_in1k,1,14,NaN,knife,bear,0.90,0014_nse_dnn_0.90_bear_10_n02133161_8835.png
swag_regnety_16gf_in1k,1,15,NaN,car,car,0.20,0015_nse_dnn_0.20_car_10_n02814533_5430.png
swag_regnety_16gf_in1k,1,16,NaN,knife,bear,0.60,0016_nse_dnn_0.60_bear_10_n02134418_3767.png
swag_regnety_16gf_in1k,1,17,NaN,knife,knife,0.20,0017_nse_dnn_0.20_knife_10_n03041632_10540.png
swag_regnety_16gf_in1k,1,18,NaN,bicycle,bicycle,0.20,0018_nse_dnn_0.20_bicycle_10_n02835271_1075.png
swag_regnety_16gf_in1k,1,19,NaN,bear,bear,0.00,0019_nse_dnn_0.00_bear_10_n02134084_3888.png
swag_regnety_16gf_in1k,1,20,NaN,dog,dog,0.00,0020_nse_dnn_0.00_dog_10_n02085936_9009.png
swag_regnety_16gf_in1k,1,21,NaN,knife,knife,0.03,0021_nse_dnn_0.03_knife_10_n03041632_12651.png
swag_regnety_16gf_in1k,1,22,NaN,knife,bicycle,0.35,0022_nse_dnn_0.35_bicycle_10_n03792782_565.png
swag_regnety_16gf_in1k,1,23,NaN,boat,boat,0.20,0023_nse_dnn_0.20_boat_10_n04612504_40672.png
swag_regnety_16gf_in1k,1,24,NaN,dog,dog,0.05,0024_nse_dnn_0.05_dog_10_n02098105_146.png
swag_regnety_16gf_in1k,1,25,NaN,clock,clock,0.03,0025_nse_dnn_0.03_clock_10_n02708093_5944.png
swag_regnety_16gf_in1k,1,26,NaN,cat,cat,0.03,0026_nse_dnn_0.03_cat_10_n02124075_14021.png
swag_regnety_16gf_in1k,1,27,NaN,dog,bear,0.20,0027_nse_dnn_0.20_bear_10_n02133161_7184.png
swag_regnety_16gf_in1k,1,28,NaN,bottle,bottle,0.00,0028_nse_dnn_0.00_bottle_10_n03937543_9745.png
swag_regnety_16gf_in1k,1,29,NaN,knife,airplane,0.60,0029_nse_dnn_0.60_airplane_10_n02690373_9605.png
swag_regnety_16gf_in1k,1,30,NaN,cat,cat,0.20,0030_nse_dnn_0.20_cat_10_n02123045_7167.png
swag_regnety_16gf_in1k,1,31,NaN,airplane,airplane,0.05,0031_nse_dnn_0.05_airplane_10_n02690373_4706.png
swag_regnety_16gf_in1k,1,32,NaN,knife,knife,0.35,0032_nse_dnn_0.35_knife_10_n03041632_45270.png
swag_regnety_16gf_in1k,1,33,NaN,knife,dog,0.35,0033_nse_dnn_0.35_dog_10_n02105855_9326.png
swag_regnety_16gf_in1k,1,34,NaN,bear,bear,0.10,0034_nse_dnn_0.10_bear_10_n02134418_4349.png
swag_regnety_16gf_in1k,1,35,NaN,cat,cat,0.00,0035_nse_dnn_0.00_cat_10_n02123159_469.png
swag_regnety_16gf_in1k,1,36,NaN,knife,truck,0.90,0036_nse_dnn_0.90_truck_10_n03417042_5004.png
swag_regnety_16gf_in1k,1,37,NaN,bird,bird,0.10,0037_nse_dnn_0.10_bird_10_n02051845_6333.png
swag_regnety_16gf_in1k,1,38,NaN,clock,clock,0.90,0038_nse_dnn_0.90_clock_10_n03196217_12701.png
swag_regnety_16gf_in1k,1,39,NaN,knife,chair,0.60,0039_nse_dnn_0.60_chair_10_n03376595_12341.png
swag_regnety_16gf_in1k,1,40,NaN,bicycle,bicycle,0.10,0040_nse_dnn_0.10_bicycle_10_n03792782_66837.png
swag_regnety_16gf_in1k,1,41,NaN,bicycle,bicycle,0.05,0041_nse_dnn_0.05_bicycle_10_n02835271_20177.png
swag_regnety_16gf_in1k,1,42,NaN,knife,knife,0.00,0042_nse_dnn_0.00_knife_10_n03041632_22330.png
swag_regnety_16gf_in1k,1,43,NaN,knife,cat,0.60,0043_nse_dnn_0.60_cat_10_n02123045_5913.png
swag_regnety_16gf_in1k,1,44,NaN,boat,elephant,0.20,0044_nse_dnn_0.20_elephant_10_n02504013_2464.png
swag_regnety_16gf_in1k,1,45,NaN,knife,knife,0.90,0045_nse_dnn_0.90_knife_10_n03041632_99460.png
swag_regnety_16gf_in1k,1,46,NaN,dog,dog,0.00,0046_nse_dnn_0.00_dog_10_n02099601_8686.png
swag_regnety_16gf_in1k,1,47,NaN,knife,chair,0.90,0047_nse_dnn_0.90_chair_10_n02791124_5400.png
swag_regnety_16gf_in1k,1,48,NaN,chair,chair,0.05,0048_nse_dnn_0.05_chair_10_n03376595_830.png
swag_regnety_16gf_in1k,1,49,NaN,knife,cat,0.90,0049_nse_dnn_0.90_cat_10_n02124075_6024.png
swag_regnety_16gf_in1k,1,50,NaN,bicycle,bicycle,0.10,0050_nse_dnn_0.10_bicycle_10_n03792782_9004.png
swag_regnety_16gf_in1k,1,51,NaN,clock,keyboard,0.60,0051_nse_dnn_0.60_keyboard_10_n03085013_24088.png
swag_regnety_16gf_in1k,1,52,NaN,cat,cat,0.10,0052_nse_dnn_0.10_cat_10_n02125311_33778.png
swag_regnety_16gf_in1k,1,53,NaN,bicycle,bicycle,0.00,0053_nse_dnn_0.00_bicycle_10_n03792782_7092.png
swag_regnety_16gf_in1k,1,54,NaN,cat,airplane,0.35,0054_nse_dnn_0.35_airplane_10_n02690373_5724.png
swag_regnety_16gf_in1k,1,55,NaN,knife,bear,0.60,0055_nse_dnn_0.60_bear_10_n02133161_5637.png
swag_regnety_16gf_in1k,1,56,NaN,airplane,bear,0.10,0056_nse_dnn_0.10_bear_10_n02132136_5365.png
swag_regnety_16gf_in1k,1,57,NaN,knife,car,0.35,0057_nse_dnn_0.35_car_10_n03100240_1702.png
swag_regnety_16gf_in1k,1,58,NaN,knife,oven,0.35,0058_nse_dnn_0.35_oven_10_n04111531_2677.png
swag_regnety_16gf_in1k,1,59,NaN,oven,oven,0.05,0059_nse_dnn_0.05_oven_10_n04111531_16583.png
swag_regnety_16gf_in1k,1,60,NaN,chair,chair,0.10,0060_nse_dnn_0.10_chair_10_n04099969_6266.png
swag_regnety_16gf_in1k,1,61,NaN,clock,oven,0.60,0061_nse_dnn_0.60_oven_10_n04111531_6695.png
swag_regnety_16gf_in1k,1,62,NaN,car,car,0.10,0062_nse_dnn_0.10_car_10_n03100240_1438.png
swag_regnety_16gf_in1k,1,63,NaN,keyboard,keyboard,0.20,0063_nse_dnn_0.20_keyboard_10_n04505470_4684.png
swag_regnety_16gf_in1k,1,64,NaN,chair,chair,0.00,0064_nse_dnn_0.00_chair_10_n04099969_8021.png
swag_regnety_16gf_in1k,1,65,NaN,car,car,0.20,0065_nse_dnn_0.20_car_10_n04285008_7139.png
swag_regnety_16gf_in1k,1,66,NaN,truck,truck,0.03,0066_nse_dnn_0.03_truck_10_n03796401_9207.png
swag_regnety_16gf_in1k,1,67,NaN,bottle,bottle,0.05,0067_nse_dnn_0.05_bottle_10_n04560804_3651.png
swag_regnety_16gf_in1k,1,68,NaN,knife,chair,0.60,0068_nse_dnn_0.60_chair_10_n03376595_3010.png
swag_regnety_16gf_in1k,1,69,NaN,knife,bird,0.90,0069_nse_dnn_0.90_bird_10_n01514859_1951.png
swag_regnety_16gf_in1k,1,70,NaN,car,car,0.10,0070_nse_dnn_0.10_car_10_n03100240_4594.png
swag_regnety_16gf_in1k,1,71,NaN,clock,clock,0.35,0071_nse_dnn_0.35_clock_10_n03196217_3333.png
swag_regnety_16gf_in1k,1,72,NaN,car,car,0.10,0072_nse_dnn_0.10_car_10_n02814533_90798.png
swag_regnety_16gf_in1k,1,73,NaN,keyboard,keyboard,0.00,0073_nse_dnn_0.00_keyboard_10_n03085013_19547.png
swag_regnety_16gf_in1k,1,74,NaN,cat,bear,0.05,0074_nse_dnn_0.05_bear_10_n02133161_545.png
swag_regnety_16gf_in1k,1,75,NaN,clock,oven,0.90,0075_nse_dnn_0.90_oven_10_n04111531_6489.png
swag_regnety_16gf_in1k,1,76,NaN,clock,dog,0.90,0076_nse_dnn_0.90_dog_10_n02105056_15299.png
swag_regnety_16gf_in1k,1,77,NaN,chair,knife,0.05,0077_nse_dnn_0.05_knife_10_n03041632_33255.png
swag_regnety_16gf_in1k,1,78,NaN,dog,cat,0.20,0078_nse_dnn_0.20_cat_10_n02123394_5895.png
swag_regnety_16gf_in1k,1,79,NaN,bottle,bottle,0.03,0079_nse_dnn_0.03_bottle_10_n03983396_11654.png
swag_regnety_16gf_in1k,1,80,NaN,airplane,airplane,0.03,0080_nse_dnn_0.03_airplane_10_n02690373_3860.png
swag_regnety_16gf_in1k,1,81,NaN,chair,oven,0.03,0081_nse_dnn_0.03_oven_10_n04111531_6415.png
swag_regnety_16gf_in1k,1,82,NaN,knife,knife,0.60,0082_nse_dnn_0.60_knife_10_n03041632_39342.png
swag_regnety_16gf_in1k,1,83,NaN,knife,bear,0.60,0083_nse_dnn_0.60_bear_10_n02133161_4882.png
swag_regnety_16gf_in1k,1,84,NaN,bottle,bottle,0.00,0084_nse_dnn_0.00_bottle_10_n04591713_7474.png
swag_regnety_16gf_in1k,1,85,NaN,dog,bear,0.20,0085_nse_dnn_0.20_bear_10_n02132136_17615.png
swag_regnety_16gf_in1k,1,86,NaN,knife,boat,0.60,0086_nse_dnn_0.60_boat_10_n03344393_382.png
swag_regnety_16gf_in1k,1,87,NaN,truck,truck,0.00,0087_nse_dnn_0.00_truck_10_n03796401_27811.png
swag_regnety_16gf_in1k,1,88,NaN,clock,keyboard,0.60,0088_nse_dnn_0.60_keyboard_10_n04505470_2603.png
swag_regnety_16gf_in1k,1,89,NaN,chair,boat,0.35,0089_nse_dnn_0.35_boat_10_n03662601_16418.png
swag_regnety_16gf_in1k,1,90,NaN,knife,bear,0.35,0090_nse_dnn_0.35_bear_10_n02132136_2760.png
swag_regnety_16gf_in1k,1,91,NaN,bicycle,bicycle,0.05,0091_nse_dnn_0.05_bicycle_10_n02835271_10271.png
swag_regnety_16gf_in1k,1,92,NaN,dog,bear,0.10,0092_nse_dnn_0.10_bear_10_n02134084_9127.png
swag_regnety_16gf_in1k,1,93,NaN,knife,bird,0.20,0093_nse_dnn_0.20_bird_10_n01797886_551.png
swag_regnety_16gf_in1k,1,94,NaN,truck,truck,0.10,0094_nse_dnn_0.10_truck_10_n03417042_9559.png
swag_regnety_16gf_in1k,1,95,NaN,knife,clock,0.90,0095_nse_dnn_0.90_clock_10_n02708093_3114.png
swag_regnety_16gf_in1k,1,96,NaN,bicycle,bicycle,0.05,0096_nse_dnn_0.05_bicycle_10_n03792782_122.png
swag_regnety_16gf_in1k,1,97,NaN,cat,oven,0.35,0097_nse_dnn_0.35_oven_10_n04111531_3702.png
swag_regnety_16gf_in1k,1,98,NaN,knife,car,0.90,0098_nse_dnn_0.90_car_10_n02814533_93476.png
